feature,target,n,n_days,d1,d10,spread_bp,se_bp,t,monotone_rho,max_dec_share,n_dec_pop,family,ab
d_bid,fwd_micro_30s,1691820,98,-0.8267671393288876,0.3450821677937451,1.1642142944979257,0.15480802416805206,7.520374352392168,0.9393939393939393,0.2905072643661855,10,1 価格と最良気配,1.1642142944979257
micro_ret,fwd_micro_500ms,1691820,98,0.5250662644585481,-0.38107279024376883,-1.1638415218657046,0.14021889504041496,-8.3001761034435,-0.5515151515151515,0.159335508505633,10,4 マイクロプライス,1.1638415218657046
d_micro,fwd_micro_500ms,1691820,98,0.5284204692808028,-0.38273305403349767,-1.163765222294656,0.1405235559542081,-8.281638010027926,-0.5515151515151515,0.15974867302668133,10,4 マイクロプライス,1.163765222294656
ofi_0.5s,fwd_mid_3s,1691821,98,-0.5841741126888285,0.3295228598188201,1.1596309793507469,0.09699050180723624,11.956129288365322,0.9878787878787878,0.2370303950595246,10,8 OFI,1.1596309793507469
ofi_0.5s,fwd_micro_60s,1691821,98,-0.6417967849962516,0.4125973297628626,1.15471908383007,0.1309730852090666,8.816460893372426,0.9878787878787878,0.2370303950595246,10,8 OFI,1.15471908383007
ofi_10s,fwd_mid_5s,1691625,98,-0.48147708730253674,0.4898636065121552,1.1510895235145244,0.08929754405841049,12.89049475718598,0.9999999999999999,0.13102194635335845,10,8 OFI,1.1510895235145244
micro_minus_ask,fwd_mid_5s,1691821,98,-0.3324378662669272,0.6898303385303558,1.1509672144713803,0.07289304795838719,15.789807762304555,0.9999999999999999,0.11407294270493155,10,4 マイクロプライス,1.1509672144713803
d_obi,fwd_micro_500ms,1691820,98,0.5606890689445927,-0.400424475211531,-1.1459299177526605,0.11202556919011089,-10.229181838013977,-0.7333333333333332,0.1851402631485619,10,2 板の偏り OBI,1.1459299177526605
obi_vel,fwd_micro_500ms,1691820,98,0.5606890689445927,-0.400424475211531,-1.1459299177526605,0.11202556919011089,-10.229181838013977,-0.7333333333333332,0.1851402631485619,10,2 板の偏り OBI,1.1459299177526605
signed_vol,fwd_micro_3s,1691821,98,-0.5471471690438612,0.11009580679734889,1.1434537369560283,0.0796100148350607,14.36318959775454,0.9757575757575757,0.3961027791947257,10,12 攻撃的な約定フロー,1.1434537369560283
trade_dollar_imb,fwd_micro_3s,1691821,98,-0.5488764508568269,0.10950091172115661,1.1398467222197186,0.07783136298277313,14.645082374723511,0.9757575757575757,0.3954177185411459,10,12 攻撃的な約定フロー,1.1398467222197186
aggr_mom,fwd_micro_5s,1691821,98,-0.4926573623152183,0.42794823501961,1.1393868845983826,0.08155439608791429,13.970882493816058,0.9999999999999999,0.15461683003107302,10,12 攻撃的な約定フロー,1.1393868845983826
ofi_10s,fwd_micro_10s,1691625,98,-0.4867901949659199,0.49552945872555004,1.1391432629639116,0.11371716403994298,10.01733795052952,0.9878787878787878,0.13102194635335845,10,8 OFI,1.1391432629639116
