col,family
vpin_10s,49 毒性の代理
trd_sz_10s,51 約定の符号
trd_sz2_10s,51 約定の符号
trd_rate_30s,51 約定の符号
trd_imb_30s,51 約定の符号
vol_imb_30s,51 約定の符号
sgn_vol_30s,51 約定の符号
vol_30s,51 約定の符号
vpin_30s,49 毒性の代理
trd_sz_30s,51 約定の符号
trd_sz2_30s,51 約定の符号
trd_rate_60s,51 約定の符号
trd_imb_60s,51 約定の符号
vol_imb_60s,51 約定の符号
sgn_vol_60s,51 約定の符号
vol_60s,51 約定の符号
vpin_60s,49 毒性の代理
trd_sz_60s,51 約定の符号
trd_sz2_60s,51 約定の符号
kyle_10s,23 Kyle / Amihud
amihud_10s,23 Kyle / Amihud
kyle_60s,23 Kyle / Amihud
amihud_60s,23 Kyle / Amihud
vol_over_depth_1s,52 板と約定
vol_over_bbo_1s,52 板と約定
vol_over_depth_10s,52 板と約定
vol_over_bbo_10s,52 板と約定
vol_over_depth_60s,52 板と約定
vol_over_bbo_60s,52 板と約定
cvd_60s,51 約定の符号
rv_1s,47 ボラティリティ
bpv_1s,47 ボラティリティ
rsv_up_1s,47 ボラティリティ
rsv_dn_1s,47 ボラティリティ
rq_1s,47 ボラティリティ
jump_1s,47 ボラティリティ
rv_2s,47 ボラティリティ
bpv_2s,47 ボラティリティ
rsv_up_2s,47 ボラティリティ
rsv_dn_2s,47 ボラティリティ
rq_2s,47 ボラティリティ
jump_2s,47 ボラティリティ
rv_5s,47 ボラティリティ
bpv_5s,47 ボラティリティ
rsv_up_5s,47 ボラティリティ
rsv_dn_5s,47 ボラティリティ
rq_5s,47 ボラティリティ
jump_5s,47 ボラティリティ
rv_10s,47 ボラティリティ
bpv_10s,47 ボラティリティ
rsv_up_10s,47 ボラティリティ
rsv_dn_10s,47 ボラティリティ
rq_10s,47 ボラティリティ
jump_10s,47 ボラティリティ
rv_30s,47 ボラティリティ
bpv_30s,47 ボラティリティ
rsv_up_30s,47 ボラティリティ
rsv_dn_30s,47 ボラティリティ
rq_30s,47 ボラティリティ
jump_30s,47 ボラティリティ
rv_60s,47 ボラティリティ
bpv_60s,47 ボラティリティ
rsv_up_60s,47 ボラティリティ
rsv_dn_60s,47 ボラティリティ
rq_60s,47 ボラティリティ
jump_60s,47 ボラティリティ
rv_micro_10s,47 ボラティリティ
rv_spread_10s,47 ボラティリティ
rv_micro_60s,47 ボラティリティ
rv_spread_60s,47 ボラティリティ
obi1__d,61 加速と高次の動き
obi1__dd,61 加速と高次の動き
obi1__z,60 衝撃(z 得点)
obi1__dev,63 平均回帰
obi1__streak,62 慣性
obi5__d,61 加速と高次の動き
obi5__dd,61 加速と高次の動き
obi5__z,60 衝撃(z 得点)
obi5__dev,63 平均回帰
obi5__streak,62 慣性
obi10__d,61 加速と高次の動き
obi10__dd,61 加速と高次の動き
obi10__z,60 衝撃(z 得点)
obi10__dev,63 平均回帰
obi10__streak,62 慣性
delta_bp__d,61 加速と高次の動き
delta_bp__dd,61 加速と高次の動き
delta_bp__z,60 衝撃(z 得点)
delta_bp__dev,63 平均回帰
delta_bp__streak,62 慣性
spread_bp__d,61 加速と高次の動き
spread_bp__dd,61 加速と高次の動き
spread_bp__z,60 衝撃(z 得点)
spread_bp__dev,63 平均回帰
spread_bp__streak,62 慣性
cdtot10__d,61 加速と高次の動き
cdtot10__dd,61 加速と高次の動き
cdtot10__z,60 衝撃(z 得点)
cdtot10__dev,63 平均回帰
cdtot10__streak,62 慣性
prs_imb__d,61 加速と高次の動き
prs_imb__dd,61 加速と高次の動き
prs_imb__z,60 衝撃(z 得点)
prs_imb__dev,63 平均回帰
prs_imb__streak,62 慣性
ofi_1s__d,61 加速と高次の動き
ofi_1s__dd,61 加速と高次の動き
ofi_1s__z,60 衝撃(z 得点)
ofi_1s__dev,63 平均回帰
ofi_1s__streak,62 慣性
ofi_10s__d,61 加速と高次の動き
ofi_10s__dd,61 加速と高次の動き
ofi_10s__z,60 衝撃(z 得点)
ofi_10s__dev,63 平均回帰
ofi_10s__streak,62 慣性
cxl_imb_10s__d,61 加速と高次の動き
cxl_imb_10s__dd,61 加速と高次の動き
cxl_imb_10s__z,60 衝撃(z 得点)
cxl_imb_10s__dev,63 平均回帰
cxl_imb_10s__streak,62 慣性
new_imb_10s__d,61 加速と高次の動き
new_imb_10s__dd,61 加速と高次の動き
new_imb_10s__z,60 衝撃(z 得点)
new_imb_10s__dev,63 平均回帰
new_imb_10s__streak,62 慣性
churn_10s__d,61 加速と高次の動き
churn_10s__dd,61 加速と高次の動き
churn_10s__z,60 衝撃(z 得点)
churn_10s__dev,63 平均回帰
churn_10s__streak,62 慣性
slope_asym__d,61 加速と高次の動き
slope_asym__dd,61 加速と高次の動き
slope_asym__z,60 衝撃(z 得点)
slope_asym__dev,63 平均回帰
slope_asym__streak,62 慣性
elast_asym__d,61 加速と高次の動き
elast_asym__dd,61 加速と高次の動き
elast_asym__z,60 衝撃(z 得点)
elast_asym__dev,63 平均回帰
elast_asym__streak,62 慣性
gap_asym__d,61 加速と高次の動き
gap_asym__dd,61 加速と高次の動き
gap_asym__z,60 衝撃(z 得点)
gap_asym__dev,63 平均回帰
gap_asym__streak,62 慣性
age_asym__d,61 加速と高次の動き
age_asym__dd,61 加速と高次の動き
age_asym__z,60 衝撃(z 得点)
age_asym__dev,63 平均回帰
age_asym__streak,62 慣性
rv_10s__d,61 加速と高次の動き
rv_10s__dd,61 加速と高次の動き
rv_10s__z,60 衝撃(z 得点)
rv_10s__dev,63 平均回帰
rv_10s__streak,62 慣性
vol_imb_10s__d,61 加速と高次の動き
vol_imb_10s__dd,61 加速と高次の動き
vol_imb_10s__z,60 衝撃(z 得点)
vol_imb_10s__dev,63 平均回帰
vol_imb_10s__streak,62 慣性
top1_b__d,61 加速と高次の動き
top1_b__dd,61 加速と高次の動き
top1_b__z,60 衝撃(z 得点)
top1_b__dev,63 平均回帰
top1_b__streak,62 慣性
hhi_b__d,61 加速と高次の動き
hhi_b__dd,61 加速と高次の動き
hhi_b__z,60 衝撃(z 得点)
hhi_b__dev,63 平均回帰
hhi_b__streak,62 慣性
obi5__x__spread_bp,70 交互作用
obi5__x__rv_10s,70 交互作用
ofi_10s__x__rv_10s,70 交互作用
ofi_10s__x__cdtot10,70 交互作用
cxl_imb_10s__x__cdtot10,70 交互作用
delta_bp__x__spread_bp,70 交互作用
obi5__x__gap_asym,70 交互作用
hhi_b__x__ofi_10s,70 交互作用
elast_asym__x__ofi_10s,70 交互作用
ofi_over_depth,70 交互作用
