feature,corr_two_versions,rel_level,r_real,r_l1,dr
add_deep_b,0.9999882675941633,-0.00019507720507338329,0.0013288691628190034,0.0013319319937129394,3.0628308939359764e-6
cancel_bbo_a,0.9379239662141481,0.08975828147829051,-0.00652081385447819,-0.00316896641132277,0.0033518474431554197
add_bbo_a,0.9837667113229758,NaN,-0.06277229988442355,-0.060305224427662306,0.002467075456761246
cancel_deep_a,0.9997209668241729,0.00013399812383394386,0.007214309644582503,0.006648535949598066,-0.0005657736949844375
add_deep_a,0.9999742611995307,0.00021820496510512185,0.0002886592407225305,-0.0002592227281265334,-0.0005478819688490639
net_lof,1.0,0.0,0.03865553969716736,0.038275115155780824,-0.00038042454138653703
repl_b,1.0,0.0,0.0034001249791865504,0.003276610342267871,-0.0001235146369186796
repl_a,1.0,0.0,-0.0020709644224366276,-0.0025279338245073448,-0.0004569694020707172
depl_b,1.0,0.0,-0.003909814194238173,-0.003906576562923332,3.237631314840367e-6
depl_a,1.0,0.0,0.006675874185086218,0.006278215208844334,-0.0003976589762418837
repl_depl_ratio,1.0,0.0,0.0002644771056576705,0.0002017008669875354,-0.0000627762386701351
add_cancel_ratio,1.0,0.0,0.00028240517791570805,0.0001228158273289383,-0.00015958935058676976
cancel_add_ratio,1.0,0.0,-0.0014244105135415776,-0.0013080267963313625,0.00011638371721021511
cancel_intensity,1.0,0.0,0.006953461617791913,0.006075615531995792,-0.0008778460857961209
cancel_int_b,1.0,0.0,0.009355611207188821,0.0081412005618564,-0.001214410645332422
cancel_int_a,1.0,0.0,0.003769306890923547,0.003344841058354881,-0.00042446583256866566
cancel_rate,0.9344961648731397,0.04506837137287149,0.0004924654119179652,0.000037522781307932,-0.0004549426306100332
cancel_to_depth,0.942099586642553,0.08710268157765542,-0.0044492779697365105,-0.003058346372476742,0.0013909315972597683
cancel_z,1.0,0.0,-0.007654092172268262,-0.007955791020042454,-0.0003016988477741924
cancel_burst,1.0,NaN,-0.0037389341888300434,-0.0041903735363043445,-0.00045143934747430116
cancel_shock_b,1.0,0.0,-0.01326591184269059,-0.013380399348802715,-0.00011448750611212609
cancel_shock_a,1.0,0.0,-0.0014685005040176488,-0.0018122729148712792,-0.0003437724108536304
bbo_cancel_rate,0.9864195844168484,0.028215567881864058,0.0022446393117486582,0.002016048602731141,-0.0002285907090175173
deep_cancel_rate,0.9864195844086441,-0.00004153041069642043,-0.0022446394415531986,-0.0020160487426340956,0.00022859069891910302
cancel_persist,1.0,NaN,-0.002828513666860742,-0.0023678167308163267,0.0004606969360444152
t_since_cancel,1.0,NaN,-0.002828513666860742,-0.0023678167308163267,0.0004606969360444152
add_intensity,1.0,0.0,0.0071758584291341364,0.006062549471479249,-0.0011133089576548872
bbo_add_int,0.9906123424133563,-0.003046500001073832,0.004008215156492978,0.003853822333265817,-0.00015439282322716108
deep_add_int,0.9999970227905702,6.529912970823897e-6,0.008210427630587403,0.007820136390884566,-0.00039029123970283665
repl_intensity,1.0,0.0,0.008208177725160965,0.007817005134859284,-0.0003911725903016812
arrival_acc,1.0,0.0,-0.005247841699514933,-0.005357057887119665,-0.00010921618760473262
arrival_burst,1.0,NaN,-0.010024348907847506,-0.009929741012629974,0.00009460789521753207
trade_buy_vol,1.0,NaN,0.049461609067583595,0.04406044559289273,-0.0054011634746908635
trade_buy_cnt,1.0,NaN,0.0723468320595986,0.06582526721323126,-0.006521564846367345
