dt,day_type,kappa_買い,kappa_売り,t_half_買い,t_half_売り,n_買い,n_売り,asym
2026-07-21,立会日,1.7970246099820517,1.8046933053616403,385.7193592769348,384.0803190772885,48472,49183,-0.0021291771204288786
2026-07-22,立会日,1.8957029385805892,1.9531145104554437,365.6412439414156,354.89326245306086,57266,58527,-0.014916678339533524
2026-07-23,立会日,1.9878060182198256,2.0444943633630923,348.69961086023676,339.0311037198226,61738,63101,-0.014058562056086993
2026-07-24,立会日,1.931483216886663,2.0231315723714145,358.8678247724441,342.6110244265886,54824,57885,-0.02317503988851103
2026-07-25,閉場日,1.368176069509428,1.2631987993818394,506.6213304026575,548.7237501394636,6857,7514,0.03989445645645347
2026-07-26,閉場日,1.3890592613501347,1.3332062138884995,499.00475800162883,519.9099534184406,10925,10275,0.02051712001260242
2026-07-27,立会日,2.0380105785173903,2.0911575743732267,340.10970715428283,331.46578194505463,63140,63839,-0.01287111444435386
2026-07-28,立会日,2.1651700633329662,2.1840511123776993,320.1352135328266,317.3676552859335,77046,79057,-0.004341248302150997
2026-07-29,立会日,2.2426121681889595,2.3071925137733986,309.0802727248654,300.42884479826455,91769,92838,-0.014194091856397063
2026-07-30,立会日,2.018127109630734,2.0401027132210077,343.46061667067727,339.76092294525574,69420,69812,-0.005415071237841142
2026-07-31,立会日,2.0634541972487135,2.049649720934515,335.91595176672536,338.1783596894028,69808,69786,0.0033562187070382025
2026-08-01,閉場日,1.3294830025496667,1.6871592871824546,521.366010392888,410.83684363695204,6534,7968,-0.11856768230367469
2026-08-02,閉場日,1.5737365492972821,1.5989462377448511,440.446784833307,433.50249360446776,18036,18378,-0.007945858486240845
2026-08-03,立会日,1.9807512847182684,1.9696091359041688,349.94155293885615,351.9211847287402,64735,64321,0.002820539805920819
2026-08-04,立会日,1.9414148950145418,1.944357827554203,357.031967942511,356.4915730748337,65367,65968,-0.0007573609548928539
2026-08-05,立会日,1.8883458175687657,1.9799130648730376,367.0658073593353,350.08970487519537,65312,66781,-0.023671437224612773
2026-08-06,立会日,1.953525574263663,2.0091916586604133,354.8185860474332,344.98808392529696,62690,63443,-0.014047453079480623
2026-08-07,立会日,1.7672057330542912,1.7999636957661496,392.22777947985,385.0895343715276,47737,47488,-0.00918318105307672
2026-08-08,閉場日,1.3443673510992782,1.136828743135198,515.593769359991,609.7199641947409,5054,4831,0.08364458111405827
2026-08-09,閉場日,1.189520749715787,1.2898609132758876,582.71129841624,537.3813357903407,5267,5023,-0.04046983369193273
2026-08-10,立会日,1.6831384741402247,1.629938386455323,411.8182735463976,425.2597532360274,38113,38754,0.01605760745174461
