user,n,B,A_n,rate_per_s,n_days
0x48ee1b9177d277fdad4d0302d6ab8dca69c795ee,3125333,0.6937073962071522,0.7026061219258162,0.25641961594230994,50
0xda3768e9299e1fd81708ec030dac5ea37125f7b5,3097292,0.4984750778787319,0.5013007212972378,0.6449906167724286,64
0x0b1ace05eb9ef1c3a1951b763700ecad24f27741,3031736,0.567144399315115,0.5711244032938575,1.125695023429314,33
0x76987ceada087975a0cedef7753f25bf86234480,2985302,0.6419610234924187,0.6609094903926959,0.20768154303647157,81
0x7eec11611ed1c91abeb5029b8c95cebe2f083816,2727185,0.5786685823552917,0.5862233175876899,0.5606638181674672,62
0x354bcb431a332079950d2ce3a4698745e0f66425,2687539,0.5708093689947533,0.5752628754430301,0.40388054304121135,80
0x01633008559b785867064655f2b4fa96713e1e17,2655978,0.4527403203732108,0.45588457675801025,0.857264726391901,35
0xd071d6d6ea52f5aa34b79e47f908ee48c8215837,2637795,0.3895217724739522,0.3906940313769962,3.154242633999112,13
0xe90bf24e807df04f1513d50002d78bfc22ee84d9,2202692,0.4273456064358007,0.42983361074316395,2.126122642327649,16
0x630a4e7fa5b5cb48125c16808572bd2ae34d2321,2198409,0.5866716917959786,0.6006365741060031,0.7766658042345347,28
0xc06dd151c27dbe535ae95797e8aab1bb8b8cc7c0,2167620,0.453564612494069,0.4602342702827106,0.3634482052424021,76
0x57dd78cd36e76e2011e8f6dc25cabbaba994494b,2040552,0.6339379139099476,0.6370035590307357,0.862687095081477,33
0x07d431758c8bbbc111996d0af6f09c48416d2160,2014829,0.5639831166546008,0.5752601684392002,0.4544425069536835,84
0xc8264ebc379e26946e7d31ae4746c27182849755,1986757,0.4322550227933935,0.4396633364651815,1.0820034354439672,19
0x34827044cbd4b808fc1b189fce9f50e6dafae7c9,1947395,0.8118216766925315,0.8287978441632127,0.15263274828343734,81
0xf36c562be0598b8ce109998b6aa2d53ffcd8316b,1836161,0.6602243379359676,0.6683453864484544,0.18922295547506246,98
0xa96e8f0b9e6592b77d567c712beac79f956a2d7d,1809168,0.5043720365230435,0.5562681632004196,0.5971094508949999,36
0x4fc827306f1458aa22dd9bba99b5535f1b551e65,1806462,0.5494150194984142,0.5561317506606056,0.34800400858609337,44
0xb0a9214592fb899aefab0b615f2b870276cee092,1740092,0.4441278225493781,0.4543774726195322,0.18366610466483652,90
0x156af5e38df5a367fe380fc0d41680371eeaf303,1714778,0.5002647153095356,0.5045225198346299,0.28582345729423647,76
0x8b8ed3d4775e6a76a82f022ab62281a2974df1ca,1692827,0.5540011318942986,0.5648336051276585,0.13376291421216568,71
0xd8ad0fd8b59b759d9ba4f1293b1f8d8d113b7598,1635267,0.4132275047315457,0.4258087019753261,0.1641644260061726,98
0x64ab81622de692bcdabcfdd16f982cb0a2a732f3,1624523,0.35585319728526865,0.3577458960286436,0.9021427309234284,26
0x2b2054e2608c2c3283f368388aa107e66bdc4612,1502967,0.2735984102606049,0.27593001080223256,3.5625756856427073,55
0xfc8c156428a8e48cb8d0356db16e59bec4c0ecea,1500525,0.6321650109175075,0.6386545830542047,0.357961128239857,55
0x6f63b2b24858391a8cc023f37c381ddceb902bf7,1418069,0.7453679390288618,0.7732446230841828,0.4526638531927217,33
0x46e8b6782a42baa35d3390883fc4dc2da56c6d41,1342901,0.49679969355582415,0.49975897772405387,0.8546582011489076,25
0x330e4c08a52ced70a718be6ed8841f1f53863ac1,1320203,0.4575433178169168,0.46580882663298584,1.584667621197523,13
0x7717a7a245d9f950e586822b8c9b46863ed7bd7e,1301161,0.6003133044305429,0.6103386468661613,0.9281260365415911,21
0xf9a28ab8bd579e6a75cc5dd138954e3db8967c5a,1290544,0.7580343169413994,0.7721047855939289,0.2215756866276753,70
0x89f76594c34cfc4a75ce92db7caaad980e210a0a,1273864,0.6264220588166364,0.6444548353466812,0.0985752572813961,88
0x596dd434720415354727498476ddeee5ac89b3e7,1239388,0.7763948737935137,0.7813583945193511,0.9703655778836989,18
0x7fd284b3b84e67530e8d89e86288bff9fa0b20c7,1237604,0.7504959705905325,0.8476459423914784,0.29112444162534057,54
0x645b2eeaa0a46df3c4211bebda1b2c7703e287b8,1235491,0.8363877530422914,0.8612044456562881,0.19304702519940528,64
0xb24e468b4d79732f51b551b3177b973dde8ca82c,1188738,0.843742728960114,0.8537096639306694,1.129965280237969,16
0xf71a6ab898ad4c1c97fbdb22e955584d68cec699,1161318,0.793723168825379,0.8354497990136595,0.18548376963814225,27
0x7225a33aff56591393b77d411bce2b4664d4c723,1125693,0.6528265241296272,0.6600920503708101,0.38272084634240205,26
0x10761b48b1892a0fec8d808464d0c75216f6166d,1100775,0.6015868694830468,0.6532197641770815,0.43354696352883837,27
0xfb8cffce52cd694ee1ae8749f174b9840bb80cbd,1041968,0.6843619890460009,0.7106694400791979,0.21531423926931573,73
0x7f4435c031a7106f969a43f1724bfa8d10628726,993117,0.5548926058668953,0.5599997501435852,0.821360638249117,16
0x9887ac3b69538d77caa7f88c0688b740fb05a11f,938511,0.6906144713845654,0.7139524351148603,0.20866115300075805,70
0x7fdafde5cfb5465924316eced2d3715494c517d1,898162,0.8785854103677041,0.8896650534134924,0.4596150579060421,27
0xd842ac3fe223fc514c6ca3f928a3c980d1b5100e,859433,0.6294469449488541,0.6406225760201789,0.18889146372980853,50
0xa95db61bd736644051f14c644c92b93a63ce8242,842991,0.3672516632015591,0.3688755033871467,0.8407473014429636,12
0xd7d8d163c5c5be51b00f74983f842cab6dab9a9d,803491,0.46785926056599514,0.48072533620926927,0.17109076244464425,67
0xf3ea98c72ff0b195db5512abe4c6e4e6fe8534b4,796818,0.5250293882141953,0.5296057060046506,0.3363457720625498,23
0x202486b34776b26b474aedb348658aaab5d2dff4,771039,0.7792342555549797,0.8640297082898203,0.5609666354641856,20
0x9c70d39a75f55ef8ae41af10292a1c915e3c4323,761319,0.22796767184812916,0.23103890710423755,0.11925765704710506,80
0x476e75242409c8db8afd6c5cf3e10b501bc5aad3,749874,0.6254287538102912,0.6503875328212639,0.206952912588324,68
0x5d205e841672012f9d9f32d0c59e56e8ea8082e5,727081,0.5986815024441071,0.6050122310318431,0.715829889442201,19
0xe5ddb76c071ab59b96e97a839a941d02fa99ecba,715526,0.5752666174475589,0.5819982988142304,0.2562709661095388,31
0xc926ddba8b7617dbc65712f20cf8e1b58b8598d3,690522,0.5805894108994474,0.5844932439033278,0.5619676048195318,16
0x994ca87d1da1824a2d2f1a8e4b6ddb70ae48e7f5,665918,0.37842681325101457,0.39094041506317423,0.12992576360524233,66
0xe31501c472d557bfa145ce105d325fb2dd4cb867,652067,0.8374289921455061,0.8619777297470893,0.11178811988415668,71
0xf8cb65125d9f17b6b12b6d5bf992eefb45180c0b,651881,0.24859791473776172,0.2521544366481988,0.6747442415492538,13
0x5661e424b3b482231b8fc2a59c96dbe157fd70fc,628189,0.6761950792594182,0.6939318113445458,0.17398655752836567,68
0x77001f3760e212769cb102dd82477e1b07f84216,615503,0.7835086495522359,0.8338797972192933,0.08025066033968313,57
0x5c89da21263aefbd8b388bc4cf0611182f477c28,593419,0.4739475614063485,0.500701970423732,0.1592596889168832,39
0x52ea814df88c423bd5325e84f4b6f8bf429a61d5,561650,0.5040250866372067,0.5097426175900722,0.1030673915260693,53
0xe0afe5de6831901db80d7ca9d17475f78b1a870c,558850,0.9406448799444566,0.9590474630417072,0.1397153643766713,64
0x6b3008d6e60617f44b1135ffc669fc87caec75b2,555267,0.39773414379885563,0.4585943089972071,0.0025623412536595665,25
0xf8b5bde5f6aa989c01754931e077e1e5a915e2bb,523612,0.7457091875966853,0.8007186015807604,0.10060309453651316,50
0x0cefeb5cb11a8ab051bb8489f1bdc25e7fcb8dab,522006,0.44313853663235414,0.4739646243318346,0.15700423234281669,38
0x2f9b46001cdaa10f7dcf7c9e9b68bcda24679df9,519459,0.4707496883496993,0.4779157594078146,0.5005976789448822,14
0xa96371088cca02a8567005bf820597bcfb0d90e7,478900,0.9006681510041119,0.9303443689120057,1.741373887081212,19
0x707c049276cbed4436dc9b63295e94132d37081d,477446,0.49807844531346035,0.5092997583935357,0.1283548844854714,36
0x3eb6bed67d046fbffb8ada21167e592f3fef5470,444797,0.7272021100037728,0.766883999934126,0.08018892003680991,74
0xd180f9dbdbd1d36156ea4cc6efa151cd6e14df59,424447,0.36841496009485264,0.3776288394087797,0.05805228230700966,72
0xa242b590f63941749be337eed817af40b61fdd7c,399842,0.4872913574052349,0.49079955764095284,0.42638224351632226,15
0x8f679eb8059c5f498deea67f3b383ded582045b4,362863,0.19297737568847112,0.19625905340477073,0.0954534560045491,42
0xf4683f9c264f357c03d33159ec6d91f6f2768a1a,362401,0.304424164519549,0.30863328255381905,0.24937011205809584,24
0x33cca19afbbd4589929e5605251fc9ddbfb4c087,361422,0.4848524060357007,0.4897550199900946,0.3888381844845093,12
0x26f68941b957f1edf0b2702296dc8d7a5af70686,356041,0.6672513530148044,0.6752366537661086,0.1339621610846526,26
0xd33c704c68518e527bdcb36f7966c80edcffbdf2,328110,0.4163540586066724,0.42842615881606205,0.049845630418186154,56
