dt,n_post_bid,n_post_ask,n_fill_bid,n_fill_ask,n_fill,n_pair,realized_bp,forced_n,forced_pnl_bp,forced_cost_bp,total_bp,q_abs_mean,q_abs_max,p_absq_ge2,t_off_med,pair_pnl_mean,p_off_0.25s,p_off_1s,p_off_5s,p_off_10s,p_off_30s,p_off_60s
2026-06-06,39899,40559,3923,3924,7847,3923,-4761.551340783462,1,-1.9598105327949558,1.5868631625738465,-4763.511151316257,0.5000637186185803,1,0.0,6.725,-1.2137525722109255,0.03109864899311751,0.11445322457303084,0.4144787152689268,0.6115217945449911,0.8697425439714505,0.9597247004843232
2026-06-07,49456,39195,4452,4453,8905,4452,-4410.221534758705,1,-4.200519861003538,1.7471089271733233,-4414.422054619708,0.5000561482313307,1,0.0,7.166,-0.9906157984633217,0.03369272237196765,0.10377358490566038,0.3926325247079964,0.5974842767295597,0.9011680143755616,0.9730458221024259
2026-06-08,122352,113244,7107,7108,14215,7107,-16577.101759914294,1,-10.994309459309953,1.631961676508534,-16588.096069373605,0.5000351741118537,1,0.0,4.697,-2.3325034135238933,0.0299704516673702,0.1263542985788659,0.5210355987055016,0.7458843393837062,0.9628535246939637,0.9935275080906149
2026-06-09,111112,108827,7029,7029,14058,7029,-18206.69803621333,0,0.0,0.0,-18206.69803621333,0.5,1,0.0,3.856,-2.590225926335658,0.0297339593114241,0.14440176412007397,0.582017356665244,0.7794849907525964,0.9540475174277991,0.9867690994451558
2026-06-10,134863,146085,7388,7389,14777,7388,-18746.945067758646,1,1.2315876721078527,1.8148155375214228,-18745.71348008654,0.5000338363673276,1,0.0,4.191,-2.5374857969353837,0.02666486193827829,0.1354899837574445,0.5592853275582025,0.7616404981050352,0.9585814834867352,0.9936383324309691
2026-06-11,133215,112078,4308,4309,8617,4308,-8826.59836867491,1,-4.536467690368038,2.6972681186613054,-8831.134836365278,0.5000580248346292,1,0.0,6.8835,-2.0488854151984386,0.01903435468895079,0.09122562674094707,0.4062209842154132,0.5972609099350047,0.8725626740947076,0.9642525533890436
2026-06-12,95471,102584,3458,3457,6915,3457,-5012.282728039434,1,9.379135091958606,0.8965545837840657,-5002.903592947476,0.5000723065798988,1,0.0,9.198,-1.4498937599188373,0.015909748336708128,0.06768874746890367,0.3242695979172693,0.5287821810818629,0.846109343361296,0.9537170957477582
2026-06-13,20407,19780,1410,1409,2819,1409,-575.7359704417667,1,-11.820877280700397,1.5516309348601154,-587.5568477224671,0.5001773678609436,1,0.0,20.571,-0.4086131798735022,0.0113555713271824,0.05535841022001419,0.20794889992902768,0.32789212207239177,0.6621717530163236,0.7970191625266146
2026-06-14,16065,17433,1330,1329,2659,1329,-1788.8232312893042,1,2.9296144112826323,1.32895180140978,-1785.8936168780215,0.5001880406167732,1,0.0,14.146,-1.345991897132664,0.021068472535741158,0.08803611738148984,0.29194883370955604,0.42663656884875845,0.6674191121143717,0.7915726109857035
2026-06-15,37329,40701,2512,2511,5023,2511,-2401.2174154053378,1,-1.856041399658006,1.3070206998290028,-2403.0734568049957,0.500099542106311,1,0.0,10.873,-0.9562793370789916,0.015531660692951015,0.07048984468339307,0.2923138191955396,0.47949024293110315,0.7622461170848268,0.9056152927120669
