wid,n_days,n_ord,n_slot,n_fill,n_canc,n_rf_fill,n_rf_canc,n_rf_same,n_rf_fill_same,sz_pl,sz_fl,szt,n_ep,n_modal,ep_child,ep_child_max,rf_fill,rf_canc,same_sz_share,modal_share,turnover_s,ord_per_slot,rf_ratio
7658,26,311549,90297,49,311500,0,4996,4909,0,43291612167,6086834,2.9254379389392113e+20,256979,5173,1.3032237436286163,35,0.0,0.01603852327447833,0.982586068855084,0.016604129687464893,0.14798335521244352,3.4502696656588814,0.0
8218,4,153483,15277,3323,150160,528,24830,24291,507,789488747,22035356,9.371767135525379e+17,87748,14017,1.5635582077012165,30,0.15889256695756845,0.1653569525839105,0.957922549096932,0.09132607520051081,0.8424118264817956,10.046671466911043,0.960906478225875
6390,69,23770,20363,15679,8091,36,0,20,20,10787162,7087263,2.3562209492271096e+16,22713,6615,1.029914909519111,16,0.0022960648000510237,0.0,0.5555555555555556,0.2782919646613378,0.45781623338585525,1.1673132642537936,inf
23661,6,144667,22454,2193,142474,23,10337,10342,21,14983052,201066,1.483903592550172e+16,86803,99982,1.5547762573088784,25,0.010487916096671226,0.07255358872496034,0.9982625482625482,0.6911182232299004,1.0097052177258214,6.442816424690478,0.14455406384416528
197,90,3127706,243593,13482,3114224,366,216545,106977,137,63064689764,188528085,6.378023533822526e+20,1539419,439663,1.808958404266358,59,0.027147307521139297,0.06953417609009499,0.4931838403769288,0.1405704372469791,0.09887810766073417,12.83988456154323,0.3904167568759958
1909,19,1120598,124649,6637,1113961,171,131137,20517,145,13693199905,19280838,2.3531405261387366e+19,533972,83096,1.9490510579496119,248,0.025764652704535183,0.1177213564927318,0.1562509519602766,0.07415326459622451,0.5819116943036607,8.990027998620125,0.218861330451335
15560,2,63805,3077,1211,62594,122,16346,16414,122,57849432,1250720,4.015230868031742e+18,20032,2769,3.184862969001072,52,0.10074318744838975,0.26114324056618843,0.9967209132863736,0.04339785283285009,0.014407498323591459,20.736106597335066,0.3857775036794634
2192,65,31018,25359,0,31018,0,15,6,0,279317609,0,2.0131014661925827e+18,29339,208,1.0325089903242501,6,,0.00048359017344767554,0.4,0.006705783738474434,0.13874989099693952,1.223155487203754,
24191,4,31138,11764,4544,26594,171,5732,1023,147,46725108,7764289,1.4088434696811392e+17,21475,434,1.7591667699771338,91,0.037632042253521125,0.21553733924945476,0.17330171099440964,0.01393795362579485,0.33165578011711405,2.6468888133287996,0.17459639422368123
6238,74,189531,77651,194,189337,12,2254,2203,8,1775025134,2245446,6.2789837206154035e+19,145832,62130,1.2485808565178964,17,0.061855670103092786,0.011904699028715993,0.972197705207414,0.32780917105908797,0.02826930619635417,2.4408056560765474,5.195903731281845
32185,7,2167867,67258,9093,2158774,417,212891,75618,53,6675992964,25242680,1.884892328454091e+19,1117572,3515,1.7768080459027717,151,0.04585945232596503,0.09861662221242243,0.3545014720498059,0.001621409431482651,0.3541843140438354,32.232106217847694,0.4650276119494616
16587,19,424769,13117,25993,398776,239,88081,36069,167,17924124,957717,1.9575340217034573e+17,160992,94828,2.6632279977483235,365,0.009194783210864463,0.22087838786687264,0.4083899456521739,0.22324604667478087,0.09156481471725494,32.38309064572692,0.0416282611425357
200,90,72860,51176,1093,71767,2,252,90,1,64759350,367344,1.0166092589344492e+18,70661,4707,1.0257959640358627,6,0.0018298261665141812,0.003511363161341564,0.3543307086614173,0.06460334888827889,0.06370131830972796,1.4237142410504924,0.5211156130643779
2174,65,3115472,549882,5026,3110446,211,444269,443535,204,98576827050,196568801,3.7771354518945314e+20,1833271,2195634,1.8676422825494334,197,0.041981695185037804,0.1428312852883477,0.9978739200863931,0.7047516395589497,0.2609830341153266,5.665710097802801,0.29392506760885884
10817,7,21225,9583,1,21224,0,2,2,0,249811245,13225,1.3051387417991635e+19,20301,76,1.0414147221250798,4,0.0,0.00009423294383716548,1.0,0.003580683156654888,0.019140589195569314,2.2148596472920796,0.0
