sym,quotes,fills,fill_rate,imp_bp,mk300_bp,fee_usd,net_usd,net_bp,label
SKHYNIXUSD,27125,249,0.009179723502304147,-0.9629002335313648,-4.832306730323117,0.0,-9.326138928844992,-4.645902074383103,pl_cadence
SNDK,25667,524,0.02041531928156777,-0.6756796304056939,-1.0219715055021026,0.0,-2.9993252539766253,-0.8002103808307245,pl_cadence
TSLA,22114,140,0.0063308311476892466,-0.38659924457599876,-3.172511041021135,0.0,-2.767724500551414,-3.1101312182979903,pl_cadence
XAG,22007,176,0.007997455355114282,-0.310881633331315,-1.6130171199117376,0.0,-4.624133256824829,-3.2029224912383043,pl_cadence
XAU,20046,630,0.031427716252618976,-0.12196637628181987,-0.522075374824234,0.0,-6.1841880770415685,-1.1304927176911426,pl_cadence
AAPL,6115,120,0.019623875715453803,-1.0156294186641017,-2.4586829056495385,0.0,-1.8584364444404158,-3.3859495116237555,pl_flip
AMZN,4656,41,0.008805841924398625,-0.7341849457579328,4.6357329912247796,0.0,1.2597829913491063,6.808230567937563,pl_flip
DRAM,6448,190,0.02946650124069479,-2.076491196748822,-6.534121978885327,0.0,-6.55057220644619,-12.745731838554084,pl_flip
MSFT,10464,7,0.000668960244648318,-0.895519563160213,-17.510635062125242,0.0,-0.2568659913339703,-6.349673417745771,pl_flip
MU,7413,432,0.05827600161877782,-1.3944011987893987,-3.7175772416556225,0.0,-7.876038411937225,-4.1534319533504265,pl_flip
NVDA,9192,287,0.031222802436901655,-1.0665199262354579,-2.8411840956977286,0.0,-6.406603601929962,-3.859140970472701,pl_flip
SAMSUNGUSD,13274,151,0.011375621515745065,-2.4754348199164036,-2.8833145233079347,0.0,-3.7734499999979847,-4.68849846589284,pl_flip
SKHYNIXUSD,6571,518,0.07883122812357328,-1.7191781637599264,-5.2351731025951445,0.0,-24.233715734821274,-8.936966676108327,pl_flip
SNDK,7195,623,0.08658790826963168,-1.6331714366847034,4.0220163186758695,0.0,10.729324367594334,3.064885167164479,pl_flip
TSLA,4698,143,0.030438484461472966,-1.5568690380485906,-4.699573371532477,0.0,-3.1860380958798578,-5.470413115765497,pl_flip
XAG,11925,319,0.026750524109014674,-0.9524956040295409,-1.1679109104322296,0.0,-0.14445281587235037,-0.08172047770187216,pl_flip
XAU,6555,608,0.0927536231884058,-0.5533096389167113,-1.0431334124680198,0.0,-5.390052035749824,-1.213219170530209,pl_flip
AAPL,7919,23,0.0029044071221113778,-0.7299942502925529,-7.239703131092243,0.0,-1.2686315530937216,-7.55089839529827,pl_shift
AMZN,4547,9,0.0019793270288102046,-0.5249426301927534,-1.5890646265401196,0.0,-0.22601219450222385,-4.326489257121564,pl_shift
DRAM,8312,54,0.0064966313763233875,-0.42517532360807714,2.406850226406518,0.0,-0.8604190073936879,-3.1848452298267915,pl_shift
MSFT,10686,3,0.00028074115665356543,0.4289944916094411,-1.792389267341113,0.0,-0.12748499998104654,-11.257656439145151,pl_shift
MU,12092,86,0.0071121402580218325,-0.6667593643673205,-5.314676763205541,0.0,-4.723981518212142,-6.587988505140564,pl_shift
NVDA,12019,74,0.006156918212829686,-0.22020947850169045,-2.4109473774611447,0.0,-2.277933634420807,-4.263213773421026,pl_shift
SAMSUNGUSD,14903,63,0.004227336777829967,-0.7470960338763003,-4.862826398070399,0.0,-1.909118280485254,-5.708593792186441,pl_shift
SKHYNIXUSD,11789,142,0.012045126813130885,-0.6211005588505579,-1.3848123668058274,0.0,-6.198188895521238,-5.577617520390579,pl_shift
SNDK,11924,267,0.022391814827239183,-0.746015576832658,0.4260036027040355,0.0,-6.025374999326847,-3.4105828218211536,pl_shift
TSLA,6165,35,0.0056772100567721,-0.4644465185623729,-1.5156792161991095,0.0,-1.1564157903463368,-5.6937499244050045,pl_shift
XAG,15723,120,0.00763213127265789,-0.18452678637138037,-2.2053338894300847,0.0,-2.7734897097124245,-3.5135352938747078,pl_shift
