cov,bin_lab,n,p_tau0,fill_final,cancel_final,median_life_s,S_1s,S_60s,h_fill_1s,fill_h0,median_h0,fill_h1,median_h1
size,1-3,112443156,0.10139226259355438,0.010133406415416797,0.9898534651474049,0.5265149393259608,0.3595134942119757,0.016144805676611303,0.00394987879125066,0.013812586610952735,0.6710249213329627,0.009115557841954523,0.49833297712700036
size,3-10,132202961,0.11233955644911765,0.005035661841630238,0.9949594352499842,0.5105357805237233,0.3623688906943658,0.015659862008056146,0.002030367005237558,0.004723368933764302,0.5417901725219402,0.005165369852837543,0.5000382682881664
size,10-30,124627709,0.13526973363523837,0.002547641056251551,0.9974497281016101,0.46566453706486716,0.35515084437986466,0.017935452186928266,0.0010663460508901113,0.0030239199821193554,0.6350419728564061,0.002403203629300591,0.4317875269098442
size,30-100,64014780,0.0937989320591276,0.0011912603422105552,0.9988051038940606,0.7212434846645297,0.4380294283957602,0.023352331367598483,0.00045652462164509617,0.0011987498715435765,0.8901955441842817,0.0011909775686886773,0.6743872940245587
size,100+,12389247,0.04898441366129838,0.0009476410335521625,0.9990454907663566,1.5592363434691574,0.5791457714867589,0.050717209545824794,0.00020104986590385664,0.0007627399840069657,0.9317153743378296,0.0011110457291390145,2.413603873890504
dist,改善 <0,49494677,0.13863086731528726,0.04526422236331023,0.9547353247170418,0.35884288707406037,0.1545652618192637,0.0043127659811134835,0.03082596678356896,0.059797800728753986,0.42606979886953084,0.04010445125510733,0.3368951890593993
dist,0 最良,38410044,0.12206127647237269,0.021696668609421717,0.9783031945170132,0.38433778681149866,0.22529499384956367,0.005696376933596722,0.017444901798648133,0.022680754681487808,0.4680828223403403,0.021355914848818935,0.3552857636063008
dist,1-2,30063626,0.14552446201931862,0.010389480106301823,0.9896104226106122,0.35584140481357024,0.2705497790899435,0.008485669638280458,0.0064741097956263855,0.01190847851490527,0.48218665854109677,0.009845972758175408,0.3195354095541801
dist,3-5,34081536,0.13835726183233057,0.00746837258028017,0.9925314641991395,0.3735808806120545,0.29270050670396364,0.007883645021321958,0.004267815387093648,0.009234665980608164,0.5594265971942264,0.0069125109780840575,0.3282560507609221
dist,6-10,44288482,0.1256927026760592,0.006574517282139312,0.9934252727493573,0.46242748802801187,0.3431170344154486,0.009414675888625539,0.0032388592060070493,0.009311322521791711,0.7958917453801307,0.005756975697701608,0.4044444597917544
dist,11-25,89558861,0.1171231621625916,0.005131256012056085,0.9948683135353336,0.5279583703004261,0.36708870040333164,0.013221306083549884,0.0022793484032217017,0.00855060646823956,0.836753367716829,0.004206445116481998,0.47936815996023957
dist,26-50,70280159,0.09941050361027214,0.004061658968947611,0.9959376586835212,0.6880079958441093,0.42420109941224116,0.0181254579698276,0.0012340324879636236,0.005617894632300238,0.7909658005275837,0.003542098479413468,0.6575258197244124
dist,51-100,67366649,0.08192009075588723,0.002123011961403081,0.9978762279512282,1.0166556639567619,0.503446656383478,0.01907829825127237,0.0004797596841981258,0.0034159939453219964,0.910471444758439,0.0016064571136544883,1.0573399530220684
dist,101-300,80618202,0.07864922365795259,0.0015984448775316076,0.9983989351011129,1.277669374417326,0.544356897924163,0.03417922428862525,0.00013002177982634545,0.0033573800744832283,1.1870518185188919,0.0008841314515624268,1.313533666796579
dist,301-1000,30861465,0.04433295697401274,0.0016170678049195369,0.9983659569042492,2.116145908088345,0.6264539999482203,0.08183884961986103,0.000018218314448736964,0.003150193340790199,2.854485510281619,0.0010750152101381483,1.955008682540897
