dt,h_depth,h_size,h_plevel,h_wallet,h_age,h_queue,h_action,h_side,h_dir,h_chg,h_rate,h_cond,h_trans,n_ord,n_ev,n_grid
2026-06-14,5.15801,3.1803472,7.7587714,4.359512,2.415261,0.89759946,NaN,NaN,NaN,NaN,NaN,NaN,NaN,464.24363707913284,18.348927649625573,86399
2026-06-15,5.981152,3.1634724,7.184216,4.5573206,2.536403,1.011893,NaN,NaN,NaN,NaN,NaN,NaN,NaN,500.7671732311717,68.96520793064735,86399
2026-06-16,6.159929,3.181559,7.1740575,4.6024165,2.4071102,0.9166939,NaN,NaN,NaN,NaN,1.8550396,1.7277545,1.7268814,515.0039352307318,95.84825055845553,86399
2026-06-17,6.0754414,3.2222555,7.1837425,4.661608,2.466099,0.9892471,NaN,NaN,NaN,NaN,1.8465403,1.7043937,1.7040241,549.1804882000949,107.2160557413859,86399
2026-06-18,6.2897015,3.1161652,7.2835326,4.6741824,2.4588583,1.0073608,NaN,NaN,NaN,NaN,1.8316771,1.6739614,1.6699945,567.3366937117328,86.13481637518953,86399
2026-06-19,6.127729,3.0458593,7.2741747,4.384701,2.353352,1.006832,NaN,NaN,NaN,NaN,NaN,NaN,NaN,458.4762670864246,39.65485711640181,86399
2026-06-20,6.170978,3.0862136,7.2706223,4.386343,2.3890178,1.019651,NaN,NaN,NaN,NaN,NaN,NaN,NaN,432.92843667172076,20.72850380212734,86399
2026-06-21,6.1869035,3.1683433,7.186939,4.4131393,2.4092174,1.0302992,NaN,NaN,NaN,NaN,NaN,NaN,NaN,391.6397643491244,18.155893008020925,86399
2026-06-22,6.257245,3.2163212,7.2685213,4.5182858,2.306137,0.97329193,NaN,NaN,NaN,NaN,1.8639824,1.7405131,1.7398901,514.524242178729,87.34870773967292,86399
2026-06-23,6.3879867,3.2599182,7.230166,4.564975,2.323218,0.8564776,NaN,NaN,NaN,NaN,1.8273503,1.6652778,1.6626288,510.40091899211797,148.67420919223602,86399
2026-06-24,6.2449656,3.2930326,7.195515,4.5599895,2.4052935,0.940739,NaN,NaN,NaN,NaN,1.8383476,1.6920375,1.6908097,520.6098218729384,158.5927267676709,86399
2026-06-25,6.3371806,3.3133426,7.2758975,4.587687,2.3351476,0.94914556,NaN,NaN,NaN,NaN,1.8364526,1.6839044,1.6830976,517.4564983391011,140.86835495781202,86399
2026-06-26,6.2790346,3.2679532,7.2224236,4.6177816,2.408284,0.96758413,NaN,NaN,NaN,NaN,1.8300034,1.6704506,1.6706419,556.9489114457343,155.32525839419438,86399
2026-06-27,6.5689406,3.2513268,7.337783,4.6363673,2.3520205,1.2171798,NaN,NaN,NaN,NaN,NaN,NaN,NaN,746.2690853754273,19.736421937463014,82799
2026-06-28,6.6973586,3.259939,7.3988214,4.5994897,2.3591802,1.036433,NaN,NaN,NaN,NaN,NaN,NaN,NaN,744.1254788939431,24.908457469588065,86397
2026-06-29,6.7105956,3.3194947,7.308815,4.697035,2.376111,1.0301535,NaN,NaN,NaN,NaN,1.8348181,1.6788402,1.6774443,767.6869986921145,133.9168508894779,86399
2026-06-30,6.6330013,3.336266,7.3198867,4.726107,2.4119046,0.9959642,NaN,NaN,NaN,NaN,1.8405691,1.6977683,1.6998742,740.640609266311,97.97848354726328,86399
2026-07-01,6.5504017,3.3518157,7.240922,4.559975,2.439202,1.0912005,NaN,NaN,NaN,NaN,1.8398867,1.6889987,1.6887664,698.191842498177,125.3389622565076,86399
2026-07-02,6.6857224,3.367687,7.7051086,4.3960547,2.2708137,0.7258148,NaN,NaN,NaN,NaN,1.8114398,1.6306362,1.6300513,555.4249933448303,211.21869466081785,86399
2026-07-03,6.0878005,3.1845481,7.2317386,4.1615105,2.256439,0.9937485,NaN,NaN,NaN,NaN,NaN,NaN,NaN,518.9395247630181,66.70019328927418,86399
2026-07-04,5.970209,3.253322,7.1408844,4.5183315,2.4954097,1.1247247,NaN,NaN,NaN,NaN,NaN,NaN,NaN,514.2396555515688,16.920091667727636,86399
2026-07-05,6.476824,3.2552538,7.158359,4.788724,2.4728365,1.116456,NaN,NaN,NaN,NaN,1.8467724,1.7327656,1.7270364,574.8999988425792,26.76585377145569,86399
2026-07-06,6.761952,3.25367,7.72436,4.6975465,2.4523838,0.9039734,NaN,NaN,NaN,NaN,1.8221248,1.6555464,1.6575948,639.4544149816548,145.99440965751918,86399
2026-07-07,7.124962,3.3288803,8.516564,4.600055,2.2816045,0.4400805,NaN,NaN,NaN,NaN,1.8014294,1.6163359,1.6184796,601.2422134515446,206.2208127408882,86399
2026-07-08,7.142107,3.400695,8.577338,4.602438,2.2831395,0.40902445,NaN,NaN,NaN,NaN,1.7892884,1.5939143,1.5974239,571.3402006967673,246.8657854836283,86399
2026-07-09,6.8718114,3.3575106,7.9830914,4.612254,2.3296986,0.74842995,NaN,NaN,NaN,NaN,1.7949264,1.6038914,1.6060578,631.4161159272677,226.7012233937893,86399
2026-07-10,7.3117547,3.329061,8.7854185,4.5549207,2.4124906,0.45098135,NaN,NaN,NaN,NaN,1.8047155,1.6256884,1.6285863,691.5292075139758,207.50567714904108,86399
2026-07-11,7.221041,3.2372386,8.786308,4.5466747,2.5131416,0.56532663,NaN,NaN,NaN,NaN,NaN,NaN,NaN,632.7088160742601,34.36329124179678,86399
2026-07-12,7.1925144,3.237351,9.027203,4.677683,2.5366724,0.635618,NaN,NaN,NaN,NaN,NaN,NaN,NaN,781.8972441810669,39.76419865970671,86399
2026-07-13,7.323385,3.3244555,8.675765,4.767049,2.333178,0.48079303,NaN,NaN,NaN,NaN,1.8058754,1.6239399,1.6253839,657.6678549520249,239.8739105776687,86399
2026-07-14,7.152112,3.3473506,8.664363,4.511033,2.3654573,0.4890097,NaN,NaN,NaN,NaN,1.814938,1.6412027,1.6416212,661.9104735008507,223.73887429252653,86399
2026-07-15,6.971963,3.3403313,8.54996,4.3022895,2.362625,0.528896,NaN,NaN,NaN,NaN,1.8220491,1.6564957,1.6567451,644.0899084480144,200.24433153161496,86399
2026-07-16,7.2533584,3.3544438,8.631128,4.54916,2.3833926,0.46182775,NaN,NaN,NaN,NaN,1.8082813,1.625603,1.6266298,681.7135614995544,258.2044815333511,86399
2026-07-17,7.1383595,3.384264,8.550815,4.562915,2.298025,0.5392091,NaN,NaN,NaN,NaN,1.7974797,1.6085129,1.6106399,622.0164816722415,335.4786513732798,86399
2026-07-18,7.0591407,3.339725,8.541652,4.2550187,2.3697786,0.4679078,NaN,NaN,NaN,NaN,NaN,NaN,NaN,539.1104811929443,26.31134231492822,79199
2026-07-19,7.3508816,3.3836114,8.86424,4.1892037,2.4342103,0.45348543,NaN,NaN,NaN,NaN,NaN,NaN,NaN,685.3622264146576,50.195661986828554,86399
