coin,regime,name,h,n,fwd_bp,se,t,fwd_placebo_bp,fwd_all_bp,fwd_rv_bp
GOLD,2,R2 低ボラ/上,10,213734,0.21935671915140664,0.015416792557276866,14.228427757359185,-0.0005926508785825161,-0.0005305531354850308,0.9435601735343314
GOLD,3,R3 低ボラ/下,10,194231,-0.20172475839628504,0.019195737434654362,-10.50883088409556,0.0010119557118674835,-0.0005305531354850308,0.8997334658978932
GOLD,4,R4 高ボラ/上,10,432351,0.1748712932121094,0.012604995085741099,13.873174247400193,0.001429329504173147,-0.0005305531354850308,0.7743309829397963
GOLD,5,R5 高ボラ/下,10,418370,-0.16516702822127183,0.013328695537374228,-12.391837427611462,-0.000026679043704609088,-0.0005305531354850308,0.7940975286093646
GOLD,6,R6 高ボラ/両建て,10,5245814,-0.0025908518024745763,0.0018263709274559698,-1.4185791963319765,0.0015774449260112222,-0.0005305531354850308,0.4089818465818797
GOLD,1,R1 低ボラ/中立,60,2047291,-0.019735300836648918,0.018880784211283887,-1.0452585345927707,-0.007652996744876712,-0.0031855989081464547,2.4272669242158673
GOLD,2,R2 低ボラ/上,60,213734,0.33134885366670247,0.056049851978338644,5.911681154746983,-0.004715649259922047,-0.0031855989081464547,3.108739258283922
GOLD,3,R3 低ボラ/下,60,194231,-0.2674647876869514,0.07638235295317759,-3.5016568270803,-0.00577339380465914,-0.0031855989081464547,2.9298619838501816
GOLD,4,R4 高ボラ/上,60,432351,0.3459480301275098,0.032234296221283695,10.732296674096048,0.016907746843772935,-0.0031855989081464547,2.372908692573329
GOLD,5,R5 高ボラ/下,60,418370,-0.3043045124472927,0.03136200441074247,-9.702967592946925,-0.003385685720719691,-0.0031855989081464547,2.375773378173382
GOLD,6,R6 高ボラ/両建て,60,5245764,-0.0021882208867046488,0.010550307172768877,-0.20740826317859337,-0.0021515146730726863,-0.0031855989081464547,1.4416064056465998
GOLD,1,R1 低ボラ/中立,300,2047291,0.08679545110076704,0.16213387817129105,0.5353319866257037,-0.023881493936008753,-0.016193684442200547,6.255712443043209
GOLD,2,R2 低ボラ/上,300,213734,0.17593184112178925,0.17457015021675476,1.0078002505201706,-0.05631464257742682,-0.016193684442200547,7.325806519894324
GOLD,3,R3 低ボラ/下,300,194231,-0.4835283102829845,0.19379821591069962,-2.495009089793632,0.005860227445842757,-0.016193684442200547,7.153565460508865
GOLD,4,R4 高ボラ/上,300,432343,0.5122356535401786,0.10858621113200508,4.717317679658873,0.028561195161565134,-0.016193684442200547,5.73020205684659
GOLD,5,R5 高ボラ/下,300,418370,-0.3798820251806271,0.08556314731615941,-4.43978555133026,-0.002490093551627441,-0.016193684442200547,5.745085599963804
GOLD,6,R6 高ボラ/両建て,300,5245532,-0.031100087767835207,0.044905569301073235,-0.692566384345826,-0.020583076494867666,-0.016193684442200547,3.8813308341154387
GOOGL,1,R1 低ボラ/中立,10,3409350,0.0010973726898273737,0.0024737045753603754,0.4436150948491922,-0.003395958868574612,-0.0009222962502421048,0.638498184853093
GOOGL,2,R2 低ボラ/上,10,468857,0.17001365219557102,0.01152475640265462,14.75203867705264,-0.005945525982807005,-0.0009222962502421048,1.065440606513657
GOOGL,3,R3 低ボラ/下,10,439371,-0.16339156575460836,0.012885919469236503,-12.67985308651703,0.0007053970162459127,-0.0009222962502421048,1.100633719858277
GOOGL,4,R4 高ボラ/上,10,569934,0.1647323966599475,0.012528048680585683,13.149086570459135,0.0122188178741862,-0.0009222962502421048,1.079217631213652
GOOGL,5,R5 高ボラ/下,10,551704,-0.16713983595723353,0.010452960046995913,-15.989713459707332,-0.004236135845232109,-0.0009222962502421048,1.0988940708133457
GOOGL,6,R6 高ボラ/両建て,10,3112570,-0.009580560008502641,0.004165609274629983,-2.2999180616510535,0.002318616188745114,-0.0009222962502421048,0.8559743656088458
GOOGL,1,R1 低ボラ/中立,60,3409328,-0.005352115160753178,0.012438246885717754,-0.4302949772526832,0.0004921131000724267,-0.0055364148581635445,2.1886679580194444
GOOGL,2,R2 低ボラ/上,60,468857,0.3334615035379933,0.037435806835069085,8.907554871386223,-0.0016727212153688155,-0.0055364148581635445,3.2077840485794944
GOOGL,3,R3 低ボラ/下,60,439371,-0.27676760941821776,0.03786775581416186,-7.308793549226164,0.0008967659216043953,-0.0055364148581635445,3.30916850074487
GOOGL,4,R4 高ボラ/上,60,569919,0.3334450717975256,0.034754880643978005,9.59419412810735,-0.005955077134383197,-0.0055364148581635445,3.054042470850696
