metric,side,day_type,hor,hor_ms,x_form,y_kind,n,beta,r,r2,t
kappa_px,買い,立会日,50s,50000,log1p,絶対値,1070920,0.00014857771554292696,0.06284530388357114,0.003949532220218401,65.16438003783226
kappa_px,買い,立会日,100s,100000,log1p,絶対値,1070591,0.00020618761829455508,0.06253383658477676,0.003910480718011565,64.83018748158439
kappa_px,買い,立会日,10ms,10,生,二乗,1071286,1.1115968503522842e-14,0.0005883606667871356,3.461682742222028e-7,0.6089701649970339
kappa_px,買い,立会日,20ms,20,生,二乗,1071286,1.0711118319105889e-14,0.0005569689149918028,3.102143722671461e-7,0.5764787911733581
kappa_px,買い,立会日,50ms,50,生,二乗,1071286,1.8067805566343082e-14,0.0003299452884074871,1.0886389334229983e-7,0.3415027961986145
kappa_px,買い,立会日,100ms,100,生,二乗,1071286,7.879786061567145e-12,0.0021805667134336833,4.754871191734975e-6,2.2569540647358175
kappa_px,買い,立会日,500ms,500,生,二乗,1071285,8.746658721758165e-11,0.004532446792448203,0.000020543073926374008,4.691257611232066
kappa_px,買い,立会日,1s,1000,生,二乗,1071285,2.000282336868816e-10,0.001903930264979424,3.624950453904619e-6,1.970624742081731
kappa_px,買い,立会日,3s,3000,生,二乗,1071267,7.669683992380147e-10,0.0033374019287984147,0.00001113825163434738,3.454294724018365
kappa_px,買い,立会日,5s,5000,生,二乗,1071245,1.2532074423058886e-9,0.004837242839822788,0.00002339891829141683,5.006646977425525
kappa_px,買い,立会日,10s,10000,生,二乗,1071204,2.6403594530559253e-9,0.006219737634290193,0.00003868513623940576,6.437483861597837
kappa_px,買い,立会日,30s,30000,生,二乗,1071063,8.67741855954224e-9,0.010776894603701037,0.00011614145729928054,11.15387979328207
kappa_px,買い,立会日,50s,50000,生,二乗,1070920,1.3998198985725838e-8,0.014072733984278166,0.00019804184179225763,14.564634683501229
kappa_px,買い,立会日,100s,100000,生,二乗,1070591,2.5473092856474753e-8,0.01690626690339192,0.00028582186060872503,17.495291531608455
kappa_px,買い,立会日,10ms,10,生,符号つき,1071286,9.466141497058548e-11,0.0016186497336437486,2.620026960224978e-6,1.6753508038468108
