k,side,h,n,n_fill,sum_edge,sum_as,sum_pnl,sum_wait
7,1,3.0,8553590.0,335560.0,266298.7481523063,-917010.5840727601,-680241.1159204536,559975.1599999998
7,1,5.0,8553590.0,592488.0,247477.9236339015,-1499140.862627841,-1303801.8829939398,1577764.4100000001
7,1,10.0,8553590.0,1132509.0,102565.15929297489,-2715150.5825402755,-2712246.2152473014,5553434.185999999
7,1,30.0,8553590.0,2413272.0,-331375.8885027189,-5682189.7489799075,-6225933.573482625,29529946.129000008
7,1,60.0,8553590.0,3384378.0,-559729.2897041448,-8326404.335365255,-9183958.8890694,71654154.07300001
7,-1,0.1,8553590.0,4123.0,21875.224526718674,15493.702349564684,6018.69817715397,211.817
7,-1,0.5,8553590.0,29027.0,94407.96658671467,108555.58179448647,-16701.99120777182,8306.198000000002
7,-1,1.0,8553590.0,78582.0,162035.2023859133,276685.4484590746,-121565.46207316127,45925.34499999999
7,-1,3.0,8553590.0,341261.0,255408.6885167118,927536.8620863918,-702159.1415696801,569773.422
7,-1,5.0,8553590.0,603995.0,229312.54479902322,1505342.189606816,-1329181.2048077933,1606219.944
7,-1,10.0,8553590.0,1156697.0,86641.50935128704,2727319.6845072657,-2742467.5111559783,5661654.464
7,-1,30.0,8553590.0,2460522.0,-285943.66199146304,5634013.909429652,-6136483.507421112,30020781.447000004
7,-1,60.0,8553590.0,3434504.0,-408713.654251887,8130035.227290659,-8840985.233542543,72257576.83899999
8,1,0.1,8553590.0,3489.0,20656.70029195008,-13324.896587674479,7024.771704275605,179.646
8,1,0.5,8553590.0,23415.0,86838.92027098664,-93832.54538454507,-9054.1451135584,6644.1780000000035
8,1,1.0,8553590.0,63569.0,155519.5278917359,-239895.81406475697,-89970.35817302098,37051.00600000001
8,1,3.0,8553590.0,281343.0,270219.957114034,-830986.1959087669,-585524.4227947331,475720.60599999974
8,1,5.0,8553590.0,507078.0,275450.551239736,-1374637.85385843,-1143810.1666186936,1371349.4429999997
8,1,10.0,8553590.0,998202.0,180637.49562709808,-2531442.541443066,-2438646.8218159685,4994586.767000001
8,1,30.0,8553590.0,2214458.0,-166471.3610746057,-5428483.9552919995,-5789827.620366609,27845322.450000003
8,1,60.0,8553590.0,3164014.0,-353316.4373875573,-8077829.8313413495,-8709579.50072891,69095159.53199998
8,-1,0.1,8553590.0,3160.0,18567.14100568477,12901.492439419155,5387.568566265615,164.28900000000013
8,-1,0.5,8553590.0,22880.0,83324.74013603042,93718.09208318488,-12406.79194715445,6588.112000000003
8,-1,1.0,8553590.0,63361.0,148709.87289362025,244508.8860529858,-101374.78115936552,37364.28900000001
8,-1,3.0,8553590.0,285405.0,257280.52432345098,842096.4035574124,-609931.5192339614,482735.06600000005
8,-1,5.0,8553590.0,516141.0,256332.89254471805,1382968.3474574813,-1172055.8629127636,1394437.3780000003
8,-1,10.0,8553590.0,1017092.0,160474.6749927623,2543727.615742255,-2472757.0367494924,5078840.29
8,-1,30.0,8553590.0,2252794.0,-131028.96710879852,5418722.497794086,-5747997.336902887,28263595.330000006
8,-1,60.0,8553590.0,3204141.0,-216039.1411869176,7936692.541477542,-8434696.090664458,69567022.40299998
9,1,0.1,8553590.0,2694.0,17574.891881783708,-11279.037319978837,6058.7825618048655,140.66999999999996
9,1,0.5,8553590.0,18669.0,76918.6962860507,-81643.6520829316,-6367.827796880931,5336.870999999999
9,1,1.0,8553590.0,51505.0,141391.79814885627,-212467.51544123207,-75608.15729237582,30229.006999999998
9,1,3.0,8553590.0,236986.0,265669.8201098356,-752841.1855625773,-508026.13345274195,405556.8519999999
9,1,5.0,8553590.0,435753.0,290104.5931368773,-1257744.3260138482,-1005985.9968769705,1195243.2540000002
9,1,10.0,8553590.0,881528.0,234304.82969154482,-2354651.750947139,-2197921.3852555957,4490559.8659999985
9,1,30.0,8553590.0,2033132.0,-39041.70017848936,-5177734.422626693,-5395691.738805186,26214938.652000006
9,1,60.0,8553590.0,2960504.0,-191447.50395261345,-7811628.907730015,-8263600.76368263,66547252.34700001
9,-1,0.1,8553590.0,2403.0,15507.68074695275,10690.462281889155,4605.754465063598,125.28200000000001
9,-1,0.5,8553590.0,18232.0,73443.83637359946,81196.06039920403,-9356.64002560465,5293.214
9,-1,1.0,8553590.0,51588.0,136168.33361652322,216721.3719433672,-85092.78232684403,30659.463
9,-1,3.0,8553590.0,240358.0,255679.87655814644,764791.4398604231,-530263.0673022767,411234.4110000001
9,-1,5.0,8553590.0,443747.0,274589.2449218315,1273518.6010199864,-1037979.0920981556,1216206.2010000004
9,-1,10.0,8553590.0,897908.0,219733.70383166734,2378546.6565987985,-2237828.8567671305,4564832.379999999
9,-1,30.0,8553590.0,2065286.0,-2868.2443156465906,5218495.743954911,-5403109.156270555,26563562.211999994
9,-1,60.0,8553590.0,2990018.0,-59370.67942348714,7776701.05797484,-8099193.321398331,66749627.58900002
10,1,0.1,8553590.0,2092.0,14980.214763150318,-9563.094835695161,5233.023927455164,109.512
10,1,0.5,8553590.0,15070.0,68166.22625085844,-71438.93483255236,-4598.868581693954,4334.895
10,1,1.0,8553590.0,42276.0,128954.80389699354,-188769.36616783682,-63534.850270843286,25000.594
10,1,3.0,8553590.0,201044.0,258427.06942408535,-680905.2626784177,-440170.0652543319,347758.25299999997
10,1,5.0,8553590.0,376481.0,297043.5052673494,-1150314.3695672608,-886401.1922999107,1045684.8860000003
10,1,10.0,8553590.0,781835.0,275217.6815797515,-2183288.753961555,-1976872.552381803,4048611.8110000007
10,1,30.0,8553590.0,1874629.0,73800.82395601278,-4920603.126314404,-5011769.65435839,24749137.050000012
10,1,60.0,8553590.0,2779586.0,-40538.0706703551,-7531198.564344775,-7816340.203015131,64146152.44399999
10,-1,0.1,8553590.0,1875.0,13230.136757660113,9036.204405588425,4028.932352071687,98.09700000000001
10,-1,0.5,8553590.0,14811.0,65789.56840395513,71377.71922801797,-6891.51882406285,4325.99
10,-1,1.0,8553590.0,42402.0,124699.15340775234,193626.37526884174,-72658.59786108935,25331.13400000001
10,-1,3.0,8553590.0,203973.0,249965.28498807328,695098.9796229433,-463083.31863487,352615.78500000003
10,-1,5.0,8553590.0,383531.0,284244.8449199231,1171816.120081055,-921322.0031611312,1064535.0469999998
10,-1,10.0,8553590.0,795797.0,263600.95487313264,2221379.71848582,-2027808.899612687,4110691.5819999995
10,-1,30.0,8553590.0,1898824.0,102314.46203177076,5016045.442283722,-5080827.4922519475,24975328.623
10,-1,60.0,8553590.0,2798833.0,69624.02036384631,7569821.6651415555,-7746494.948777706,64114393.179000005
