window,side,band,band_i,rate_mean,rate_med,rate_p10,rate_p90,sz_mean,n_days,n_total
閉場前 1h,買い(bid),0–1,1,8.819365671641792,6.116944444444444,2.1847222222222222,19.996388888888887,95.30818565506024,67,2127231
閉場前 1h,買い(bid),1–2,2,7.567043946932007,5.641666666666667,2.446388888888889,15.720833333333333,73.54913882255443,67,1825171
閉場前 1h,買い(bid),2–5,3,14.225655058043118,12.986666666666666,5.8075,24.551944444444445,170.0328221144243,67,3431228
閉場前 1h,買い(bid),5–10,4,11.245742122719735,10.167777777777777,4.762777777777778,17.468611111111112,198.42672317993146,67,2712473
閉場前 1h,買い(bid),10–25,5,11.352019071310117,11.13111111111111,4.617222222222222,18.221944444444443,253.1852985696533,67,2738107
閉場前 1h,買い(bid),25–50,6,4.47101575456053,3.8216666666666668,1.4497222222222221,8.000277777777777,139.30650679933754,67,1078409
閉場前 1h,買い(bid),50–100,7,1.8499046434494195,1.451111111111111,0.5683333333333334,3.8205555555555555,91.02671281509018,67,446197
閉場前 1h,買い(bid),100+,8,2.3164510779436154,1.5819444444444444,0.8183333333333334,4.03,83.3478276409624,67,558728
閉場日 昼 12 時 ET,売り(ask),mid より内,0,0.15188172043010753,0.1502777777777778,0.0775,0.23277777777777778,0.37578039426523274,31,16950
閉場日 昼 12 時 ET,売り(ask),0–1,1,0.8015501792114695,0.56,0.23472222222222222,1.5133333333333334,2.613390179211466,31,89453
閉場日 昼 12 時 ET,売り(ask),1–2,2,0.6680824372759856,0.5555555555555556,0.25833333333333336,1.0780555555555555,2.6282523207885355,31,74558
閉場日 昼 12 時 ET,売り(ask),2–5,3,1.299094982078853,1.2605555555555557,0.5163888888888889,2.3161111111111112,8.224943745519711,31,144979
閉場日 昼 12 時 ET,売り(ask),5–10,4,0.9363620071684587,0.8283333333333334,0.3433333333333333,1.7472222222222222,7.028586164874548,31,104498
閉場日 昼 12 時 ET,売り(ask),10–25,5,1.1354390681003586,0.8361111111111111,0.3388888888888889,1.9797222222222222,10.056192034050078,31,126715
閉場日 昼 12 時 ET,売り(ask),25–50,6,0.4297401433691756,0.3233333333333333,0.11861111111111111,0.7877777777777778,5.769283037634445,31,47959
閉場日 昼 12 時 ET,売り(ask),50–100,7,0.21831541218637993,0.17916666666666667,0.04472222222222222,0.3975,6.830993405017928,31,24364
閉場日 昼 12 時 ET,売り(ask),100+,8,0.4228942652329749,0.24944444444444444,0.11694444444444445,0.7444444444444445,14.97960401433676,31,47195
閉場日 昼 12 時 ET,買い(bid),mid より内,0,0.1470609318996416,0.1213888888888889,0.0475,0.28305555555555556,0.2793391845878138,31,16412
閉場日 昼 12 時 ET,買い(bid),0–1,1,0.8359767025089606,0.6863888888888889,0.3411111111111111,1.4325,2.6125539336917747,31,93295
閉場日 昼 12 時 ET,買い(bid),1–2,2,0.646926523297491,0.6125,0.1825,1.0283333333333333,2.2760806541218765,31,72197
閉場日 昼 12 時 ET,買い(bid),2–5,3,1.2084498207885304,1.2191666666666667,0.5288888888888889,2.2797222222222224,6.79726961469537,31,134863
閉場日 昼 12 時 ET,買い(bid),5–10,4,0.8063978494623655,0.7219444444444444,0.3186111111111111,1.5816666666666668,5.119562141577073,31,89994
閉場日 昼 12 時 ET,買い(bid),10–25,5,0.7617831541218638,0.725,0.3013888888888889,1.238888888888889,6.040916496415789,31,85015
閉場日 昼 12 時 ET,買い(bid),25–50,6,0.4492921146953405,0.2775,0.14583333333333334,0.7138888888888889,5.123000779569947,31,50141
閉場日 昼 12 時 ET,買い(bid),50–100,7,0.38870967741935486,0.15861111111111112,0.05694444444444444,0.3686111111111111,6.962114381720527,31,43380
閉場日 昼 12 時 ET,買い(bid),100+,8,0.3728763440860215,0.24972222222222223,0.12027777777777778,0.6813888888888889,16.939173360215516,31,41613
開場前 1h,売り(ask),mid より内,0,1.8188515754560532,1.0633333333333332,0.3794444444444444,4.193888888888889,20.77150545605307,67,438707
開場前 1h,売り(ask),0–1,1,6.767251243781095,3.9883333333333333,1.121388888888889,16.669722222222223,63.51547774875642,67,1632261
開場前 1h,売り(ask),1–2,2,5.502487562189055,3.638611111111111,1.5061111111111112,12.54861111111111,44.63970070066394,67,1327200
開場前 1h,売り(ask),2–5,3,9.789660033167497,8.97861111111111,2.798888888888889,19.316944444444445,98.5813608540635,67,2361266
開場前 1h,売り(ask),5–10,4,7.280169983416252,6.948333333333333,2.3963888888888887,12.934444444444445,103.57614090381352,67,1755977
開場前 1h,売り(ask),10–25,5,8.283424543946932,7.149444444444445,2.836388888888889,16.114444444444445,146.0155488059707,67,1997962
開場前 1h,売り(ask),25–50,6,3.5241210613598675,2.678611111111111,0.9491666666666667,7.594166666666666,88.87282982587095,67,850018
開場前 1h,売り(ask),50–100,7,1.4863266998341627,1.091388888888889,0.4716666666666667,2.966666666666667,61.08840006633521,67,358502
開場前 1h,売り(ask),100+,8,1.5994320066334993,1.245,0.6497222222222222,2.930277777777778,61.60710624792785,67,385783
開場前 1h,買い(bid),mid より内,0,1.7789883913764513,1.0386111111111112,0.3322222222222222,3.946111111111111,20.854255626036455,67,429092
開場前 1h,買い(bid),0–1,1,6.8401824212271976,4.0488888888888885,1.0063888888888888,17.33138888888889,64.94858989635186,67,1649852
開場前 1h,買い(bid),1–2,2,5.524307628524046,3.314722222222222,1.5427777777777778,12.783888888888889,45.20866968905512,67,1332463
開場前 1h,買い(bid),2–5,3,9.815559701492537,8.464722222222223,2.8941666666666666,19.535,98.43285754145987,67,2367513
開場前 1h,買い(bid),5–10,4,7.59910447761194,7.351388888888889,2.7883333333333336,12.810277777777777,108.2116144693192,67,1832904
開場前 1h,買い(bid),10–25,5,8.411194029850746,6.945277777777778,3.4530555555555558,15.716111111111111,156.60177855721517,67,2028780
開場前 1h,買い(bid),25–50,6,3.64544776119403,2.785833333333333,1.0138888888888888,8.510833333333334,89.3576492827532,67,879282
開場前 1h,買い(bid),50–100,7,1.400360696517413,1.0108333333333333,0.4658333333333333,3.2025,58.64346063432876,67,337767
開場前 1h,買い(bid),100+,8,1.5475414593698176,1.2216666666666667,0.5647222222222222,3.0694444444444446,55.357906948590724,67,373267
開場後 1h,売り(ask),mid より内,0,5.445592868988391,4.187222222222222,1.5141666666666667,11.334166666666667,73.70191620232146,67,1313477
開場後 1h,売り(ask),0–1,1,11.44347014925373,6.694444444444445,1.178611111111111,28.253333333333334,158.6817731426159,67,2760165
開場後 1h,売り(ask),1–2,2,10.846592039800996,6.7155555555555555,1.835,26.068055555555556,142.25689002901896,67,2616198
開場後 1h,売り(ask),2–5,3,24.823814262023216,17.587222222222223,7.480555555555555,52.723333333333336,334.81791771559415,67,5987504
開場後 1h,売り(ask),5–10,4,23.001985903814262,19.535833333333333,7.755277777777778,44.73083333333334,395.55881802239605,67,5548079
開場後 1h,売り(ask),10–25,5,26.54662106135987,23.506944444444443,10.338055555555556,49.85611111111111,615.8074124295274,67,6403045
開場後 1h,売り(ask),25–50,6,10.97533167495854,9.235555555555555,4.8125,21.694444444444443,350.94659080016237,67,2647250
開場後 1h,売り(ask),50–100,7,5.148511608623549,3.922222222222222,1.8302777777777777,9.569166666666666,252.24864105722705,67,1241821
開場後 1h,売り(ask),100+,8,4.852848258706468,4.033611111111111,2.501388888888889,8.825555555555555,145.77479445274489,67,1170507
開場後 1h,買い(bid),mid より内,0,5.360136815920398,4.0408333333333335,1.4097222222222223,11.873611111111112,71.5740216334989,67,1292865
開場後 1h,買い(bid),0–1,1,11.324776119402985,6.1738888888888885,1.2016666666666667,29.18861111111111,155.45831177860015,67,2731536
開場後 1h,買い(bid),1–2,2,10.742014925373136,6.262222222222222,1.9183333333333332,25.593611111111112,138.47264678689484,67,2590974
開場後 1h,買い(bid),2–5,3,24.518830845771145,16.43777777777778,6.604722222222223,52.07611111111111,325.8559656260376,67,5913942
開場後 1h,買い(bid),5–10,4,23.043905472636816,19.32777777777778,7.972777777777778,46.591944444444444,398.5686085986741,67,5558190
開場後 1h,買い(bid),10–25,5,26.86201077943615,23.5175,11.903888888888888,52.422222222222224,643.413899921235,67,6479117
開場後 1h,買い(bid),25–50,6,11.36521144278607,9.360277777777778,4.6825,23.897777777777776,356.1692207835859,67,2741289
開場後 1h,買い(bid),50–100,7,5.130725538971808,3.8513888888888888,2.011388888888889,10.216666666666667,250.03101604064096,67,1237531
開場後 1h,買い(bid),100+,8,4.681019900497512,3.8116666666666665,2.3313888888888887,8.233055555555556,144.7655031260327,67,1129062
