dt,n_trade,n_row,vol,notional,px_open,px_close,px_min,px_max,px_med,sz_med,sz_p99,n_taker,buy_vol,sell_vol,n_liq,n_maker
2026-07-21,297269,297269,472287.583,594254074.9131,1200.5,1334.0,1177.7,1349.6,1263.0,0.45,15.626,2681,256557.124,215730.459,82,1057
2026-07-22,316906,316906,452061.532,579250499.0831,1333.7,1295.1,1222.8,1353.2,1269.0,0.42,13.968,2607,226705.601,225355.931,45,1006
2026-07-23,321365,321365,456042.351,588725496.3456,1295.0,1280.5,1255.2,1324.9,1291.8,0.491,13.518,2112,224920.915,231121.436,6,814
2026-07-24,241498,241498,360474.26,436000658.2078,1280.9,1165.5,1153.8,1283.1,1212.9,0.462,13.819,2105,177133.022,183341.238,272,875
2026-07-25,59008,59008,51762.895,61834374.743,1165.5,1222.6,1162.4,1223.0,1194.9,0.207,10.0,1101,27682.503,24080.392,0,370
2026-07-26,84922,84922,100801.492,124199575.4699,1222.5,1248.1,1208.8,1255.0,1225.0,0.325,12.412,1342,53155.03,47646.462,26,458
2026-07-27,419273,420925,841960.106,960976871.263662,1247.9,1136.1,900.03,1250.6,1171.9,0.458,18.813,3934,424727.957,417232.149,5557,1871
2026-07-28,504815,505847,915395.001,970926748.33238,1136.2,1070.5,978.7,1140.0,1064.2,0.4,18.778,3490,451465.023,463929.978,556,1391
2026-07-29,1014309,1015836,2134198.498,2075146465.94133,1070.8,948.58,879.4,1113.4,975.41,0.369,21.539,4902,1064174.988,1070023.51,1491,1968
2026-07-30,960726,960726,1502801.191,1457624249.02371,949.23,1105.8,897.43,1110.8,945.32,0.185,20.0,4315,739443.794,763357.397,181,1670
2026-07-31,606353,606563,1225106.551,1409629088.6529,1105.7,1086.7,1080.0,1210.6,1149.7,0.36,21.497,4646,616371.483,608735.068,778,1556
2026-08-01,56042,56042,48847.053,53128098.5213,1087.1,1089.5,1068.4,1105.0,1089.3,0.147,13.274,1112,24908.157,23938.896,14,377
2026-08-02,146186,146186,199937.961,226841761.4648,1089.5,1145.3,1089.5,1163.8,1125.6,0.212,15.656,1765,102501.053,97436.908,12,645
2026-08-03,417469,418168,723734.4619999999,794920583.5008,1145.0,1133.2,1047.8,1145.0,1100.0,0.313,19.039,2688,351157.912,372576.55,152,965
2026-08-04,410645,410645,678941.327,756016394.7553,1133.2,1184.5,1045.1,1186.1,1111.3,0.289,18.208,2962,343665.043,335276.284,98,1057
2026-08-05,332432,332432,501959.747,580346128.6620001,1184.5,1123.3,1105.5,1195.4,1161.6,0.267,16.353,2302,251183.004,250776.743,24,865
2026-08-06,306097,306097,556196.862,595193096.2487,1123.1,1066.4,1025.3,1130.0,1066.9,0.372,18.566,2485,279391.847,276805.015,65,990
2026-08-07,349362,349362,647872.446,663648178.14259,1066.3,1013.0,986.65,1082.5,1016.8,0.349,19.512,2884,326960.032,320912.414,84,1180
2026-08-08,30240,30240,23919.08,24396828.0098,1013.0,1024.1,1008.4,1029.9,1021.5,0.2,9.726,852,12630.85,11288.23,0,283
2026-08-09,52978,52978,64888.459,66617533.6132,1024.2,1030.0,1015.7,1034.8,1024.3,0.267,12.496,911,32940.794,31947.665,0,348
2026-08-10,250771,250771,418417.812,422399160.00878,1029.5,988.5,981.25,1055.3,1004.0,0.356,17.715,2010,208526.817,209890.995,1,834
