feature,target,n,n_days,d1,d10,spread_bp,se_bp,t,monotone_rho,max_dec_share,n_dec_pop,family,ab
qb1,fwd_micro_300ms,1692166,98,0.05851290090472708,-0.1351059062670223,-0.21856131726011474,0.01712668871938554,-12.761446234071343,-0.9878787878787878,0.12473658021730728,10,3 板の厚み,0.21856131726011474
cum_b1,fwd_micro_300ms,1692166,98,0.05851290090472708,-0.1351059062670223,-0.21856131726011474,0.01712668871938554,-12.761446234071343,-0.9878787878787878,0.12473658021730728,10,3 板の厚み,0.21856131726011474
d_obi,fwd_mid_300ms,1692166,98,-0.11001560365644879,0.06589209117651824,0.21469868250086405,0.012293393411168717,17.464558020717643,0.9757575757575757,0.20401426337605175,10,2 板の偏り OBI,0.21469868250086405
obi_vel,fwd_mid_300ms,1692166,98,-0.11001560365644879,0.06589209117651824,0.21469868250086405,0.012293393411168717,17.464558020717643,0.9757575757575757,0.20401426337605175,10,2 板の偏り OBI,0.21469868250086405
trade_imb,fwd_micro_10s,1692166,88,-0.15688462721072377,0.016586501454968674,0.2143971419914625,0.037930702072691884,5.652337823343829,1.0,0.6997227222388347,4,12 攻撃的な約定フロー,0.2143971419914625
size_wgt_imb,fwd_micro_10s,1692166,88,-0.15683261943061613,0.01659048480457818,0.21423010050546967,0.037935354854089644,5.647241243147999,1.0,0.6997262679902563,4,12 攻撃的な約定フロー,0.21423010050546967
ofi_pct,fwd_mid_300ms,1674899,94,-0.06969838695017057,0.033842853954918664,0.2108012979092302,0.03796506168113246,5.552507715639834,0.9757575757575757,0.24329705850919967,10,8 OFI,0.2108012979092302
d_ask,fwd_mid_5s,1692166,98,-0.15693978853026544,0.04179860784523078,0.2105380843720281,0.04631200336899832,4.546080261191296,0.6190476190476191,0.37293622493301487,8,1 価格と最良気配,0.2105380843720281
ofi_per_event,fwd_mid_300ms,988233,98,-0.10677955185711889,0.10128500956920307,0.2100737644546009,0.020838709557499804,10.08093921914641,0.9999999999999999,0.1283715480053793,10,8 OFI,0.2100737644546009
obi_acc,fwd_mid_30s,1692166,98,-0.0915583581524818,0.09673864113703248,0.20905046906265431,0.03820749860521108,5.471451330083727,0.3696969696969697,0.1676224436609647,10,2 板の偏り OBI,0.20905046906265431
qb1,fwd_mid_300ms,1692166,98,-0.07693865602348511,0.09219730121749521,0.20875946258521638,0.013848747104089865,15.07424902889336,0.9878787878787878,0.12473658021730728,10,3 板の厚み,0.20875946258521638
cum_b1,fwd_mid_300ms,1692166,98,-0.07693865602348511,0.09219730121749521,0.20875946258521638,0.013848747104089865,15.07424902889336,0.9878787878787878,0.12473658021730728,10,3 板の厚み,0.20875946258521638
micro_minus_bid,fwd_micro_100ms,1692166,98,0.006769980996713658,-0.19679318334584073,-0.20774489646184047,0.01367110003655333,-15.195916634826686,-0.7333333333333332,0.10405303025826071,10,4 マイクロプライス,0.20774489646184047
micro_mom,fwd_micro_300ms,1692166,98,0.07574711079743263,-0.0788709137946145,-0.20693705126202663,0.028731662661174284,-7.202404319665953,-0.9636363636363635,0.1402835182836672,10,4 マイクロプライス,0.20693705126202663
qa1,fwd_mid_300ms,1692166,98,0.0726463570095883,-0.0977378480827271,-0.2043592372262495,0.0124706103278206,-16.387268293545013,-0.9878787878787878,0.12099994917756296,10,3 板の厚み,0.2043592372262495
cum_a1,fwd_mid_300ms,1692166,98,0.0726463570095883,-0.0977378480827271,-0.2043592372262495,0.0124706103278206,-16.387268293545013,-0.9878787878787878,0.12099994917756296,10,3 板の厚み,0.2043592372262495
ofi_0.5s,fwd_mid_300ms,1692166,98,-0.09911079215517374,0.044907415330053276,0.20327147042155208,0.02899881173502773,7.0096482669329525,0.9999999999999999,0.2522607120105238,10,8 OFI,0.20327147042155208
ofi_5s,fwd_mid_1s,1692068,96,-0.08135576142717775,0.07214501356892604,0.20129457986692575,0.03397893550864606,5.9240990588332485,0.9878787878787878,0.15235912504698393,10,8 OFI,0.20129457986692575
micro_minus_bid,fwd_mid_300ms,1692166,98,-0.12233888129163298,0.07583463461697967,0.20090330335688103,0.015790773404579652,12.722828591702475,0.9636363636363635,0.10405303025826071,10,4 マイクロプライス,0.20090330335688103
signed_cnt,fwd_micro_5s,1692166,98,-0.15358037713136047,0.01585436279232315,0.19973135804734854,0.026920300038758678,7.4193585420587445,0.7999999999999999,0.7023371229536582,4,12 攻撃的な約定フロー,0.19973135804734854
trade_dollar_imb,fwd_micro_5s,1692166,98,-0.13348933836534999,0.015257266374858544,0.19804994611857235,0.028395932789169524,6.974588494381508,0.39999999999999997,0.6956226516783814,4,12 攻撃的な約定フロー,0.19804994611857235
signed_vol,fwd_micro_5s,1692166,98,-0.13377653954166263,0.015234799090559682,0.19695573951819556,0.028547407603737418,6.899251317391432,0.39999999999999997,0.6956894299968206,4,12 攻撃的な約定フロー,0.19695573951819556
ofi_2s,fwd_mid_500ms,1692166,96,-0.08851214999430024,0.08448602610191677,0.19581954310756877,0.029860277585184444,6.557860775036034,0.9878787878787878,0.16591752818576902,10,8 OFI,0.19581954310756877
micro_minus_ask,fwd_micro_100ms,1692166,98,0.18033487506275084,-0.012598915384119164,-0.19525585906356915,0.013155535985908054,-14.842105960009786,-0.8060606060606059,0.10331728683828892,10,4 マイクロプライス,0.19525585906356915
obi_acc,fwd_mid_5s,1692166,98,-0.09211947158227843,0.08597634334826938,0.19483913710490705,0.022229619543563083,8.764843533335487,0.8909090909090909,0.1676224436609647,10,2 板の偏り OBI,0.19483913710490705
ofi_0.1s,fwd_mid_300ms,1692166,98,-0.1446290246249926,0.027642978950219933,0.19330151626105033,0.01748040648260905,11.058181996703716,1.0,0.42465691900203645,6,8 OFI,0.19330151626105033
trade_imb,fwd_micro_5s,1692166,88,-0.13968260373365732,0.014558747722404682,0.1908907000545164,0.023944540479400672,7.97220143851741,1.0,0.6997227222388347,4,12 攻撃的な約定フロー,0.1908907000545164
size_wgt_imb,fwd_micro_5s,1692166,88,-0.1393924104447129,0.014573142973677398,0.19061881019879312,0.023926291205924856,7.966918422843164,1.0,0.6997262679902563,4,12 攻撃的な約定フロー,0.19061881019879312
micro_ret,fwd_mid_1s,1692166,98,-0.10954518073846778,0.06083612864457972,0.187601654608872,0.027656576186897357,6.7832566598663275,0.9636363636363635,0.2008715456994172,10,4 マイクロプライス,0.187601654608872
ofi_0.25s,fwd_micro_500ms,1692166,98,0.04706788062363181,-0.01800839274448997,-0.18628146753022626,0.032498647826840775,-5.731975943207569,0.18333333333333335,0.3103743958926016,9,8 OFI,0.18628146753022626
d_micro,fwd_mid_1s,1692166,98,-0.10794635373020806,0.06038213634011094,0.18593770681044552,0.027892325945329068,6.6662675308935,0.9878787878787878,0.20083963393662324,10,4 マイクロプライス,0.18593770681044552
ofi_1s,fwd_mid_300ms,1692166,96,-0.08574023294206685,0.05564774346628127,0.1850785202083598,0.016085842108865316,11.505678033875412,0.9878787878787878,0.20454908088213566,10,8 OFI,0.1850785202083598
ofi_per_time,fwd_mid_300ms,1692166,96,-0.08574023294206685,0.05564774346628127,0.1850785202083598,0.016085842108865316,11.505678033875412,0.9878787878787878,0.20454908088213566,10,8 OFI,0.1850785202083598
ofi_dollar,fwd_mid_300ms,1692166,96,-0.08622517358547169,0.05540556650826778,0.1834196699801424,0.015931632575682194,11.512923682417295,0.9878787878787878,0.20463476987482315,10,8 OFI,0.1834196699801424
d_ofi,fwd_mid_3s,1692166,96,-0.08670767325223702,0.09698944226269211,0.182546664554297,0.03285734175020384,5.5557344213082756,0.9757575757575757,0.16034242503395058,10,8 OFI,0.182546664554297
ofi_vel,fwd_mid_3s,1692166,96,-0.08670767325223702,0.09698944226269211,0.182546664554297,0.03285734175020384,5.5557344213082756,0.9757575757575757,0.16034242503395058,10,8 OFI,0.182546664554297
obi_acc,fwd_mid_3s,1692166,98,-0.07913723140043064,0.08988081123108037,0.18207603740623962,0.01848571541361933,9.84955319998572,0.9515151515151514,0.1676224436609647,10,2 板の偏り OBI,0.18207603740623962
obi_acc,fwd_mid_10s,1692166,98,-0.07855804622219378,0.08729429274306735,0.18091963028090835,0.02677574149888828,6.7568485559371,0.8545454545454544,0.1676224436609647,10,2 板の偏り OBI,0.18091963028090835
ofi_0.25s,fwd_mid_300ms,1692166,98,-0.12363967775480748,0.039460672227816136,0.18067267497468964,0.02226244051670638,8.115582603762945,0.7999999999999999,0.3103743958926016,9,8 OFI,0.18067267497468964
aggr_imb,fwd_micro_10s,1692166,22,-0.11744301155549576,0.04954826333866849,0.1782652725070473,0.036282732372814715,4.913226233220923,0.8545454545454544,0.25394021626719837,10,12 攻撃的な約定フロー,0.1782652725070473
aggr_mom,fwd_micro_5s,1692166,98,-0.08256078996343065,0.06651521261383175,0.1776618796889566,0.026471471192098556,6.711447142461305,0.9151515151515152,0.19096767102045545,10,12 攻撃的な約定フロー,0.1776618796889566
signed_cnt,fwd_mid_5s,1692166,98,-0.15661097114972888,0.016008306753750465,0.1772458775090647,0.03436632965525124,5.157544587598437,1.0,0.7023371229536582,4,12 攻撃的な約定フロー,0.1772458775090647
d_micro,fwd_micro_100ms,1692166,98,0.07125195639688484,-0.05353418579802262,-0.1761905067503175,0.012162798932010813,-14.486016560432347,-0.5757575757575757,0.20083963393662324,10,4 マイクロプライス,0.1761905067503175
