dt,n_trade,n_row,vol,notional,px_open,px_close,px_min,px_max,px_med,sz_med,sz_p99,n_taker,buy_vol,sell_vol,n_liq,n_maker
2026-07-31,211573,211595,1610239.997,282227195.27963,172.46,163.17,161.82,185.83,174.35,3.029,80.799,1157,801390.85,808849.147,226,509
2026-08-01,21697,21697,62161.387,10120111.30399,163.27,163.62,160.74,165.52,163.05,1.285,18.34,437,27291.459,34869.928,3,188
2026-08-02,45100,45100,183550.848,31550705.44264,163.64,173.89,163.64,177.02,169.88,1.245,41.758,652,90708.887,92841.961,0,269
2026-08-03,114051,114665,664602.111,110828955.37545,173.68,171.94,156.56,173.86,168.23,1.791,50.0,860,321440.035,343162.076,27,396
2026-08-04,99052,99052,762054.272,129684362.5104,171.93,177.51,160.29,182.0,169.04,1.882,69.949,896,383276.779,378777.493,57,403
2026-08-05,81550,81550,472643.528,81541436.34029,177.48,169.58,167.2,177.89,172.74,1.302,56.687,724,229096.612,243546.916,3,303
2026-08-06,96891,96891,595988.996,98124021.32338,169.66,165.07,157.7,172.76,164.12,1.322,58.285,748,297820.507,298168.489,62,346
2026-08-07,75344,75344,451044.775,74191344.8582,165.11,166.18,159.52,169.75,164.51,1.292,60.339,586,228205.864,222838.911,1,303
2026-08-08,9406,9406,27658.27,4634164.8957,166.15,168.34,165.75,168.99,168.19,0.839,30.066,287,10758.652,16899.618,0,132
2026-08-09,15494,15494,66045.03,11072410.40168,168.3,167.53,166.54,168.78,167.77,0.89,49.4,341,37126.985,28918.045,0,140
2026-08-10,67812,67812,415077.427,67601257.81986,167.42,161.52,159.05,169.17,162.42,1.325,70.228,665,197111.792,217965.635,0,336
