a,b,px,horizon,n,rank_corr,same_sign
MU,SKHX,micro,500ms,66,0.7527189228681768,0.8636363636363636
MU,SKHX,micro,1s,66,0.7853251226385556,0.9393939393939394
MU,SKHX,micro,3s,66,0.7844066381379815,0.8787878787878788
MU,SKHX,micro,5s,66,0.8631458094144662,0.9090909090909091
MU,SKHX,micro,10s,66,0.8692412065546394,0.8484848484848485
MU,SKHX,micro,30s,66,0.8783843022648995,0.7727272727272727
MU,SKHX,micro,60s,66,0.8895313641582299,0.7878787878787878
MU,SMSN,mid,ALL,567,0.9196734523091962,0.908289241622575
MU,SMSN,mid,100ms,63,0.701804915514593,0.8253968253968254
MU,SMSN,mid,300ms,63,0.7402553763440861,0.8888888888888888
MU,SMSN,mid,500ms,63,0.7547043010752689,0.9206349206349206
MU,SMSN,mid,1s,63,0.7515360983102919,0.8888888888888888
MU,SMSN,mid,3s,63,0.7198540706605223,0.9206349206349206
MU,SMSN,mid,5s,63,0.7409754224270354,0.9206349206349206
MU,SMSN,mid,10s,63,0.7585925499231951,0.9365079365079365
MU,SMSN,mid,30s,63,0.8017953149001535,0.9206349206349206
MU,SMSN,mid,60s,63,0.8233966973886329,0.9523809523809523
MU,SMSN,micro,ALL,567,0.7190600743579393,0.6966490299823633
MU,SMSN,micro,100ms,63,0.5338421658986175,0.6349206349206349
MU,SMSN,micro,300ms,63,0.4334197388632873,0.5873015873015873
MU,SMSN,micro,500ms,63,0.48127880184331806,0.6507936507936508
MU,SMSN,micro,1s,63,0.6060867895545314,0.6825396825396826
MU,SMSN,micro,3s,63,0.6316724270353303,0.7301587301587301
MU,SMSN,micro,5s,63,0.7427515360983103,0.7619047619047619
MU,SMSN,micro,10s,63,0.7585925499231951,0.6984126984126984
MU,SMSN,micro,30s,63,0.7932987711213518,0.7301587301587301
MU,SMSN,micro,60s,63,0.8183563748079877,0.7936507936507936
MU,SNDK,mid,ALL,576,0.9768427398086054,0.9565972222222222
MU,SNDK,mid,100ms,64,0.9818681318681316,0.9375
MU,SNDK,mid,300ms,64,0.9728021978021978,0.984375
MU,SNDK,mid,500ms,64,0.9783424908424907,1.0
MU,SNDK,mid,1s,64,0.9593864468864467,0.953125
MU,SNDK,mid,3s,64,0.958562271062271,0.921875
MU,SNDK,mid,5s,64,0.9835164835164832,0.953125
MU,SNDK,mid,10s,64,0.9623626373626373,0.984375
MU,SNDK,mid,30s,64,0.9638736263736263,0.9375
MU,SNDK,mid,60s,64,0.9423076923076922,0.9375
MU,SNDK,micro,ALL,576,0.9562721975234221,0.9322916666666666
MU,SNDK,micro,100ms,64,0.9826923076923074,0.953125
MU,SNDK,micro,300ms,64,0.9320054945054944,0.96875
MU,SNDK,micro,500ms,64,0.9573717948717947,0.96875
MU,SNDK,micro,1s,64,0.9408882783882783,0.9375
MU,SNDK,micro,3s,64,0.9016025641025639,0.796875
MU,SNDK,micro,5s,64,0.9517399267399266,0.859375
MU,SNDK,micro,10s,64,0.9602564102564102,0.96875
MU,SNDK,micro,30s,64,0.9719322344322343,0.96875
MU,SNDK,micro,60s,64,0.9415750915750914,0.96875
INTC,AMD,mid,ALL,630,0.9001620059511362,0.9126984126984127
INTC,AMD,mid,100ms,70,0.6582626191934213,0.9
INTC,AMD,mid,300ms,70,0.6010847694864841,0.8
INTC,AMD,mid,500ms,70,0.7112413612107427,0.8428571428571429
INTC,AMD,mid,1s,70,0.7294025019683318,0.9285714285714286
INTC,AMD,mid,3s,70,0.7494182486221678,0.8857142857142857
INTC,AMD,mid,5s,70,0.7761175750153092,0.9571428571428572
INTC,AMD,mid,10s,70,0.8362348001049776,0.9571428571428572
INTC,AMD,mid,30s,70,0.8946023969906395,0.9571428571428572
INTC,AMD,mid,60s,70,0.8600997288076284,0.9857142857142858
INTC,AMD,micro,ALL,630,0.8983055662835658,0.8444444444444444
INTC,AMD,micro,100ms,70,0.8815151780246698,0.8142857142857143
INTC,AMD,micro,300ms,70,0.8856443005861253,0.7285714285714285
INTC,AMD,micro,500ms,70,0.6383518502318257,0.7571428571428571
INTC,AMD,micro,1s,70,0.8809902895634677,0.8857142857142857
INTC,AMD,micro,3s,70,0.8965269880150467,0.8285714285714286
INTC,AMD,micro,5s,70,0.9334791356836672,0.8285714285714286
INTC,AMD,micro,10s,70,0.9326393141457441,0.8714285714285714
INTC,AMD,micro,30s,70,0.9279853031230862,0.9428571428571428
INTC,AMD,micro,60s,70,0.8520164465051177,0.9428571428571428
INTC,KIOXIA,mid,ALL,594,0.7762833888218272,0.7912457912457912
INTC,KIOXIA,mid,100ms,66,0.6015864732282643,0.6666666666666666
INTC,KIOXIA,mid,300ms,66,0.6523953658282017,0.696969696969697
INTC,KIOXIA,mid,500ms,66,0.6903454754201024,0.6666666666666666
INTC,KIOXIA,mid,1s,66,0.650516647531573,0.7272727272727273
INTC,KIOXIA,mid,3s,66,0.6567372925581881,0.8636363636363636
INTC,KIOXIA,mid,5s,66,0.6772779459346625,0.8333333333333334
INTC,KIOXIA,mid,10s,66,0.7035382527919842,0.8787878787878788
INTC,KIOXIA,mid,30s,66,0.679991650140904,0.8787878787878788
INTC,KIOXIA,mid,60s,66,0.6502244024632086,0.9090909090909091
INTC,KIOXIA,micro,ALL,594,0.7420611946551832,0.7760942760942761
INTC,KIOXIA,micro,100ms,66,0.8469470827679784,0.803030303030303
INTC,KIOXIA,micro,300ms,66,0.9126604738545038,0.8636363636363636
INTC,KIOXIA,micro,500ms,66,0.670973802317086,0.8181818181818182
INTC,KIOXIA,micro,1s,66,0.741697108861288,0.7424242424242424
INTC,KIOXIA,micro,3s,66,0.748293497547229,0.7878787878787878
INTC,KIOXIA,micro,5s,66,0.7783529902932889,0.7878787878787878
INTC,KIOXIA,micro,10s,66,0.7964304352364054,0.7424242424242424
INTC,KIOXIA,micro,30s,66,0.8104581985179001,0.6818181818181818
INTC,KIOXIA,micro,60s,66,0.7448700553178166,0.7575757575757576
INTC,SKHX,mid,ALL,630,0.9148621593666807,0.8904761904761904
INTC,SKHX,mid,100ms,70,0.8830548508441954,0.7142857142857143
INTC,SKHX,mid,300ms,70,0.8765812264893711,0.7285714285714285
INTC,SKHX,mid,500ms,70,0.9495057300323682,0.9285714285714286
INTC,SKHX,mid,1s,70,0.9321844108127024,0.9714285714285714
INTC,SKHX,mid,3s,70,0.9216866415886624,0.9428571428571428
INTC,SKHX,mid,5s,70,0.9096491995450966,0.9285714285714286
INTC,SKHX,mid,10s,70,0.9106639839034205,0.9285714285714286
