d,buy_sz,sell_sz,buy_usd,sell_usd,n_buy,n_sell,volume_usd,net_usd,buy_share,z_hac
2026-07-01,25582.478,33378.429,14261085.66585,18575098.52356,11521,8425,32836184.18941,-4314012.857709998,43.431007645673226,-2.769289349304763
2026-07-02,41820.944,37726.998,22051184.3658,19931497.48552,13504,13185,41982681.85132,2119686.880279999,52.52447769747868,1.602899692337674
2026-07-03,7523.323,8001.486,3953827.45955,4207558.53513,3991,4007,8161385.99468,-253731.07557999995,48.445539300889614,-0.6015395914368323
2026-07-04,1478.83,1639.813,783711.78438,868405.02968,1300,1392,1652116.81406,-84693.24530000007,47.43682636181547,-0.472939391789155
2026-07-05,2539.58,3371.86,1361513.51729,1808784.34972,2637,2214,3170297.86701,-447270.83242999995,42.945917841281045,-1.6116743570874934
2026-07-06,36208.527,44941.921,19985828.77196,24874051.54901,12751,15235,44859880.32097,-4888222.77705,44.55167652914472,-2.7253318178559467
2026-07-07,21913.208,24417.775,11453037.7716,12790981.48336,7106,7493,24244019.25496,-1337943.7117599994,47.24067264241618,-0.9283419986800517
2026-07-08,16372.487,21371.473,8409640.70708,10969736.04836,5841,6172,19379376.755439997,-2560095.3412800003,43.39479444156698,-2.254283196129937
2026-07-09,14873.151,14775.248,8056875.20996,7985438.41229,5019,5045,16042313.62225,71436.7976699993,50.22265116912725,0.07229846004628933
2026-07-10,13812.86,14458.018,7593514.56556,7933205.58006,5400,5241,15526720.14562,-339691.0144999996,48.90610827233907,-0.39621061344515146
2026-07-11,2767.356,2887.418,1559110.33339,1625781.01292,2332,2981,3184891.34631,-66670.67952999985,48.9533288222337,-0.20576270870970526
2026-07-12,1702.736,2514.007,952170.30285,1404197.58516,1764,2261,2356367.88801,-452027.28231000004,40.40838901662877,-2.2966003930421452
2026-07-13,17421.315,16998.145,9457529.5313,9218260.45622,5884,5807,18675789.98752,239269.07508000173,50.6405862221622,0.33407508741943487
2026-07-14,26485.984,29903.043,14653268.78931,16533462.61151,7535,8424,31186731.400820002,-1880193.8221999984,46.98558691830308,-1.2521070656578928
2026-07-15,19780.931,23716.225,10703468.0871,12830846.57733,7853,6861,23534314.66443,-2127378.4902300015,45.48026250060015,-1.6166462788654588
2026-07-16,19737.253,19412.077,10021465.85796,9850087.57812,6901,6454,19871553.43608,171378.27983999997,50.43121510452433,0.25770642667688576
2026-07-17,45333.038,46586.272,22034341.39344,22622506.22481,13692,13583,44656847.61825,-588164.8313699998,49.34146176595588,-0.3875732167449222
2026-07-18,1911.222,2213.641,940224.87294,1088257.15195,1395,1481,2028482.02489,-148032.27901000006,46.351156253947394,-0.9064555446414104
2026-07-19,4067.209,3751.119,2000114.22807,1846373.94576,3049,2783,3846488.1738299998,153740.28230999992,51.998449954376426,0.4922378006112112
2026-07-20,40667.072,41426.346,20812491.15541,21207150.35986,9795,9921,42019641.515269995,-394659.2044500001,49.53038723056862,-0.12446783060568842
2026-07-21,21307.714,27173.614,11308833.34878,14470796.15175,7485,7746,25779629.50053,-3161962.8029699996,43.867323029400026,-1.6157903103663218
2026-07-22,76611.929,66172.822,42011905.752960004,36375645.4761,19953,17084,78387551.22906,5636260.276860006,53.5951246010926,1.1285676062015517
2026-07-23,106217.069,69940.522,57698650.03927,38016742.57066,23369,20575,95715392.60993001,19681907.468609996,60.281474552802536,4.9426677087226825
2026-07-24,96012.787,130995.889,51312226.32348,70270990.85231,26184,28824,121583217.17579001,-18958764.52883,42.203379311217496,-3.493267465624967
2026-07-25,1458.184,1162.723,767408.41189,611112.8735,1845,1041,1378521.2853899999,156295.53839,55.66895629565061,1.2539948869448103
2026-07-26,3739.067,3360.416,2005559.55383,1803415.82412,4284,3041,3808975.37795,202143.7297100001,52.6535184616866,0.898868893274813
2026-07-27,32584.134,37599.435,16424481.37203,18972414.15965,16151,16211,35396895.53168,-2547932.7876200024,46.40090924733835,-2.3435498991349886
2026-07-28,48682.309,46911.811,22508153.82895,21673522.72851,20009,19688,44181676.557459995,834631.1004399993,50.94454439653793,0.8901215977442212
2026-07-29,44933.243,46105.403,19923369.74767,20447639.67271,18983,19247,40371009.42038,-524269.9250400029,49.35068514192843,-0.6340717437386608
2026-07-30,37675.18,35423.171,17231475.28851,16023250.48023,17405,14367,33254725.76874,1208224.8082799986,51.816621217510914,0.619302877688049
2026-07-31,40866.738,39715.599,20323034.33838,19707963.16489,18888,18874,40030997.50327,615071.1734900028,50.768243626004775,0.46407960994750647
2026-08-01,2797.083,2615.267,1321690.61689,1235933.04503,2899,2156,2557623.66192,85757.57186000003,51.67650880653063,0.32719412415880966
2026-08-02,6790.461,5518.399,3293337.2903,2679401.54963,5804,4144,5972738.83993,613935.7406700002,55.139482548321126,1.8658020386665526
2026-08-03,28425.987,33170.707,13512406.70861,15729062.29538,14817,14539,29241469.003990002,-2216655.58677,46.20973969114284,-1.8960720670827678
2026-08-04,127243.013,155633.853,63226270.41363,76957818.65518,37880,34490,140184089.06881002,-13731548.241550006,45.102315700460906,-2.9582155753813226
2026-08-05,106702.427,107970.331,51843982.59359,52236792.59525,29090,29875,104080775.18884,-392810.00166000426,49.81129560144642,-0.08490599029807962
2026-08-06,28549.134000000002,27623.308,13797959.97927,13348746.34556,12627,12073,27146706.32483,449213.63371000066,50.82738146634592,0.4399951706088919
2026-08-07,18546.379,17301.722,9057965.57416,8453340.96545,9521,9657,17511306.53961,604624.6087100003,51.726383486413084,0.7272010760914787
2026-08-08,976.527,1548.634,470307.12585,746150.68299,967,1362,1216457.80884,-275843.55714,38.662017082078606,-2.0656671840769754
2026-08-09,1460.938,1512.498,707244.54286,731733.16571,1246,1144,1438977.70857,-24488.622849999927,49.14909651816859,-0.17014267415469894
2026-08-10,11059.916,11221.302,5295532.42413,5362192.88867,5105,5458,10657725.312800001,-66660.46454000007,49.68726692336525,-0.13829055558450323
