band,n,sz_pl,sz_fl,szt,n_fill,n_rf_fill,n_canc,n_rf_canc,dt
1,49857,41531036,1403191,1.768606252011668e+17,1972,102,47885,1545,2026-05-17
4,29089,38407026,1111294,5.614785563362263e+17,1519,27,27570,1096,2026-05-17
6,50376,117788800,1073623,2.680630873006543e+18,981,61,49395,3665,2026-05-17
6,645720,8317904630,16593901,1.5267442653326008e+19,2698,170,643022,100337,2026-05-18
3,182841,1781325631,10957151,2.2021832007033823e+18,2256,216,180585,36524,2026-05-18
5,599393,7556272590,24276920,1.1110140846277214e+19,4606,335,594787,96447,2026-05-18
8,1474817,42380866120,12777208,7.297807714669397e+20,4352,146,1470465,226316,2026-05-18
7,677129,6377910025,9067750,2.3515664313221636e+19,1596,109,675533,110159,2026-05-18
0,431426,2729946081,96962486,4.712592556481483e+18,22506,2445,408920,63017,2026-05-18
1,164355,1047778445,12273096,1.4480179856276897e+18,2687,231,161668,19154,2026-05-18
-1,2,51541,0,10714549759410.0,0,0,2,0,2026-05-18
4,264436,2852437322,14822200,4.054970253454544e+18,2906,242,261530,44575,2026-05-18
2,130807,1203782760,9891891,1.5636562647469903e+18,1830,214,128977,29196,2026-05-18
0,451320,3633254437,131780027,6.383024553902032e+18,22777,2728,428543,59949,2026-05-19
7,865683,9903726708,15732244,3.810266909793331e+19,1517,102,864166,167201,2026-05-19
5,709433,9941546071,36018692,1.4638785673013721e+19,4248,396,705185,120532,2026-05-19
2,130366,1268880616,11609083,1.6502073431799078e+18,1643,163,128723,24240,2026-05-19
6,784955,11106367488,23392975,2.0527499204508627e+19,2403,216,782552,120944,2026-05-19
8,1410689,56149338919,21554720,8.715628845639538e+20,3311,112,1407378,184512,2026-05-19
1,176528,1381835966,16028422,2.189156630981671e+18,2460,228,174068,20675,2026-05-19
3,188267,1951828522,13126983,2.553704785032356e+18,1985,227,186282,34719,2026-05-19
4,314863,3699997946,19492038,5.164891519062556e+18,2815,257,312048,55114,2026-05-19
-1,10,243853,1847,2.2222156575224376e+16,3,0,7,1,2026-05-19
6,597711,9213123048,14486349,2.205727223184287e+19,1786,162,595925,80495,2026-05-20
3,203603,1989332839,7189685,3.000805104088761e+18,1582,142,202021,24589,2026-05-20
5,562375,9573655941,19382219,1.7794070539267004e+19,3193,225,559182,71374,2026-05-20
0,430798,3356954312,72949331,5.388054777875758e+18,15911,3072,414887,37090,2026-05-20
2,140802,1194539776,7291337,1.6761257745731564e+18,1252,121,139550,16748,2026-05-20
1,180695,1514659534,11757091,2.317882557222248e+18,2323,259,178372,22751,2026-05-20
8,1030819,41893761447,7833261,8.041943008036061e+20,1772,57,1029047,162246,2026-05-20
7,664865,8573293391,7466064,4.738119042507716e+19,825,52,664040,145749,2026-05-20
4,287520,3704916013,11139869,6.030233848432849e+18,2149,169,285371,35473,2026-05-20
-1,17,251347,0,558246051694477.0,0,0,17,2,2026-05-20
8,804909,19574745377,18867820,8.076622981796853e+20,2405,107,802504,88021,2026-05-21
0,503180,3429474805,106941585,6.936598922072869e+18,20274,3637,482906,57763,2026-05-21
2,151492,1086467836,8284768,1.610774100401891e+18,1516,137,149976,22282,2026-05-21
-1,5,9153,0,3936371533377.0,0,0,5,0,2026-05-21
1,206078,1554796150,19826075,2.389184744265335e+18,3475,295,202603,17947,2026-05-21
6,684120,9031376385,17295353,2.32351471614499e+19,2294,155,681826,103339,2026-05-21
4,328420,3405912234,16367350,6.277515608252533e+18,2796,221,325624,50057,2026-05-21
3,223663,1778994336,9779022,2.842847531259115e+18,1796,142,221867,39609,2026-05-21
7,678418,8933575349,14284942,5.028120645232373e+19,1826,96,676592,139098,2026-05-21
5,617436,8745527248,25222070,1.7830461036656386e+19,4100,285,613336,79074,2026-05-21
6,438559,7321413231,9325147,2.3565113332982227e+19,1361,113,437198,50366,2026-05-22
