metric,unit,side,day_type,hor,hor_ms,bin_i,n_up,n_dn,n,p_up,base,diff,lo,hi
refill_size,枚,買い,立会日,30s,30000,1,152750,148001,305957,0.5078952355935641,0.5019045545187446,0.005990681074819482,-0.001484961853569047,0.015519457577109546
refill_size,枚,買い,立会日,30s,30000,2,192925,187449,386267,0.5071981786347122,0.5019045545187446,0.005293624115967566,0.002183736297989863,0.009235209920431047
refill_size,枚,買い,立会日,30s,30000,3,116300,107443,227320,0.5197927979869761,0.5019045545187446,0.01788824346823148,0.012034368406660365,0.023910043107527514
refill_size,枚,買い,立会日,30s,30000,4,26561,24153,51553,0.5237409788224159,0.5019045545187446,0.021836424303671276,0.011373479641663456,0.03215519070196751
refill_size,枚,買い,立会日,30s,30000,5,1741,1207,3017,0.5905698778833107,0.5019045545187446,0.08866532336456612,0.04813876507113106,0.13700520630679108
refill_size,枚,買い,立会日,30s,30000,6,269,131,449,0.6725,0.5019045545187446,0.17059544548125538,0.06797588026386404,0.2405876031630415
refill_size,枚,買い,立会日,50s,50000,0,449224,462399,925320,0.49277387692061303,0.5011569135317813,-0.008383036611168238,-0.01301889201958736,-0.0038044869944265027
refill_size,枚,買い,立会日,50s,50000,1,152972,149280,305841,0.506107486468245,0.5011569135317813,0.004950572936463726,-0.001265325340876616,0.013471322236842498
refill_size,枚,買い,立会日,50s,50000,2,193115,188885,386192,0.5055366492146597,0.5011569135317813,0.004379735682878416,0.00008720780633180716,0.008410659346616584
refill_size,枚,買い,立会日,50s,50000,3,116035,108613,227227,0.5165191766674976,0.5011569135317813,0.015362263135716314,0.00982872963322907,0.02111341559418158
refill_size,枚,買い,立会日,50s,50000,4,26310,24605,51517,0.5167435922616125,0.5011569135317813,0.015586678729831216,0.006554572175791001,0.02618112797410369
refill_size,枚,買い,立会日,50s,50000,5,1670,1300,3017,0.5622895622895623,0.5011569135317813,0.061132648757781016,0.016508002140322716,0.09467698445219681
refill_size,枚,買い,立会日,50s,50000,6,251,157,449,0.6151960784313726,0.5011569135317813,0.11403916489959132,0.004627167252299506,0.22217788243136039
refill_size,枚,買い,立会日,100s,100000,0,453168,463118,924822,0.49457047253805037,0.5004926328156661,-0.005922160277615773,-0.011476607580374297,0.0003240727915806087
refill_size,枚,買い,立会日,100s,100000,1,153018,150300,305633,0.5044804462643167,0.5004926328156661,0.003987813448650512,-0.003444364592537255,0.01257089421050664
refill_size,枚,買い,立会日,100s,100000,2,192701,190539,385960,0.5028206867759106,0.5004926328156661,0.0023280539602444916,-0.0050534242762657715,0.009953968167908719
refill_size,枚,買い,立会日,100s,100000,3,115463,109937,227114,0.5122582076308785,0.5004926328156661,0.011765574815212343,0.004608143610873169,0.019711329433849532
refill_size,枚,買い,立会日,100s,100000,4,26169,24933,51482,0.5120934601385464,0.5004926328156661,0.011600827322880258,-0.0037484676041678044,0.02678678087891906
refill_size,枚,買い,立会日,100s,100000,5,1559,1416,3016,0.5240336134453781,0.5004926328156661,0.023540980629711994,-0.02177748801828119,0.06022937950674336
refill_size,枚,買い,立会日,100s,100000,6,220,200,449,0.5238095238095238,0.5004926328156661,0.023316890993857697,-0.11618397646722073,0.1698954796529596
refill_size,枚,買い,閉場日,100ms,100,0,2196,2808,167150,0.43884892086330934,0.5014040303931285,-0.06255510952981919,-0.09458578588126992,-0.040153260703618854
refill_size,枚,買い,閉場日,100ms,100,1,1362,1181,51390,0.5355878883208809,0.5014040303931285,0.03418385792775236,0.007342756604215334,0.07569883132907494
refill_size,枚,買い,閉場日,100ms,100,2,1416,1152,53295,0.5514018691588785,0.5014040303931285,0.049997838765749925,0.03737870523660111,0.06825600771118205
refill_size,枚,買い,閉場日,100ms,100,3,896,722,14485,0.553770086526576,0.5014040303931285,0.05236605613344747,0.01836322005184849,0.11974287821224112
