feat,k,side,s_dec,h,n,n_fill,sum_edge,sum_as,sum_pnl,sum_wait
obi,1,1,6,3.0,826821.0,131726.0,-26174.691620145586,-148127.10261476217,-185893.68223490767,189776.43299999987
obi,1,1,6,5.0,826821.0,194130.0,-59501.801196604494,-220646.27068564855,-297231.51188225305,433663.6180000001
obi,1,1,6,10.0,826821.0,295326.0,-114850.02403228375,-347951.7757154929,-488790.4877477769,1165064.7720000008
obi,1,1,6,30.0,826821.0,470604.0,-190928.82668431517,-593373.4389359244,-825715.4176202404,4337965.007999998
obi,1,1,6,60.0,826821.0,564433.0,-214345.88971753963,-775773.4116063281,-1039789.4053238669,8352494.795000002
obi,1,1,7,0.1,823624.0,3741.0,3808.648487190029,-2551.3560935529317,928.084393637097,187.97899999999993
obi,1,1,7,0.5,823624.0,18324.0,9569.20560303605,-17298.703809663137,-9342.01020662708,4808.023999999999
obi,1,1,7,1.0,823624.0,41871.0,7436.582530258194,-44963.98253432693,-41212.048004068725,22445.482000000004
obi,1,1,7,3.0,823624.0,127196.0,-27059.80872906551,-145752.24721705297,-184005.3039461184,185907.59899999996
obi,1,1,7,5.0,823624.0,190134.0,-61572.99801894187,-222989.87732014022,-301294.6673390822,432043.8840000002
obi,1,1,7,10.0,823624.0,291269.0,-117342.47489311827,-356284.1258364771,-499258.2727295952,1162195.7450000006
obi,1,1,7,30.0,823624.0,464383.0,-195592.38853034095,-609331.1838523506,-845789.2763826918,4291659.321999997
obi,1,1,7,60.0,823624.0,557414.0,-219192.88162533386,-779261.3911696181,-1047506.7047949512,8276904.473999996
obi,1,1,8,0.1,824972.0,3092.0,3229.677641345847,-2236.135081135857,721.4465602099896,153.77299999999994
obi,1,1,8,0.5,824972.0,17210.0,8591.683960569024,-16301.405213637703,-9224.201253068675,4649.242999999999
obi,1,1,8,1.0,824972.0,40788.0,5886.5449400093585,-44700.11112925086,-42402.91018924148,22279.199000000004
obi,1,1,8,3.0,824972.0,127569.0,-34388.17682619806,-146679.04430895462,-192293.29313515266,189023.26199999996
obi,1,1,8,5.0,824972.0,190304.0,-71493.70469912502,-222209.8559618449,-310450.3126609701,434701.5820000002
obi,1,1,8,10.0,824972.0,291154.0,-131396.2549426188,-355832.1160182978,-512849.92296091653,1162039.5820000009
obi,1,1,8,30.0,824972.0,461085.0,-209693.5911756569,-600586.878091281,-850855.9492669381,4242916.543999998
obi,1,1,8,60.0,824972.0,554181.0,-232100.85099429302,-768207.2638082923,-1049076.0428025841,8236520.308999994
obi,1,1,9,0.1,873090.0,2583.0,2533.7549018073537,-1670.121357236873,636.3295445704814,132.913
obi,1,1,9,0.5,873090.0,15669.0,7123.19596995299,-14850.082726101606,-9105.758756148625,4366.983999999999
obi,1,1,9,1.0,873090.0,39013.0,3033.6704167663593,-42768.77553302861,-43168.24911626225,21860.489000000005
obi,1,1,9,3.0,873090.0,128429.0,-45854.412359084134,-149116.512629422,-206272.6769885061,194212.5899999999
obi,1,1,9,5.0,873090.0,193304.0,-91758.43916219995,-230028.33383228336,-338797.52499448345,448032.1919999999
obi,1,1,9,10.0,873090.0,296913.0,-165427.80354099657,-365174.5695158444,-556730.7170568405,1196039.3520000002
obi,1,1,9,30.0,873090.0,467771.0,-263057.39282978344,-633332.2612729581,-937553.5021027415,4282215.285999996
