feat,target,direction,day_type,n,pearson,spearman,partial_sp,beta,t,n_sub
dist_next_bid_bp,|OBI|,同時点,立会日,39107492,-0.03652927384141323,-0.04288121692702018,NaN,-0.009667815207344407,-228.59196591954515,385559
dist_next_bid_bp,|OBI|,同時点,閉場日,16376579,-0.08028684375143869,-0.08084633029815305,NaN,-0.02224546557066967,-325.95692185405585,161777
dist_next_bid_bp,|OFI|,同時点,立会日,39107426,-0.010471695703637906,-0.05625553644893548,NaN,-0.19710266075632632,-65.48931253008799,385559
dist_next_bid_bp,|OFI|,同時点,閉場日,16376548,0.006058560354567148,0.04552423482561282,NaN,0.02340444815450997,24.518198914979514,161777
dist_next_bid_bp,回復力 10s,前向き,立会日,19466770,0.05700832141023467,0.056495169282950626,-0.08879858650563843,0.04854696474235837,251.9370540464976,189958
dist_next_bid_bp,回復力 10s,前向き,閉場日,7248549,0.06290973560383156,0.10226161254692415,-0.11198714207831398,0.04960950124133732,169.70882794821247,70663
dist_next_bid_bp,回復力 1s,前向き,立会日,19468299,0.00032927689873604965,0.006293077010983345,-0.09492662871121703,0.00024805277131003626,1.4528650207590976,189976
dist_next_bid_bp,回復力 1s,前向き,閉場日,7249300,0.02446300127113257,0.08724363750133174,-0.09865610161396585,0.013189421081779094,65.8851747934845,70674
dist_next_bid_bp,回復力 2s,前向き,立会日,19468102,0.017217719848100926,0.017782492560169696,-0.09516697606259697,0.01371194928310811,75.98043997714531,189976
dist_next_bid_bp,回復力 2s,前向き,閉場日,7249195,0.037240319371730744,0.0949614879100651,-0.10070542025817478,0.02302279031866957,100.33664744474551,70674
dist_next_bid_bp,回復力 30s,前向き,立会日,19462614,0.07352876721602791,0.0714023158426103,-0.0829090208568514,0.06379859188146549,325.2632778224765,189917
dist_next_bid_bp,回復力 30s,前向き,閉場日,7246613,0.07740844001220636,0.10068535356492485,-0.11401697772164429,0.06685595530594513,209.00701581931702,70646
dist_next_bid_bp,回復力 5s,前向き,立会日,19467518,0.04103892115358893,0.04415846746437553,-0.09013907687792047,0.03423836337768396,181.22463415667795,189976
dist_next_bid_bp,回復力 5s,前向き,閉場日,7248939,0.05215555693777611,0.09837870994212983,-0.10916992146485358,0.03760169785559224,140.6142190648813,70674
empty_count,|OBI|,同時点,立会日,39151921,0.018399595821823163,0.021073512793030214,NaN,0.00037845454005055865,115.14851365843276,385992
empty_count,|OBI|,同時点,閉場日,16402370,-0.04983775200454016,-0.03809346779460883,NaN,-0.0011571897602036783,-202.09321920879904,162018
empty_count,|OFI|,同時点,立会日,39151854,-0.06796573451324792,-0.168649165464764,NaN,-0.09956389996781938,-426.2570460702127,385992
empty_count,|OFI|,同時点,閉場日,16402339,-0.03279525158626637,-0.05683348190202202,NaN,-0.010640661397664588,-132.89159254410163,162018
empty_count,回復力 10s,前向き,立会日,19477593,-0.0007165233115858151,0.003688701222537339,-0.05716230831788515,-0.00005022844700928083,-3.1622635120368137,190051
empty_count,回復力 10s,前向き,閉場日,7257044,-0.010093823260655072,-0.015204815312014645,-0.10972479168986905,-0.0007033212254710171,-27.1930323679841,70729
empty_count,回復力 1s,前向き,立会日,19479122,-0.06072406673910105,-0.07204848551697374,-0.11414475947597734,-0.003765569110139648,-268.5021123724053,190069
empty_count,回復力 1s,前向き,閉場日,7257795,-0.04520125954382876,-0.025168737292520667,-0.10781553983910615,-0.0021531326603433923,-121.89810227767452,70740
empty_count,回復力 2s,前向き,立会日,19478925,-0.03997544101708058,-0.044111398096789795,-0.08972475308565071,-0.0026206025923264913,-176.57248158967332,190069
empty_count,回復力 2s,前向き,閉場日,7257690,-0.02985147587311467,-0.01954502616001221,-0.10659311115649196,-0.0016304474730736045,-80.45601969660454,70740
empty_count,回復力 30s,前向き,立会日,19473437,0.011436612141381149,0.02240475601513855,-0.043186328841191376,0.0008168673102779778,50.4716007887104,190010
empty_count,回復力 30s,前向き,閉場日,7255108,-0.005003612048165548,-0.013187809320598579,-0.10721303140612866,-0.00038191528974445844,-13.477549860860217,70712
empty_count,回復力 5s,前向き,立会日,19478341,-0.015752881646999353,-0.013736500641347316,-0.06984459972038441,-0.0010818436575434818,-69.53282311412215,190069
empty_count,回復力 5s,前向き,閉場日,7257434,-0.018578186194354914,-0.017199229674972942,-0.10869949169673451,-0.0011834017898204444,-50.05756960257296,70740
gap_asym,OBI,同時点,立会日,39051977,-0.037108743739412864,-0.028931568150929926,NaN,-0.11560214125284617,-232.05823467253745,385044
gap_asym,OBI,同時点,閉場日,16369271,-0.0032490612677636556,0.000022183982448492762,NaN,-0.008894194608059182,-13.145431185962236,161711
gap_asym,OFI,同時点,立会日,39051912,-0.06099369506126381,-0.10242734948792183,NaN,-6.135344541172499,-381.86990073424926,385044
gap_asym,OFI,同時点,閉場日,16369240,-0.016002870226078075,-0.028791399499269038,NaN,-0.302261870183646,-64.75416860292113,161711
gap_asym,回復力 10s,前向き,立会日,19452996,-0.01154694981849507,-0.011799066017549613,-0.0074757323326668035,-0.05915015075375706,-50.931850950827986,189827
gap_asym,回復力 10s,前向き,閉場日,7246821,-0.019450486373546374,-0.024131842805219416,-0.04010297240154421,-0.08247257261654262,-52.37045411768135,70649
gap_asym,回復力 1s,前向き,立会日,19454525,-0.010646951068080179,-0.016408428945562086,-0.014058619858795612,-0.048246795975569086,-46.96346892083436,189845
gap_asym,回復力 1s,前向き,閉場日,7247572,-0.020250485941849087,-0.025764648560128264,-0.0395008752660241,-0.058701671358072,-54.528145179078734,70660
gap_asym,回復力 2s,前向き,立会日,19454328,-0.011408165683529503,-0.01472504087272875,-0.011885997429076681,-0.05465152415186286,-50.32133766806741,189845
gap_asym,回復力 2s,前向き,閉場日,7247467,-0.020044236222704386,-0.025968562364038914,-0.04060194198807782,-0.06662583729920095,-53.97216466943209,70660
gap_asym,回復力 30s,前向き,立会日,19448840,-0.011554179048647108,-0.011902650025561437,-0.007093236640435555,-0.06030612284916271,-50.95829792940962,189786
gap_asym,回復力 30s,前向き,閉場日,7244885,-0.017634030351024142,-0.016991193585704775,-0.03274056061083592,-0.08189207999362069,-47.47170241125918,70632
gap_asym,回復力 5s,前向き,立会日,19453744,-0.010891107008585425,-0.014582767867157249,-0.010762703921471613,-0.05465745691556102,-48.039597475675535,189845
gap_asym,回復力 5s,前向き,閉場日,7247211,-0.01945976181728618,-0.025648593176025063,-0.04111086926141248,-0.07543300435017261,-52.396847574097535,70660
gap_var,|OBI|,同時点,立会日,39145863,0.021107223146639095,0.03441053067427401,NaN,0.0005120540131513795,132.09025855213434,385940
gap_var,|OBI|,同時点,閉場日,16402133,-0.017835116181949152,-0.028923176092996845,NaN,-0.0005856782588240293,-72.24289887886547,162018
gap_var,|OFI|,同時点,立会日,39145797,-0.02810513067936125,-0.12968486465749007,NaN,-0.04855798533444151,-175.9137390769501,385940
gap_var,|OFI|,同時点,閉場日,16402102,-0.01249837092471481,-0.045541435106738005,NaN,-0.005735210363950511,-50.62173898483902,162018
gap_var,回復力 10s,前向き,立会日,19475984,-0.02450569555937409,-0.0036829094158824733,-0.05478002960371909,-0.00236369967676551,-108.18004518748224,190037
gap_var,回復力 10s,前向き,閉場日,7256902,-0.033952925353740414,-0.02446663849457138,-0.10098225546097207,-0.0036260871950571844,-91.51730866122031,70729
gap_var,回復力 1s,前向き,立会日,19477513,-0.05507908656422491,-0.06739505988386661,-0.10070018106867089,-0.004699514300247441,-243.45192927012874,190055
gap_var,回復力 1s,前向き,閉場日,7257653,-0.03831932054764781,-0.02720478523073417,-0.09341881690853994,-0.0027977506721610407,-103.30823146922307,70740
gap_var,回復力 2s,前向き,立会日,19477316,-0.0462206554530057,-0.04409117619805502,-0.08116384963709616,-0.00416909251885519,-204.20436975089692,190055
gap_var,回復力 2s,前向き,閉場日,7257548,-0.034715255816653204,-0.022389725523187028,-0.09228222193129708,-0.002906232899806299,-93.57872444378806,70740
gap_var,回復力 30s,前向き,立会日,19471828,-0.01716452984685786,0.014276966269149028,-0.0411097792625174,-0.0016868780072105305,-75.75289554756951,189996
gap_var,回復力 30s,前向き,閉場日,7254966,-0.03663381486441285,-0.023788163595899275,-0.10004277618455529,-0.0042856051264481354,-98.73960656321785,70712
gap_var,回復力 5s,前向き,立会日,19476732,-0.03343800589470543,-0.018259949288074055,-0.06490611370321789,-0.0031596856833573245,-147.652675239368,190055
gap_var,回復力 5s,前向き,閉場日,7257292,-0.03384114460542653,-0.02295288454236868,-0.09670633151723489,-0.0033039792411656385,-91.21811788131284,70740
max_gap,|OBI|,同時点,立会日,39150379,0.0379077420523335,0.041679309640358424,NaN,0.002299122047225418,237.36033995445842,385979
max_gap,|OBI|,同時点,閉場日,16402345,-0.019840203608074616,-0.016281155416694733,NaN,-0.0013310048571192124,-80.36825943849009,162018
max_gap,|OFI|,同時点,立会日,39150313,-0.024062100503897434,-0.09837790840064924,NaN,-0.10393550377337858,-150.60067068248392,385979
max_gap,|OFI|,同時点,閉場日,16402314,-0.013472527822079316,-0.03642008850901455,NaN,-0.01262972513141892,-54.56837753354139,162018
max_gap,回復力 10s,前向き,立会日,19477233,-0.023164340488107612,-0.011100547492007291,-0.049176170802810226,-0.005322114376964905,-102.2586599043964,190049
max_gap,回復力 10s,前向き,閉場日,7257024,-0.035504484602001514,-0.031468845081889976,-0.08602492135711118,-0.0075890456691622525,-95.70537605927942,70729
max_gap,回復力 1s,前向き,立会日,19478762,-0.05664861208526286,-0.06012121761875342,-0.08334516196387771,-0.011513171924571523,-250.4193520052117,190067
max_gap,回復力 1s,前向き,閉場日,7257775,-0.04168797547559291,-0.027201639271161804,-0.07399678317322868,-0.006091764152742269,-112.40618303388717,70740
max_gap,回復力 2s,前向き,立会日,19478565,-0.04620540219981258,-0.04370126924502828,-0.07040220562595176,-0.009927473194863569,-204.14338129751843,190067
max_gap,回復力 2s,前向き,閉場日,7257670,-0.03595747824146094,-0.025451085948863122,-0.07506889019779293,-0.006024777534647256,-96.9323440706197,70740
max_gap,回復力 30s,前向き,立会日,19473077,-0.014509160983891758,0.004872257330656909,-0.03673063533697408,-0.003396720413791239,-64.0332117259831,190008
max_gap,回復力 30s,前向き,閉場日,7255088,-0.03928009143608942,-0.03140508698587742,-0.08580929556985435,-0.0091971038617065,-105.88369131289214,70712
