dt,day_type,kappa_売り,kappa_買い,t_half_売り,t_half_買い,n_売り,n_買い,asym
2026-06-20,閉場日,0.8885084946088568,1.0023507389009552,780.1397870156501,691.5215938484353,2000,2029,0.060206620500662236
2026-06-21,閉場日,0.6171258286815412,0.626187955316664,1123.1861451024015,1106.9315148705882,2203,2008,0.007288688303592337
2026-06-22,立会日,1.3550533878991102,1.455320046080078,511.5275802045028,476.2850497572308,14531,15307,0.03567734343368057
2026-06-23,立会日,1.4377626575693703,1.448199952720751,482.1012547139435,478.6267112201745,15682,15601,0.003616573241165953
2026-06-24,立会日,1.4359719099833723,1.595805413071045,482.70250868219966,434.3557020689756,11264,11963,0.05271940715179097
2026-06-25,立会日,1.691336850212068,1.7237176283264555,409.8220770123864,402.1233925842696,12250,12294,0.009481774981301275
2026-06-26,立会日,1.677314231321181,1.33664453056211,413.2482559435996,518.5726360539719,12656,14150,-0.11303064430324239
2026-06-27,閉場日,0.9799457059787302,1.1319046060125983,707.3398596044983,612.3724356964321,750,1252,0.07195533659323677
2026-06-28,閉場日,0.9553015277019998,1.131854128932793,725.5840944519086,612.3997455515779,1372,2481,0.08459004994167815
2026-06-29,立会日,1.789698324518021,1.788507307573328,387.2983346210681,387.5562473940446,14740,15249,-0.0003328531300748113
2026-06-30,立会日,1.7928263317466404,1.8435338163975195,386.62260157940375,375.98831895280114,16341,15871,0.013944571655466507
2026-07-01,立会日,1.7902860817194635,1.789698324518307,387.1711832190633,387.2983346210061,17333,16636,-0.00016417870427939545
2026-07-02,立会日,1.7896983245230893,1.7896983245240898,387.29833461997123,387.2983346197547,24514,25981,2.795255982760471e-13
2026-07-03,閉場日,1.745680725249883,1.7523239140605695,397.064119763782,395.5588209984721,7425,8036,0.0018991366495146045
2026-07-04,閉場日,1.562906865541258,1.2429345454207767,443.49907213485665,557.6698975128177,1488,1859,-0.11403792062886858
2026-07-05,閉場日,1.1330112432642825,1.0511538101466193,611.7743418733144,659.4161157566059,2644,1986,-0.03747767733479229
2026-07-06,立会日,1.3290041097769585,1.3304101552103382,521.5538277577438,521.0026230221902,17211,18345,0.0005287049302138189
2026-07-07,立会日,1.7552964732334342,1.7604429335670237,394.88894960467724,393.7345354077936,23973,22749,0.0014638344137892641
2026-07-08,立会日,1.7958180195256623,1.7706650433664244,385.9785195512346,391.46149268852594,29321,28938,-0.007052599357878688
2026-07-09,立会日,1.7784065085927523,1.7896983245201636,389.75745019307203,387.29833462060435,21404,22388,0.0031646536342263385
2026-07-10,立会日,1.8977695345025296,1.9169133602814983,365.24307603238316,361.5954664002951,23898,23927,0.005018457970686058
2026-07-11,閉場日,1.2260834496595598,1.2796443752339617,565.334426959029,541.6717284700406,5222,4551,0.021375396418674426
2026-07-12,閉場日,1.2396975787742863,1.278363605920229,559.1260259177675,542.2144198872429,5279,5754,0.015355475625836931
2026-07-13,立会日,1.8817546800485254,1.89118313461575,368.35151144253877,366.5151025687307,31763,32331,0.0024989689813012424
2026-07-14,立会日,1.8143336808648838,1.8615385910393385,382.0395266153718,372.35176530664654,29813,29387,0.012841825472352724
2026-07-15,立会日,1.8060529578366686,1.8496293473638743,383.7911715447219,374.74923433356787,29151,31050,0.01192017956954691
2026-07-16,立会日,1.8805918844696512,1.9056332801095852,368.5792696791559,363.73587087034247,34884,38230,0.006613815753537434
2026-07-17,立会日,1.8171658314471661,1.858266406678234,381.4440978583483,373.0074321254016,39040,41691,0.01118251475424576
2026-07-18,閉場日,1.1934956345025147,1.5932390012395037,580.7706043864532,435.0554645626647,3194,4436,0.14344507783768587
2026-07-19,閉場日,1.362412657859038,1.5165469157305034,508.76449627170746,457.05620668257677,5070,5761,0.053538180697441255
2026-07-20,立会日,1.7896983245181692,1.7974406907469076,387.2983346210359,385.63007074198975,25856,26524,0.0021583680464544886
2026-07-21,立会日,1.8192727481683746,1.8707600354747185,381.00234352314624,370.5163504340268,20223,21724,0.01395307042652113
2026-07-22,立会日,1.7701364984149075,1.7504804613779048,391.5783791035946,395.9753886556715,33850,35344,-0.005583122862124554
2026-07-23,立会日,1.769094959392221,1.7896983245195848,391.80891742974285,387.2983346207296,43084,42415,0.005789424527832289
2026-07-24,立会日,1.865766057919572,1.8672744702089576,371.50808799599696,371.2079780549769,33702,34923,0.0004040706973363056
2026-07-25,閉場日,1.2606298169420689,0.9017314740649279,549.841969295272,768.6847516915313,6116,7514,-0.16597519774783076
2026-07-26,閉場日,0.870783698057586,1.1319046060127944,796.003858779792,612.3724356963261,8152,10340,0.13038519645043664
2026-07-27,立会日,1.9065111980584515,1.8868778347820832,363.56837696155947,367.35138215306824,31406,32284,-0.005175678820810698
2026-07-28,立会日,2.0153298230100587,2.0003635776203263,343.93734135292453,346.5105985305569,48924,48773,-0.0037269392597011866
2026-07-29,立会日,1.9986195785506178,1.9554696744205167,346.8129643824992,354.46582968122596,50194,49261,-0.01091272891669755
2026-07-30,立会日,2.018805740855837,2.0459277050373075,343.34516022631175,338.7935843741388,46403,49109,0.006672507445444772
2026-07-31,立会日,1.9404575321474562,1.9293295923613232,357.2081166820778,359.2684129082119,35933,36516,-0.002875594813899634
2026-08-01,閉場日,1.7896983245206104,1.7150305924145786,387.29833462050766,404.16024275349434,4319,3383,-0.02130485235112768
2026-08-02,閉場日,1.789698324519938,1.7669731792666743,387.2983346206532,392.2794027240253,6871,6988,-0.00638944170949423
2026-08-03,立会日,1.9098235391301135,1.917261682854762,362.93781407601676,361.52977277878097,30814,33043,0.0019435531986378787
2026-08-04,立会日,1.7896983245202813,1.7853633788705363,387.2983346205789,388.23871306156553,36703,39459,-0.0012125512814599743
2026-08-05,立会日,1.8742844862003658,1.8040129589187193,369.8196221882648,384.22516768052185,30001,31902,-0.019104362366043372
2026-08-06,立会日,1.8887156153798916,1.8784574680783637,366.9939375285609,368.99807019554805,28881,29016,-0.0027230358346346573
2026-08-07,立会日,1.852161195681342,1.8470242341983623,374.2369629946372,375.2777942628252,24722,24925,-0.001388673690560778
2026-08-08,閉場日,1.232956603033696,1.4343455998271601,562.1830353747719,483.2497695419222,3670,3711,0.07550287949279284
2026-08-09,閉場日,1.7546260226445802,1.2260251798579995,395.0398384695279,565.3612926940268,6405,4225,-0.17734407915383155
2026-08-10,立会日,1.7842942483644446,1.788709247582351,388.47134456359885,387.5124934344777,19252,18715,0.0012356548833256662
