metric,side,day_type,hor,hor_ms,x_form,y_kind,n,beta,r,r2,t
kappa_spread,買い,閉場日,30s,30000,生,絶対値,52093,7.667209403950615e-6,0.029731075784713182,0.0008839368673163586,6.788659099904017
kappa_spread,買い,閉場日,50s,50000,生,絶対値,52073,0.000011394764783962425,0.040277950034330885,0.0016223132589680553,9.198518472073717
kappa_spread,買い,閉場日,100s,100000,生,絶対値,52021,0.00002050512273130627,0.031630145604878736,0.0010004661109858297,7.2177119834384
latency_ms,売り,立会日,10ms,10,log1p,二乗,2363358,5.668398823619892e-14,0.0008808760789872564,7.759426665319631e-7,1.354189860969057
latency_ms,売り,立会日,20ms,20,log1p,二乗,2363358,1.3294236081330773e-13,0.000974555016058376,9.497574793245414e-7,1.498204648620633
latency_ms,売り,立会日,50ms,50,log1p,二乗,2363358,-2.1491351864143976e-11,-0.0010281041448939583,1.0569981327481372e-6,-1.5805269752426552
latency_ms,売り,立会日,100ms,100,log1p,二乗,2363358,3.050912210753296e-7,0.00014774007163131816,2.182712876562702e-8,0.22712392400840492
latency_ms,売り,立会日,500ms,500,log1p,二乗,2363352,3.1909924656424695e-6,0.0006783838690853444,4.6020467383520177e-7,1.0428927156896974
latency_ms,売り,立会日,1s,1000,log1p,二乗,2363347,-5.077306370843991e-6,-0.000794129254488597,6.30641272834615e-7,-1.2208291603947332
latency_ms,売り,立会日,3s,3000,log1p,二乗,2363309,3.951384284352079e-6,0.0007285512434020189,5.307869142626279e-7,1.1200058463290827
latency_ms,売り,立会日,5s,5000,log1p,二乗,2363277,1.0160921448405536e-6,0.00018347012604933585,3.3661287152559185e-8,0.2820476574503844
latency_ms,売り,立会日,10s,10000,log1p,二乗,2363209,1.0485167510764611e-6,0.0001752385037050128,3.070853318077178e-8,0.269389351684638
latency_ms,売り,立会日,30s,30000,log1p,二乗,2362948,2.3336401139558484e-6,0.00045310839604415534,2.0530721856570712e-7,0.6965127209761846
latency_ms,売り,立会日,50s,50000,log1p,二乗,2362671,4.137924607833735e-6,0.0007001474710175676,4.902064811722957e-7,1.0761952538550623
latency_ms,売り,立会日,100s,100000,log1p,二乗,2362060,2.338998688258297e-6,0.00045528415054770096,2.0728365773994164e-7,0.6997257487925623
