col,family,h,nday,mean,med,pos,worst,best
delta_bp__lag2,69 ラグ,60s,99,-0.03606703340818067,-0.029338513713130124,20,-0.2290895869304641,0.0697858042150701
qb_l1,3.1 水準別の厚み,1s,99,-0.0809202602089401,-0.07970441868892651,0,-0.16040621565915925,-0.0016998166545483925
qb_l1,3.1 水準別の厚み,10s,99,-0.04921183484310087,-0.041181987026241526,6,-0.16998052101526065,0.023999086792077243
qb_l1,3.1 水準別の厚み,60s,99,-0.02755081187532723,-0.024253364242382145,18,-0.13724195881647883,0.043661827171781215
cdb1,3.2 累積の厚み,1s,99,-0.0809202602089401,-0.07970441868892651,0,-0.16040621565915925,-0.0016998166545483925
cdb1,3.2 累積の厚み,10s,99,-0.04921183484310087,-0.041181987026241526,6,-0.16998052101526065,0.023999086792077243
cdb1,3.2 累積の厚み,60s,99,-0.02755081187532723,-0.024253364242382145,18,-0.13724195881647883,0.043661827171781215
avgsz_b1,3.1 水準別の厚み,1s,99,-0.07495655196253022,-0.07868957414597286,1,-0.1491798556182204,0.027487196347308215
avgsz_b1,3.1 水準別の厚み,10s,99,-0.04728623352407263,-0.041968979676084,7,-0.14885683771462566,0.0370925965611973
avgsz_b1,3.1 水準別の厚み,60s,99,-0.028497572661408146,-0.0236281039921231,18,-0.12491227942352931,0.05442018177221074
ofi_norm_60s,10 注文フローの偏り OFI,1s,99,0.01659159197766219,0.0157806620312682,74,-0.039895238620655755,0.09779332461318949
ofi_norm_60s,10 注文フローの偏り OFI,10s,99,0.04313704846237021,0.029825090056922056,78,-0.07744327800884795,0.1929268606453305
ofi_norm_60s,10 注文フローの偏り OFI,60s,99,0.030317108198217924,0.03179571867601097,75,-0.08181394166532757,0.16725364458446967
ofi_norm_30s,10 注文フローの偏り OFI,1s,99,0.014234737089618928,0.012178403134731427,73,-0.03446176935417152,0.09593415668786272
ofi_norm_30s,10 注文フローの偏り OFI,10s,99,0.038471953982991955,0.032124647840840945,75,-0.10047253822756112,0.16669719233012778
ofi_norm_30s,10 注文フローの偏り OFI,60s,99,0.03208838971549005,0.0299681322635903,78,-0.06963746764980962,0.15675140365289597
ofi_norm_10s,10 注文フローの偏り OFI,1s,99,0.012156564887456324,0.015141787099954207,68,-0.05056614397041886,0.08286672029740703
ofi_norm_10s,10 注文フローの偏り OFI,10s,99,0.030545818961172488,0.035026030167230986,78,-0.052723159380462584,0.12879859052228765
ofi_norm_10s,10 注文フローの偏り OFI,60s,99,0.026608298494568042,0.02643978281677735,78,-0.08007618504067272,0.11215668511445852
logsz_b1,3.1 水準別の厚み,1s,99,-0.06638977690657588,-0.0703386509464818,3,-0.13350622230484258,0.024180059669577227
logsz_b1,3.1 水準別の厚み,10s,99,-0.04144995793315821,-0.037229432082721635,7,-0.13623765384801195,0.05986229838137631
logsz_b1,3.1 水準別の厚み,60s,99,-0.025492009295902618,-0.024104234143174776,18,-0.10808804162041669,0.05230231087766393
n_fresh10s_a,14 流動性の持続,1s,99,-0.05932766547671326,-0.06323878414627002,3,-0.11391778516236556,0.017866044565913786
n_fresh10s_a,14 流動性の持続,10s,99,-0.03213981765104207,-0.03390785688168119,16,-0.11352982750986387,0.04570931617282974
n_fresh10s_a,14 流動性の持続,60s,99,-0.019607155566221425,-0.017737217399856033,28,-0.10932481339785918,0.07031707317264708
