feature,horizon_s,target,rho_pooled,rho_partial,rho_day_med,pos_days,n_days,z,p,placebo_pos,placebo_z,backward_rho_med,backward_z,n_obs
h_age,30,dir,-0.0009338375169400643,-0.0004964744751882003,-0.00025356329268272994,47,98,-0.40406101782088427,0.6861678498552393,53,0.8081220356417685,-0.004373119643840937,-0.6060915267313265,281399
h_age,30,vol,-0.07020209713074516,-0.1522589800204191,-0.017744140879214776,41,98,-1.616244071283537,0.10604155370017078,53,0.8081220356417685,0.044640396137634035,2.626396615835748,281399
h_age,60,dir,-0.0020344648994507207,-0.0015024542001404026,-0.0022164214265786167,44,98,-1.0101525445522108,0.31242221124269354,51,0.40406101782088427,-0.0045081623230362605,-0.8081220356417685,140699
h_age,60,vol,-0.07705626991087001,-0.15745675676780188,-0.015734815118331677,41,98,-1.616244071283537,0.10604155370017078,56,1.4142135623730951,0.026607754152323915,0.6060915267313265,140699
h_queue,1,dir,0.0020978457698869572,0.0022846889366368505,0.0009510087502381088,51,98,0.40406101782088427,0.6861678498552393,50,0.20203050891044214,0.00019127009067085651,0.20203050891044214,937987
h_queue,1,vol,-0.0479898520518482,-0.03269486036280443,-0.014033433964809203,38,98,-2.2223355980148636,0.026260634117795476,47,-0.40406101782088427,-0.07357521120538131,-6.464976285134148,937987
h_queue,2,dir,0.00008095423137367075,0.00036904756291985277,0.0008342981265883688,52,98,0.6060915267313265,0.5444539772747026,42,-1.4142135623730951,0.002155237240246464,1.8182745801939793,844198
h_queue,2,vol,-0.03643346542604965,-0.019567091707514667,-0.01661516838179978,37,98,-2.424366106925306,0.015335137038007587,48,-0.20203050891044214,-0.05975321832971414,-5.858884758402822,844198
h_queue,5,dir,0.0012179996046292104,0.001484651294990924,0.0008501881929246261,51,98,0.40406101782088427,0.6861678498552393,56,1.4142135623730951,0.0008474854281468902,0.6060915267313265,844199
h_queue,5,vol,-0.030701104366791965,-0.011511289047211071,-0.015685460323374124,36,98,-2.626396615835748,0.00862942022077532,45,-0.8081220356417685,-0.03969844473817243,-4.242640687119285,844199
h_queue,10,dir,0.0008029963910379505,0.0011141425388931793,0.001553740816256556,54,98,1.0101525445522108,0.31242221124269354,51,0.40406101782088427,-0.0011007695847672285,-0.40406101782088427,844199
h_queue,10,vol,-0.028801764635245124,-0.00904731496928741,-0.014953751826611052,32,98,-3.4345186514775166,0.0005936072197460738,43,-1.212183053462653,-0.033315692347341705,-4.242640687119285,844199
h_queue,30,dir,-0.0013418174813162795,-0.000894910706405219,0.0013156293171363359,51,98,0.40406101782088427,0.6861678498552393,45,-0.8081220356417685,0.005405904668439575,2.626396615835748,281399
h_queue,30,vol,-0.02831557535959754,-0.010599363803746252,-0.00787315339679133,35,98,-2.8284271247461903,0.0046777349810472576,52,0.6060915267313265,-0.023199999945625924,-4.6467017049401695,281399
h_queue,60,dir,0.002249139327700756,0.0027459527906483123,0.0035390775203815172,57,98,1.616244071283537,0.10604155370017078,59,2.0203050891044216,0.004625455265293652,2.0203050891044216,140699
h_queue,60,vol,-0.029687502368669693,-0.012173832675232211,-0.012305040288458793,38,98,-2.2223355980148636,0.026260634117795476,54,1.0101525445522108,-0.01351290931051129,-2.8284271247461903,140699
h_action,1,dir,-0.0005005595781961479,-0.0004971273107689234,0.0011297795117658767,54,98,1.0101525445522108,0.31242221124269354,49,0.0,0.0014646461992582705,1.212183053462653,820477
h_action,1,vol,0.15593816620718742,-0.03800207146685302,0.09139580036362656,93,98,8.889342392059454,6.147163181595229e-19,44,-1.0101525445522108,0.20010560968367108,9.091372900969898,820477
h_action,2,dir,0.0022151200132289645,0.0016964382240755819,0.0007589988308297844,58,98,1.8182745801939793,0.06902217598345615,49,0.0,0.0013269410875175367,0.6060915267313265,738628
h_action,2,vol,0.1547642597780634,-0.03372128018629626,0.08806484158781941,92,98,8.687311883149013,3.711162431147465e-18,41,-1.616244071283537,0.16427538828334787,9.091372900969898,738628
h_action,5,dir,0.0011122134669222675,0.002154664609515111,0.0010350129881222905,53,98,0.8081220356417685,0.4190203335343159,52,0.6060915267313265,0.0009445511542455142,1.0101525445522108,738145
h_action,5,vol,0.15678848252409572,-0.021061769253422784,0.08210180986997248,93,98,8.889342392059454,6.147163181595229e-19,43,-1.212183053462653,0.12537097748621034,9.091372900969898,738145
h_action,10,dir,0.000703183686437118,0.0010388344878853322,0.0007326579812755845,51,98,0.40406101782088427,0.6861678498552393,50,0.20203050891044214,0.00016325220404790673,0.0,744358
h_action,10,vol,0.1509570851166392,-0.01183774314846894,0.07532178724893657,92,98,8.687311883149013,3.711162431147465e-18,45,-0.8081220356417685,0.10573541255969615,9.091372900969898,744358
h_action,30,dir,-0.002465672441577283,-0.0018357094678546134,-0.0010356656916633757,47,98,-0.40406101782088427,0.6861678498552393,48,-0.20203050891044214,-0.0001676865886194592,-0.40406101782088427,254351
h_action,30,vol,0.1578195292382257,0.0030295503725821207,0.06634078461924775,94,98,9.091372900969898,9.779623736930363e-20,42,-1.4142135623730951,0.09759730429190192,9.49543391879078,254351
h_action,60,dir,0.00009868469418384659,0.0011419775148029344,0.004231913351472388,57,98,1.616244071283537,0.10604155370017078,47,-0.40406101782088427,0.0014001852618638717,0.40406101782088427,131649
