wid_i,wid_j,n_days,lift_add,lift_can,corr_add,corr_can,corr_flow,corr_dist,null_add,null_can,null_flow,null_dist,pcorr_add,pcorr_can,pcorr_flow,pcorr_dist,pnull_add,pnull_can,pnull_flow,pnull_dist
2802,4832,48,1.2248686990784845,1.2547915402791474,0.27889591371767375,0.2543352677289685,0.02791972571725939,0.01627419745506958,0.1898174198106605,0.19508006374408968,0.01280822293925246,0.009338431039244791,0.0206704626236676,-0.022950180147715188,0.02772001201324375,0.015452831507026725,0.02548455542255557,0.028870385652001607,0.01278840103591926,0.009132988078991138
2802,197,50,1.1596963315172688,1.2364208354265294,0.24677725622606353,0.2541642306027486,0.006735308032129476,0.00561303510162176,0.17471004216247704,0.17462523381926146,0.0020657977186820044,0.0024921102377828204,0.027344239767155814,0.024055273905340884,0.006809277785365438,0.0055335151665163555,0.03381427397142757,0.03270082100442962,0.0020488436628481608,0.0024294710381182224
2802,2174,36,1.1307801845530732,1.1606514217006947,0.2091511805332594,0.19928623544488908,0.0106517249370309,0.015269924450601593,0.14042855111011202,0.13350792845068662,0.006892401746977804,0.004829274553839862,-0.013431438117276278,-0.02600991921042413,0.006795518978485518,0.014050896997567557,0.026409285458256545,0.023729706290379415,0.006897287636829288,0.004605808754528353
2802,14325,32,1.2189743530890549,1.1939010179868632,0.36786758690439475,0.35628370336308196,0.05554577069871095,0.25824317989856155,0.21636297735858284,0.20925751377573842,0.0005648953710714434,0.12269949447046981,0.1421709030150517,0.1391146768042833,0.050708356034171745,0.21737387054861904,0.08832258220519218,0.08776310291433005,0.0005887193694452106,0.10393649875755695
2802,12751,32,1.2435956170660944,1.1164199052887775,0.18059196672813702,0.14653278893584568,0.004196599538693148,-0.0773407687969888,0.1059062282866967,0.107317494241112,-0.0011697682223325986,-0.026390768485717125,-0.07729093297344095,-0.13426254416630168,0.007353262664197003,-0.06794313095981741,-0.013758870605794673,-0.01164372861213529,-0.0011384191361657012,-0.02198744100928148
2802,13760,32,1.3230017340147902,1.2614406005486243,0.21610743867044344,0.17618340606745583,-0.00516067484768467,0.09034763398555637,0.12479263905605563,0.12463231652052201,-0.0003941335978779427,0.03487525635074784,-0.09835533768117291,-0.16186775166159992,-0.005842128980728263,0.06310925860249925,-0.015263518772701526,-0.014808344059872428,-0.00037533102016153007,0.02823410072966177
2802,21342,10,1.2913311393312439,1.4669864250568447,0.3532388453869955,0.3339105686821392,0.09375362211626682,0.09813642777403504,0.1905658326287881,0.1832073569087487,0.0013043628541152521,0.04505460470571135,0.0716854862958949,0.04853350508380314,0.082484630250567,0.05616778501410393,0.05716590123080868,0.05577515596085517,0.0014377689444563056,0.03177793106921662
2802,7243,40,1.0735914030172726,1.1459502226852059,0.06738788739208958,0.07040721373370393,0.011473945811027857,-0.00864273960155089,0.035809106832597595,0.038505705955838056,0.0047918938545848415,-0.028768510009456252,-0.0031432034735003737,-0.003260396842799681,0.011022361344022924,-0.011603698691453548,-0.00043824155684808985,0.001383015267387327,0.004797893396766973,-0.02911634170202615
2802,28608,15,1.155110218359136,1.340494467735405,0.2661071131506533,0.2731087911836856,0.023589851564393645,0.15510104079784215,0.18244525593341313,0.18756797707803538,0.004236255480219149,0.09557296693098732,0.0047782912762857664,0.009438732949685802,0.017595850676036227,0.12037858030082609,0.04223524050711132,0.0473307745984977,0.004644880539145117,0.07714174458814699
2802,21453,32,1.1842111831011892,1.376809849695852,0.34781618718727764,0.3584149738973615,0.07637256999490784,0.32364799616358464,0.25034571438342795,0.24864124272036522,0.014048033419865325,0.10362127279133959,0.09607341606875022,0.13584321867396773,0.07177443842895422,0.28555385977691516,0.08129492004151845,0.08308989127385367,0.013599128562523082,0.08630254645157501
2802,32,51,1.2513803982839615,1.1538260489982255,0.14054128165235233,0.1262315531395828,0.00035008234618620783,-0.002558285121186416,0.08140644949746802,0.08195712727640858,0.0005716380207682956,-0.0031242638792480138,-0.0171634608647894,-0.043224871216705416,0.0006002137180791966,-0.0031608242266597266,0.007496384845992518,0.007176326410470761,0.0005841589175662963,-0.00317173832281182
