feat,k,side,s_dec,h,n,n_fill,sum_edge,sum_as,sum_pnl,sum_wait
obi,0,-1,7,1.0,842225.0,130797.0,63276.44962706358,98006.07346346938,-46239.75983640583,46037.252999999975
obi,0,-1,7,3.0,842225.0,244771.0,46648.44086719289,209170.47763654724,-184061.88476935445,249370.1459999998
obi,0,-1,7,5.0,842225.0,312413.0,18380.552192058414,279347.4857927045,-288459.27760064614,507140.27600000007
obi,0,-1,7,10.0,842225.0,415724.0,-35819.805975353585,391621.07285683224,-464024.5908321858,1241880.5430000017
obi,0,-1,7,30.0,842225.0,581762.0,-130728.65249919731,584921.5104688011,-766845.2189679979,4206688.298
obi,0,-1,7,60.0,842225.0,648866.0,-170901.536573572,683133.2880274152,-911135.0326009861,7099446.631999982
obi,0,-1,8,0.1,838282.0,46747.0,36657.4557676073,18167.32084984275,14376.398917764553,2032.830999999999
obi,0,-1,8,0.5,838282.0,101099.0,61092.758063359135,79335.73054089637,-27139.684477537216,17342.109999999986
obi,0,-1,8,1.0,838282.0,147357.0,66280.9912194668,134290.066510738,-80976.49129127116,51034.28199999999
obi,0,-1,8,3.0,838282.0,266613.0,43976.72400140573,253446.7574287297,-232931.977427324,263282.68899999995
obi,0,-1,8,5.0,838282.0,335368.0,12690.998326974654,326524.94426837895,-343346.3299414041,525305.8829999998
obi,0,-1,8,10.0,838282.0,437385.0,-47918.12742556375,452628.1947780871,-539036.2022036511,1249040.1060000013
obi,0,-1,8,30.0,838282.0,591765.0,-143245.10386618736,627882.2698883624,-823202.6937545501,3992126.149999993
obi,0,-1,8,60.0,838282.0,654138.0,-180169.01965570133,758119.2068510214,-995852.3705067217,6685160.76199999
obi,0,-1,9,0.1,871863.0,70805.0,50675.238165378185,56241.129432460315,-11796.731267082087,3151.592
obi,0,-1,9,0.5,871863.0,155750.0,85528.2559709136,202830.38284443656,-131008.12687352291,25985.723999999995
obi,0,-1,9,1.0,871863.0,212646.0,90915.01924565836,294802.48466695414,-222600.31342129584,67288.88699999999
obi,0,-1,9,3.0,871863.0,341485.0,68156.94651947934,475631.1298073154,-437524.86328783585,294810.28499999974
obi,0,-1,9,5.0,871863.0,411103.0,38908.44059385729,572322.2240101869,-569590.8474163299,559538.506
obi,0,-1,9,10.0,871863.0,511147.0,-14281.71202666056,721771.5180397662,-781034.1660664276,1268487.127000001
obi,0,-1,9,30.0,871863.0,658392.0,-93255.69626526382,955417.6549135401,-1106611.8471788042,3876290.503999999
obi,0,-1,9,60.0,871863.0,714142.0,-124540.28215093426,1119011.2171375956,-1306395.9952885318,6290511.448999994
obi,1,1,0,0.1,881160.0,21111.0,30069.400568291014,-25554.854109850254,2656.778458440751,956.7109999999994
obi,1,1,0,0.5,881160.0,59663.0,52725.43300455422,-96325.056182593,-48849.96717803876,11976.727999999997
obi,1,1,0,1.0,881160.0,97647.0,47158.20966986736,-161196.51408400445,-122631.2404141371,40185.424000000006
obi,1,1,0,3.0,881160.0,205305.0,-11353.672219462966,-322982.66477970296,-352403.1769991664,239711.3260000001
obi,1,1,0,5.0,881160.0,271838.0,-59894.656438479615,-429612.0605176029,-513428.4609560829,498070.93400000065
obi,1,1,0,10.0,881160.0,372890.0,-138890.97234118677,-601863.0804695267,-773568.3728107134,1224968.2500000002
obi,1,1,0,30.0,881160.0,536839.0,-261964.07676396644,-929236.4139917891,-1238442.3227557563,4175895.977999997
obi,1,1,0,60.0,881160.0,622411.0,-316094.5414053259,-1155047.6959788634,-1525914.4053841878,7846286.990000008
obi,1,1,1,0.1,828918.0,8514.0,12845.663739520043,-8976.305439964346,3120.126299555694,394.2119999999999
obi,1,1,1,0.5,828918.0,30406.0,27652.611178390056,-41221.16534600753,-16244.282167617497,6962.692999999997
obi,1,1,1,1.0,828918.0,57580.0,27199.275191672346,-80969.69426771287,-58837.45907604058,27198.284
obi,1,1,1,3.0,828918.0,144187.0,-8444.893951740098,-200633.1875733785,-221766.53752511862,189910.02200000006
obi,1,1,1,5.0,828918.0,202542.0,-45973.84882846211,-286820.6062305627,-350618.15105902485,416995.66700000013
obi,1,1,1,10.0,828918.0,296063.0,-115344.23420002143,-428776.95395387104,-570174.7321538925,1092375.3320000013
obi,1,1,1,30.0,828918.0,459811.0,-237088.44679531443,-698276.4521982656,-975828.2669935803,4067569.7189999972
obi,1,1,1,60.0,828918.0,549580.0,-292656.8881198441,-860042.1730261743,-1201062.101146019,7925692.81599999
obi,1,1,2,0.1,833844.0,5982.0,9392.949765981028,-6458.022208708283,2408.511557272743,286.0159999999999
obi,1,1,2,0.5,833844.0,23748.0,21974.261336268883,-32137.540447144445,-12253.103110875567,5724.201999999999
obi,1,1,2,1.0,833844.0,47976.0,23195.214604561934,-66443.65643362836,-47470.3298290664,23755.464999999993
obi,1,1,2,3.0,833844.0,129466.0,-6870.042577208397,-179413.84733292757,-197676.89791013594,177680.67499999996
obi,1,1,2,5.0,833844.0,186455.0,-40870.38252188307,-258502.30560701026,-315780.7281288935,399849.902
obi,1,1,2,10.0,833844.0,279530.0,-104253.06749918089,-399795.44130173384,-528647.1488009148,1072480.7930000003
obi,1,1,2,30.0,833844.0,443436.0,-217039.28863360925,-682024.1189922079,-938085.7756258163,4050621.443
obi,1,1,2,60.0,833844.0,535148.0,-270436.6557227345,-866014.5996059218,-1183544.279328657,7997135.077999991
