dt,day_type,kappa_買い,kappa_売り,t_half_買い,t_half_売り,n_買い,n_売り,asym
2026-07-31,立会日,1.9587583912420692,1.8943319812731811,353.8706885234648,365.90586429263146,51315,47214,0.016720710842510363
2026-08-01,閉場日,1.3339558676207988,1.6465032245465427,519.6180704537154,420.98136840931016,5566,5163,-0.10486550805113203
2026-08-02,閉場日,1.3869150775793488,1.5565564481842233,499.7762240567239,445.3081127051644,9203,8768,-0.05763309382137389
2026-08-03,立会日,1.8778754216687377,1.8445764421958006,369.1124409315783,375.7757958433084,39794,39155,0.008945442598246797
2026-08-04,立会日,1.9200000232750918,1.9024762636085935,361.01415217041813,364.3394637045139,48796,49582,0.004584399836992778
2026-08-05,立会日,1.8337359522110217,1.7906007304642781,377.9972682372172,387.10314855654235,40730,40090,0.011901549310508136
2026-08-06,立会日,1.7659685622788275,1.7896983245198077,392.502559425803,387.2983346206814,34673,34595,-0.006673786661254269
2026-08-07,立会日,1.8089134355968002,1.869726994807901,383.1842734537824,370.72106381560826,25041,25097,-0.016531531244115216
2026-08-08,閉場日,2.178431868394253,2.2057055392965297,318.1863020902609,314.2519108788257,2151,2207,-0.006220989071745841
2026-08-09,閉場日,1.8146478691325194,1.9062416653633285,381.97338026319113,363.6204758366879,1939,1864,-0.024616101978211336
2026-08-10,立会日,1.8598908896889093,1.8197804851249466,372.68163701344696,380.8960400585643,23740,25335,0.010900539879323249
