dt,n,n_cand,fill,lat_med,edge_med,spr_med,mk1_med,pnl1_mean,ts_min,ts_max
2026-07-08,1102336,551168,0.6857691302833256,8.646477,-1.7378271,1.611794,-0.43325445,-4.1429477,1783468800170225888,1783555199737336646
2026-07-09,1122318,561159,0.6932598425758119,8.163004,-1.0604508,1.2065274,-0.574387,-3.22671,1783555200207192789,1783641599915898253
2026-07-10,942346,471173,0.7113289598512649,7.3920856,-0.87958485,1.0335063,-0.5691593,-2.9183972,1783641600280854827,1783727997150687082
2026-07-11,296796,148398,0.44936252510141644,14.825694,-0.20357892,0.7077606,-0.30451906,-1.291122,1783728000188668824,1783814399877206187
2026-07-12,351838,175919,0.49895406408631243,12.495,-0.25459674,0.5130284,-0.30512613,-1.3798138,1783814400589978361,1783900799988568128
2026-07-13,1141920,570960,0.7143819181729018,7.853773,-1.1271477,0.9704707,-0.5336065,-3.0987926,1783900800199886899,1783987199933391435
2026-07-14,1154354,577177,0.7141812650192229,7.852194,-1.1788409,1.0138903,-0.5104593,-3.132436,1783987200073903572,1784073599847245566
2026-07-15,1077246,538623,0.674496818739638,9.138642,-1.2707393,1.0238243,-0.51063657,-3.3892171,1784073600255760410,1784159999905360675
2026-07-16,1235774,617887,0.6888354990475605,8.497147,-1.5416125,1.1170813,-0.57025546,-3.7951374,1784160000236511339,1784246399950365584
2026-07-17,1349282,674641,0.7277515004276348,7.233206,-1.5345331,0.9834776,-0.54274577,-3.9678102,1784246400089163634,1784332799471516824
2026-07-18,372336,186168,0.39569636027673927,16.525352,-0.17874593,0.82882905,-0.35426235,-1.3917421,1784332800292751890,1784419199358616294
2026-07-19,495526,247763,0.4562404394522184,14.125343,-0.47607714,1.0473946,-0.35421845,-2.305501,1784419200233452283,1784505599970302475
2026-07-20,1218422,609211,0.6704393059219219,9.523251,-1.6456982,0.9211496,-0.5063334,-3.9525938,1784505600034972365,1784591999904586743
2026-07-21,1133630,566815,0.7016989670350996,8.299171,-0.87411237,0.7594209,-0.44285265,-2.7170358,1784592000040134236,1784678399957000000
2026-07-22,1205974,602987,0.7072822465492623,8.011921,-1.1215334,0.82774603,-0.411798,-2.9021568,1784678400092374480,1784764799980297729
2026-07-23,1280698,640349,0.7283848338952665,7.335531,-1.1654953,0.81947064,-0.3029752,-3.0118318,1784764800198979838,1784851199846222667
2026-07-24,1165252,582626,0.7017048672733451,8.019043,-1.2014505,0.7516738,-0.36079592,-3.1819453,1784851200157000000,1784937599995571687
2026-07-25,308272,154136,0.419373150983547,12.343173,-0.162328,0.64882404,-0.26985383,-1.6181159,1784937600066698099,1785023986620919155
2026-07-26,363816,181908,0.45733007894100314,12.49662,-0.37406552,0.63989764,-0.26675844,-1.7431599,1785024000392150826,1785110399989732840
2026-07-27,1212546,606273,0.7059410529579909,7.1674995,-1.2732636,0.73845506,-0.36669278,-3.2424583,1785110400074028407,1785196799762141936
2026-07-28,1431550,715775,0.7523167196395515,6.862635,-1.6371474,0.823418,-0.36899233,-3.7685907,1785196800026083501,1785283199990425940
2026-07-29,1605996,802998,0.7799477707291923,6.1787333,-2.125,0.8725786,-0.5397026,-4.980035,1785283200066666663,1785369599950715248
2026-07-30,1379890,689945,0.7626281805071419,5.461738,-1.3136879,0.64020896,-0.40466172,-3.8219419,1785369600016000000,1785455999998694306
2026-07-31,1320668,660334,0.7358670006390705,5.520175,-1.3348651,0.66468,-0.43876007,-4.0057054,1785456000072000000,1785542398589436885
2026-08-01,265432,132716,0.4996006510141957,7.813759,0.060837243,0.24418235,-0.42959413,-1.6734475,1785542400225424248,1785628795811712369
2026-08-02,472402,236201,0.6159669095389096,6.3673253,-0.2923327,0.35723856,-0.47673815,-2.3427196,1785628801129464725,1785715199979399688
2026-08-03,1106368,553184,0.7067241641117603,5.7661543,-1.0400671,0.50197023,-0.5443806,-3.5729394,1785715200190148799,1785801599948230918
2026-08-04,1259966,629983,0.7285275951890765,6.573159,-1.1405178,0.36652637,-0.40247348,-3.2959054,1785801600078000000,1785887999958418476
2026-08-05,1323250,661625,0.7413754014736444,5.8974886,-1.0861183,0.32600015,-0.44636133,-3.3378813,1785888000040000000,1785974399971247552
2026-08-06,1156022,578011,0.6969036921442672,7.157656,-1.3133626,0.34329066,-0.34618846,-3.6090152,1785974400034852862,1786060799257806592
2026-08-07,969242,484621,0.6865901395110818,6.6116557,-0.96693647,0.2325906,-0.39490572,-3.099813,1786060800333821386,1786147198639288044
2026-08-08,173070,86535,0.32152308314554806,12.229191,0.05658573,0.11406866,-0.45281908,-1.4148283,1786147200060019292,1786233599871856792
2026-08-09,177266,88633,0.37466857716651814,11.963217,-0.056618407,0.113682225,-0.33991638,-1.5533787,1786233600214000000,1786319999828577217
