day,quotes,fills,fill_rate,net_usd,notional_usd,net_bp,label
2026-09-04,15791,144,0.009119118485213096,-4.338588097049594,11088.013326670494,-3.912863350023032,pl_cadence
2026-09-05,16384,68,0.004150390625,-0.4711474434480602,5545.441344394932,-0.8496121664405911,pl_cadence
2026-09-06,15192,82,0.005397577672459189,0.06304700877645877,6543.0336272828135,0.09635745797418574,pl_cadence
2026-09-07,16345,126,0.007708779443254818,-1.8902223875883224,10655.872718114097,-1.7738785340173047,pl_cadence
2026-08-19,3237,230,0.07105344454742045,-6.524204832258788,11840.933076419711,-5.509873918003329,pl_flip
2026-08-20,2093,174,0.08313425704730053,-4.362264127042813,6404.685141242258,-6.811051645540696,pl_flip
2026-08-21,2124,171,0.08050847457627118,0.6096671540217722,6909.960441404075,0.8823019454187937,pl_flip
2026-08-22,316,15,0.04746835443037975,-0.3660249552879945,899.7993088598935,-4.06785103838069,pl_flip
2026-08-23,7686,82,0.010668748373666407,-1.6190253346214707,5133.4489997927385,-3.1538743926098,pl_flip
2026-08-24,10785,437,0.040519239684747334,-12.69641873489716,21118.703147524648,-6.011931057606311,pl_flip
2026-08-25,4896,288,0.058823529411764705,-1.8531267268433298,13206.925235921106,-1.4031477378270212,pl_flip
2026-08-26,4227,276,0.06529453513129879,-7.843481878590966,14219.83164374463,-5.515875345852882,pl_flip
2026-08-27,4526,147,0.03247901016349978,-0.6284411795987965,7738.2278545177005,-0.8121254522531313,pl_flip
2026-08-28,2420,135,0.05578512396694215,0.5594534737166842,7799.132581615343,0.7173278154489472,pl_flip
2026-08-29,1811,5,0.0027609055770292656,-0.19180595514391968,240.05030421799438,-7.990240036094141,pl_flip
2026-08-30,3879,37,0.009538540861046661,-0.11953520076579927,3255.4383404077553,-0.36718619204695807,pl_flip
2026-08-31,3056,158,0.05170157068062827,2.7851199021888804,11859.171110623785,2.3484945753872206,pl_flip
2026-09-01,4856,221,0.045510708401976935,-3.800847804392095,13652.564316663638,-2.7839808817109692,pl_flip
2026-09-02,7006,299,0.0426777048244362,-2.380812682517758,16376.047917964146,-1.453838370798892,pl_flip
2026-09-03,7887,276,0.03499429440852035,-4.585791880398395,17007.684123567968,-2.6963058856694953,pl_flip
2026-09-04,12181,264,0.021673097446843443,-2.4400740188237737,14981.981186808487,-1.6286724622056254,pl_flip
2026-09-05,1935,33,0.017054263565891473,-0.17568213374557018,2356.4973937165805,-0.7455222917454231,pl_flip
2026-09-06,3466,70,0.020196191575302943,-0.38568845238966565,4176.606732631048,-0.9234492904882662,pl_flip
2026-09-07,6119,121,0.01977447295309691,-1.6681326120746522,7369.267555101553,-2.2636342073369926,pl_flip
2026-08-19,5407,120,0.022193452931385242,-2.315453806638562,8217.12960478519,-2.817837758443256,pl_shift
2026-08-20,3299,59,0.017884207335556228,-3.4242411464010027,4104.137892185487,-8.343387177416613,pl_shift
2026-08-21,3539,40,0.011302627860977677,-0.015139237266466044,2438.322254587035,-0.06208874662889911,pl_shift
2026-08-22,624,0,0.0,0.0,0.0,NaN,pl_shift
2026-08-23,8370,28,0.0033452807646356035,-0.6423420115531582,2127.5945542625086,-3.019099716467427,pl_shift
2026-08-24,15532,145,0.009335565284573783,-10.013744322469712,10577.59864089695,-9.46693541930475,pl_shift
2026-08-25,7686,64,0.008326827998959146,-0.003873959615719458,5187.5806279104,-0.007467757888670967,pl_shift
2026-08-26,7404,58,0.007833603457590491,-2.633917341099271,4656.911483699512,-5.655931727108655,pl_shift
2026-08-27,5692,50,0.008784258608573436,1.0315977169451966,3282.1803344213513,3.1430257080224306,pl_shift
2026-08-28,3317,57,0.01718420259270425,-2.208681453759669,3911.3189825521326,-5.646896772194494,pl_shift
2026-08-29,1921,0,0.0,0.0,0.0,NaN,pl_shift
2026-08-30,4330,8,0.0018475750577367205,0.007475000000003591,675.5937610000001,0.11064341371269103,pl_shift
2026-08-31,4306,56,0.013005109150023224,-0.9241650280899626,4712.440932337388,-1.9611174789443426,pl_shift
2026-09-01,6228,82,0.013166345536287732,-1.109503993781235,6292.625383008744,-1.763181384954365,pl_shift
2026-09-02,9312,91,0.00977233676975945,-2.600196659396136,6397.093993674429,-4.064652890777063,pl_shift
2026-09-03,10457,98,0.00937171272831596,-4.815389692444507,6898.60892203558,-6.98023289458134,pl_shift
2026-09-04,14736,104,0.007057546145494028,0.3665690407742795,6016.128792917232,0.6093104941600319,pl_shift
2026-09-05,2048,6,0.0029296875,0.004985000000016124,370.95607199999995,0.1343824882860018,pl_shift
2026-09-06,4078,20,0.004904364884747425,-0.2061489992654096,1252.6624969393295,-1.6456866855126588,pl_shift
2026-09-07,6836,31,0.004534815681685196,-0.013260994086456895,2606.339553057902,-0.0508797638085888,pl_shift
