k,side,h,n,n_fill,sum_edge,sum_as,sum_pnl,sum_wait
8,-1,3.0,8465276.0,244560.0,829289.0585025118,957420.1805303069,-149652.40202779512,390879.92699999997
8,-1,5.0,8465276.0,418519.0,1215709.2999782609,1606944.9287588662,-428065.30078060547,1078306.005
8,-1,10.0,8465276.0,794672.0,1970426.8918390654,3045823.2172192414,-1145327.4613801762,3850642.5979999998
8,-1,30.0,8465276.0,1769032.0,3933397.1034855098,7149173.0399266165,-3371450.7524411064,22294762.809
8,-1,60.0,8465276.0,2574502.0,5593157.241858772,10668168.591526745,-5301567.525667978,57453825.247999996
9,1,0.1,8465276.0,6441.0,67727.37110863083,-33334.14171425959,33826.42139437124,295.25200000000007
9,1,0.5,8465276.0,24106.0,184588.28696509948,-114642.70881775566,67824.25014734396,5831.753
9,1,1.0,8465276.0,54009.0,320982.85836321086,-265933.5515345759,50296.51482863512,28432.859000000015
9,1,3.0,8465276.0,210589.0,827296.3195092588,-925895.2855054906,-117130.79799623178,340790.46800000017
9,1,5.0,8465276.0,366400.0,1223102.6470402633,-1574746.0222720504,-383886.57523178787,958729.665
9,1,10.0,8465276.0,708775.0,1997915.7588914363,-3066887.748260872,-1131344.1893694347,3489212.654
9,1,30.0,8465276.0,1627685.0,4011272.3824113123,-7343325.67137095,-3475289.5689596366,20966681.493999995
9,1,60.0,8465276.0,2410992.0,5761057.9903897215,-11200304.348611966,-5651413.654222246,55176219.465999976
9,-1,0.1,8465276.0,6352.0,64698.683311960944,33096.155202493755,31043.552109467175,293.906
9,-1,0.5,8465276.0,23756.0,175748.44227754202,113026.62023202553,60631.294045516566,5708.719000000001
9,-1,1.0,8465276.0,53883.0,307833.59635601845,256907.65649879238,46184.23585722616,28568.850999999995
9,-1,3.0,8465276.0,212127.0,795648.1550713041,888049.6037405216,-111068.62466921775,342791.417
9,-1,5.0,8465276.0,369626.0,1179224.257082835,1506257.2341575078,-359560.0650746742,965840.3290000003
9,-1,10.0,8465276.0,717292.0,1932424.6349721365,2881249.70731695,-1011946.7683448134,3531793.229999999
9,-1,30.0,8465276.0,1649469.0,3912763.537986065,6915038.554779204,-3147428.2887931387,21238642.545000017
9,-1,60.0,8465276.0,2438414.0,5598136.071493625,10439444.086716251,-5055888.447222626,55701958.919
10,1,0.1,8465276.0,5637.0,64185.964257982894,-31471.43342794287,32218.47483004004,256.996
10,1,0.5,8465276.0,20693.0,174640.1610676944,-106481.90966986578,66337.26739782855,4959.720000000004
10,1,1.0,8465276.0,46167.0,304890.91824724106,-246734.4149259069,54093.80732133409,24226.402000000006
10,1,3.0,8465276.0,184238.0,798124.685372026,-865607.530270527,-83695.78889850134,300376.336
10,1,5.0,8465276.0,325374.0,1189673.6515809,-1483039.8393829565,-321999.0998020556,860602.7080000002
10,1,10.0,8465276.0,642712.0,1963743.0876143975,-2918672.8735045344,-1011488.4418901362,3209380.838000001
10,1,30.0,8465276.0,1520618.0,3996722.942965103,-7110554.085991636,-3247645.5270265327,19958112.48299999
10,1,60.0,8465276.0,2288183.0,5766100.773600432,-10939530.677120464,-5374790.007520031,53513428.667000026
10,-1,0.1,8465276.0,5531.0,60875.88704655961,31072.084263650322,29317.07478290931,255.43399999999994
