feat,k,side,s_dec,h,n,n_fill,sum_edge,sum_as,sum_pnl,sum_wait
obi,1,1,3,0.1,796382.0,4977.0,18072.359392880764,-6307.734005818738,11326.649387062018,230.82799999999997
obi,1,1,3,0.5,796382.0,17775.0,44319.16060660368,-27160.601764043393,15594.358842560276,4105.090999999999
obi,1,1,3,1.0,796382.0,33830.0,66297.79097448186,-61587.55583015377,1733.1951443281137,15999.803
obi,1,1,3,3.0,796382.0,83781.0,131842.9773799541,-185286.6269953542,-60816.37761540012,110653.36899999999
obi,1,1,3,5.0,796382.0,119550.0,178574.85745657294,-287725.66959680186,-119671.21214022886,250575.03500000003
obi,1,1,3,10.0,796382.0,181885.0,266579.21906363074,-490751.7144688758,-240178.37540524476,704667.5810000001
obi,1,1,3,30.0,796382.0,310652.0,492901.0224794424,-978517.1331299037,-512953.4866504622,3087305.724999999
obi,1,1,3,60.0,796382.0,390620.0,668526.1959547563,-1341995.8112010502,-707844.1752462947,6554290.450999998
obi,1,1,4,0.1,807034.0,4151.0,20654.60204226295,-5444.94891166278,14844.365130600167,190.21999999999994
obi,1,1,4,0.5,807034.0,14074.0,41562.39145083002,-21533.155766936914,18790.72368389312,3257.3379999999993
obi,1,1,4,1.0,807034.0,27756.0,62134.1434530468,-51991.87418681131,7699.741266235525,13374.355000000003
obi,1,1,4,3.0,807034.0,72972.0,132264.23106791056,-158359.12152087223,-32516.426452961674,99537.73900000006
obi,1,1,4,5.0,807034.0,106542.0,181684.32242294872,-243942.54538114864,-71633.9189582001,231257.15700000004
obi,1,1,4,10.0,807034.0,166774.0,277557.80643153517,-420774.32739089284,-157892.63295935746,669768.1350000005
obi,1,1,4,30.0,807034.0,294115.0,543545.8567004458,-841179.2723741444,-323515.5356736971,3029605.5559999985
obi,1,1,4,60.0,807034.0,376962.0,753733.6017173612,-1182476.8608214746,-461915.91510411457,6624024.047000005
obi,1,1,5,0.1,857959.0,3530.0,13500.00713039866,-4354.634180978705,8834.732949419955,164.36999999999998
obi,1,1,5,0.5,857959.0,12506.0,31976.38451947727,-18822.680173694163,12053.176345783082,2941.347
obi,1,1,5,1.0,857959.0,25571.0,50508.603039267306,-44923.1485747852,3335.2064644821307,12627.620000000003
obi,1,1,5,3.0,857959.0,70029.0,108909.87859538323,-146297.11356230726,-43549.78696692407,97606.27299999997
obi,1,1,5,5.0,857959.0,103233.0,150179.04792530168,-225792.71866591324,-84698.17474061158,227588.91
obi,1,1,5,10.0,857959.0,164135.0,231027.10080118838,-382163.4480560851,-165580.22725489672,671016.3579999997
obi,1,1,5,30.0,857959.0,291792.0,449322.4965938675,-769103.392594992,-345458.5920011248,3034326.5449999995
obi,1,1,5,60.0,857959.0,376117.0,638250.864272752,-1036514.0383748004,-431361.4701020483,6694773.395000006
obi,1,1,6,0.1,798952.0,3150.0,15142.083846582596,-4142.7297372932935,10722.154109289302,148.063
obi,1,1,6,0.5,798952.0,12224.0,34069.01986477754,-17921.552083699826,15071.755781077703,2977.5070000000005
obi,1,1,6,1.0,798952.0,25540.0,52209.88510413079,-45088.96364990102,4873.401454229761,12877.796999999999
