rule,trig_rate,lat_ms,n,n_cancel,n_fill,sum_mk,sum_edge,sum_pnl,fill,canc,markout,edge,pnl,ev
無作為,0.02,300,6739198,5200713,1585060,-1639879.4884525773,-1070030.5065723942,-2849395.2750249715,0.23520009354228796,0.7717109662010228,-1.0345851188299353,-0.675072556605046,-1.7976576754349813,-0.4228092534193196
無作為,0.05,0,6739198,5606481,1132184,-1206270.7143052295,-337546.93080465886,-1643449.8371098882,0.16799981244059012,0.8319210980297655,-1.0654369910767414,-0.2981378740599221,-1.4515748651366636,-0.24386430508643436
無作為,0.05,65,6739198,5606481,1136589,-1212810.8385458954,-340486.3039047512,-1653316.9744506467,0.16865345104862625,0.8319210980297655,-1.0670619182007703,-0.29956853700392244,-1.454630455204693,-0.2453284462707056
無作為,0.05,130,6739198,5606481,1154216,-1233714.0808605717,-351555.7239311473,-1686840.812791719,0.17126904418003447,0.8319210980297655,-1.0688762596087489,-0.30458399808280884,-1.4614602576915579,-0.25030290144194
無作為,0.05,200,6739198,5606481,1176676,-1261464.5589986038,-366843.55571718555,-1731855.6027157893,0.17460178496016884,0.8319210980297655,-1.0720576938754627,-0.31176258861163614,-1.4718202824870987,-0.25698244846282736
無作為,0.05,300,6739198,5606481,1212649,-1303339.059740451,-391885.2520206378,-1801937.4237610886,0.17993966047592014,0.8319210980297655,-1.0747867352716665,-0.3231646189628143,-1.4859513542344807,-0.26738158216468616
無作為,0.1,0,6739198,5903144,835705,-912159.0929494987,-39494.02033073078,-1025195.1532802295,0.12400659544355278,0.8759416179788753,-1.0914845465200025,-0.04725832719767236,-1.2267428737176749,-0.15212420725436906
無作為,0.1,65,6739198,5903144,841499,-920094.5086677155,-41357.15377208893,-1035503.5744398043,0.12486634166261326,0.8759416179788753,-1.0933994082794103,-0.049147002874737736,-1.230546411154148,-0.1536538286068764
無作為,0.1,130,6739198,5903144,864877,-951870.4788972954,-46823.57040474844,-1074803.2253020438,0.12833530043189115,0.8759416179788753,-1.1005847986445418,-0.05413899364273583,-1.2427237922872776,-0.1594853312370469
無作為,0.1,200,6739198,5903144,894879,-989712.6782320979,-56199.19832985489,-1124661.2285619527,0.13278716547577324,0.8759416179788753,-1.1059737441956934,-0.06280089076831046,-1.2567746349640037,-0.16688354141871967
