coin,dt,hour,n_bbo,n_fill,half_spread_bp,tick_bp,room_bp,sigma_short_bp,x1,depth,trade_size,depth_over_trade,obi_ic_mid,obi_ic_micro,n_lot,ev
xyz_MU,2026-07-07,1,28075,12712,0.9478273690415884,0.10541517767728197,0.8424121913643065,2.137273085004081,0.39415280961286137,4.5705,0.319,14.327586206896552,0.13402614427618392,-0.10889121054940708,448,-1.2138145047190068
xyz_MU,2026-07-07,2,21726,5151,0.8991616639777804,0.10584642741845857,0.7933152365593219,1.578332108991165,0.5026288396720202,1.7550000000000001,0.21,8.357142857142858,0.1625013529688388,-0.12471267319178754,254,-1.1434776752629852
xyz_MU,2026-07-07,3,21781,6933,0.7486070561561508,0.10654279291277342,0.6420642632433773,1.472117371546032,0.43615018452575904,2.9829999999999997,0.332,8.984939759036143,0.15810468631586788,-0.10247147715131263,277,-1.0108445387616054
xyz_MU,2026-07-07,4,21891,7533,0.755792610507603,0.10764146779905491,0.6481511427085481,1.5290290364104415,0.4238972101080251,3.3594999999999997,0.328,10.242378048780486,0.15327905233846417,-0.11705828720526705,297,-1.1252374173540258
xyz_MU,2026-07-07,5,25798,10639,0.8153813538590764,0.10802227419293858,0.7073590796661378,1.8189755286011842,0.3888777328467448,4.186,0.333,12.57057057057057,0.12988020080054966,-0.12072138967696357,411,-0.8957555533506865
xyz_MU,2026-07-07,6,21572,6507,0.7990071005096455,0.10629025743500352,0.692716843074642,1.6646399875965576,0.4161361304763567,3.355,0.375,8.946666666666667,0.1316179654024673,-0.13716196671592396,290,-0.7626091560670014
xyz_MU,2026-07-07,7,16405,2920,0.6848773806074095,0.10562896768809879,0.5792484129193107,1.1293927627995852,0.512884828023376,1.847,0.2905,6.3580034423407925,0.15713280438716307,-0.12488182674437974,148,-1.2632459129735425
xyz_MU,2026-07-07,8,21167,4920,0.8041731223902756,0.10684845149881667,0.6973246708914589,1.8197065228593463,0.3832072161810668,2.8575,0.5,5.715,0.09991218586536622,-0.14465517554475654,223,-1.090126787065925
xyz_MU,2026-07-07,9,18868,4649,0.594877563398972,0.10781322437010125,0.48706433902887075,1.4141939537825619,0.3444112723902643,5.111,0.541,9.447319778188538,0.10561227956489176,-0.12582929738997994,214,-1.2374117286684356
xyz_MU,2026-07-07,10,17906,3392,0.6424395571450229,0.10734393533601336,0.5350956218090095,1.4063995864350631,0.38047197039169217,3.319,0.536,6.192164179104477,0.13626083833563712,-0.10637462342726745,177,-2.2827717859697882
xyz_MU,2026-07-07,11,16772,3713,0.757047299433224,0.10748180870387687,0.6495654907293471,1.8103455303410763,0.35880746511798023,5.477,0.616,8.891233766233768,0.09321410759979143,-0.1218228836187242,180,-2.6504151470131343
xyz_MU,2026-07-07,12,18758,4362,0.7458790184231391,0.1065978755043412,0.6392811429187979,1.8292049171128129,0.34948579950672165,6.428,0.6715,9.572598659717052,0.16691413193270715,-0.05781353237724279,255,-2.00692195719948
xyz_MU,2026-07-07,13,29495,18521,0.8055637603715111,0.10779869671375673,0.6977650636577544,4.088374771737358,0.17067052376933597,12.5,0.632,19.77848101265823,0.16573280408616528,0.013648189972391396,661,-2.88750372809582
xyz_MU,2026-07-07,14,34245,19835,0.7622117206390604,0.11001281649312145,0.652198904145939,3.2908603811180823,0.19818492084563974,18.7815,0.593,31.672006745362566,0.15559054917923446,-0.02390527752030702,636,-2.416387319230949
