d,buy_sz,sell_sz,buy_usd,sell_usd,n_buy,n_sell,volume_usd,net_usd,buy_share,z_hac
2026-06-23,122818.639,118699.568,25965573.26796,25138052.18098,41259,33763,51103625.44894,827521.0869800001,50.80965007835581,0.71594759976968
2026-06-24,125982.106,133235.888,27849252.17674,29522771.79183,34646,43257,57372023.968569994,-1673519.6150900014,48.54151945553917,-1.3755090242420729
2026-06-25,106243.129,103761.239,24416960.82901,23806263.572,27765,27658,48223224.40101,610697.257009998,50.63319828215096,0.4476276796741703
2026-06-26,84630.345,83810.968,18531879.63834,18378583.8109,25123,27439,36910463.44924,153295.82744000107,50.207659039083616,0.1924606581291997
2026-06-27,6687.913,8179.941,1505246.11687,1837602.97196,4011,5633,3342849.08883,-332356.85508999997,45.02883848091502,-1.4778413452507653
2026-06-28,30404.742,23726.422,6799119.68384,5285152.01184,10221,10568,12084271.69568,1513967.6720000003,56.26420735202945,1.859233363698734
2026-06-29,104749.235,111071.265,22052442.07436,23348894.64822,25549,23817,45401336.72258,-1296452.573859997,48.57223083344238,-0.6013086132510685
2026-06-30,71296.783,81504.214,15428215.279,17633847.36341,18028,20296,33062062.64241,-2205632.0844100006,46.664406410051456,-2.31331077410709
2026-07-01,115087.328,119218.69,23229220.08677,23952846.7716,29083,28360,47182066.858370006,-723626.6848299988,49.233154953764355,-0.5112125546740629
2026-07-02,180931.612,178493.889,34093050.68026,33486851.02102,47471,48643,67579901.70128,606199.6592400037,50.448505875252344,0.3906845322714056
2026-07-03,111231.441,130029.609,21939919.74668,25628693.24814,28029,30528,47568612.99482,-3688773.501460001,46.12268125006957,-3.2737511104450485
2026-07-04,6417.554,7253.079,1312437.33533,1482872.75603,3803,4322,2795310.09136,-170435.42070000013,46.95140404589105,-0.8171012840860618
2026-07-05,34427.879,35573.533,7200630.13168,7433504.48399,14593,17992,14634134.61567,-232874.35231,49.20434532541254,-0.3034485358122899
2026-07-06,185024.848,182697.677,38227975.48364,37740710.24014,47846,47627,75968685.72378,487265.2435000017,50.32070137771745,0.2881753831819196
2026-07-07,209492.692,221570.868,40518662.75139,42776509.17817,50782,50357,83295171.92956,-2257846.4267800003,48.64467148906939,-1.4603790480197658
2026-07-08,278842.44,277788.848,52057439.87158,51830527.63319,57113,55628,103887967.50477,226912.23838999867,50.109210067267696,0.12037421404115176
2026-07-09,252315.084,257293.494,47870568.36281,48723048.41379,46977,47660,96593616.7766,-852480.0509800017,49.5587285788503,-0.3803117650746918
