block,rule,trig_rate,lat_ms,metric,point,lo95,hi95,se_boot,bias,vs_base,vs_base_lo,vs_base_hi,vs_other,vs_other_lo,vs_other_hi
1,スコア,0.2,200,mk,-0.9151153413992207,-0.9843538453854292,-0.8509401148372567,0.033796833333245686,-0.0005085565356913735,0.08555248731356524,0.04058801204055046,0.12408452572104724,0.21437051706941512,0.1822443682691869,0.2444694899343427
1,スコア,0.4,300,ev,-0.09979253055303244,-0.11219610197876155,-0.08766386968647139,0.006254307733183037,0.000016155669921011362,0.6000474389151544,0.48442184905681085,0.7149566868889536,-0.008839639333514726,-0.013992783772652275,-0.003960649278206065
1,スコア,0.4,300,mk,-1.0218512168185898,-1.1150993033769587,-0.9341503886195728,0.04574402447442007,-0.0007260369614729978,-0.02118338810580389,-0.08723433799821347,0.037861424318482405,0.16009140077337491,0.1399150454176711,0.18098814655545054
1,スコア,0.05,300,ev,-0.34889214141802766,-0.3948895813408973,-0.3016954625549285,0.02385927946747535,0.0003542413298657787,0.3509478280501593,0.26439032157599507,0.4438835515021781,-0.0815105592533415,-0.1036207315173301,-0.05792810785470076
1,スコア,0.05,300,mk,-0.9854594562754379,-1.0409084034796494,-0.9298734305533569,0.028348692029280392,0.0004722281068594292,0.015208372437348072,-0.002441119893819804,0.03110156604851627,0.08932727899622861,0.06429555652936868,0.114052110724302
1,無作為,0.05,0,ev,-0.24386430508643436,-0.27705162936439526,-0.2106916967066464,0.016879589638776293,0.00005310233150632171,0.4559756643817526,0.36334394866040376,0.5481460464592213,0.06375388745971977,0.038773481818902764,0.08602208077832962
1,無作為,0.05,0,mk,-1.0654369910767414,-1.131703878858241,-0.9998713308719142,0.033310734076487644,0.00046582795508620656,-0.06476916236395547,-0.09433109054253173,-0.036355428277363495,-0.16710602848417766,-0.20939686491440612,-0.1264294095742437
1,スコア,0.01,300,ev,-0.5485666861339307,-0.6353567764744786,-0.46003999695223485,0.044888221471288174,0.00028004631640254907,0.15127328333425627,0.11069163935690615,0.1944074260768119,-0.01809236585159657,-0.032739563254092566,-0.00292700511309832
1,スコア,0.01,300,mk,-0.9869318397916118,-1.0358588686512233,-0.9360637626607656,0.02576966741403927,0.0005513849719958053,0.013735988921174114,0.0033152572552605205,0.0236568953076065,0.0296724148895946,0.016181128095088194,0.043001745799320944
1,スコア,0.1,0,ev,-0.18611240585975347,-0.20944709163514494,-0.16364104624868467,0.011680433011073152,0.00024372849279111208,0.5137275636084335,0.40073191217882365,0.6288435969998434,-0.033988198605384407,-0.050989093771800206,-0.015181486106744512
1,スコア,0.1,0,mk,-0.8547724838867619,-0.8988067137142841,-0.8133729685533286,0.021883231458431306,-0.000034932435918344495,0.14589534482602406,0.11689201858047596,0.1711359248560886,0.2367120626332404,0.18736107906082983,0.28457451772080344
1,無作為,0.02,0,ev,-0.40631887988321264,-0.468429680143361,-0.3435919541404384,0.03201289139225048,0.00013356486611787455,0.2935210895849743,0.23209814003167506,0.3553927816899336,0.047986059513957235,0.028142474927670722,0.06568244396599711
1,無作為,0.02,0,mk,-1.0322404397226372,-1.0895744552879674,-0.9736324176654536,0.02965987817255828,0.0006811381373765801,-0.031572611009851315,-0.04802751509984289,-0.015396898807108171,-0.09090119414569364,-0.11892831141644948,-0.06344724125904617
1,スコア,0.02,130,ev,-0.46115836403130817,-0.5272826679268332,-0.39331494673201023,0.0343135294654354,0.0003404929341602747,0.23868160543687877,0.1768739737965493,0.3058363239295745,-0.05013768642422972,-0.06733463097061833,-0.031104711200727445
1,スコア,0.02,130,mk,-0.9558142238655906,-1.0039163607867276,-0.9071326708453179,0.02481727942610342,0.00048546588144371405,0.04485360484719536,0.029114778262210404,0.06005986903343193,0.0780707904306962,0.05344019535938241,0.10315777951111979
1,スコア,0.05,65,ev,-0.31001900736829396,-0.3500465202881691,-0.2693508841682594,0.020556304446715093,0.00034497394233518053,0.389820962099893,0.29532506644737216,0.4906562371200654,-0.06469056109758836,-0.08690466875526144,-0.039869080106701094
1,スコア,0.05,65,mk,-0.9048503818134785,-0.9505361096136565,-0.8602092833075695,0.023294772992938983,0.0003843513878970528,0.09581744689930738,0.07383594363934905,0.11695487142220869,0.16221153638729202,0.1223587556014224,0.2034220002416287
1,スコア,0.4,200,ev,-0.07381471239738183,-0.08227876065482566,-0.06546407524651249,0.004330324559427616,0.000013108786606999545,0.6260252570708051,0.5082652730165219,0.7431904489605149,0.00013845405645232511,-0.005437135312574295,0.005167243739214028
1,スコア,0.4,200,mk,-0.9237669178999484,-1.0272462296325486,-0.8290507737919974,0.050155738061312745,-0.001265495387022586,0.07690091081283756,-0.0005550873548740419,0.1453764398510001,0.22831860393989456,0.2049414068569329,0.2493703123166119
1,スコア,0.2,130,ev,-0.11082980496555593,-0.12415256725413612,-0.09822485539378897,0.0065324415760761746,0.00010190950720521952,0.589010164502631,0.47117176780563713,0.7063779318931034,-0.009833678689346037,-0.020365205071419677,0.0010972750947305762
1,スコア,0.2,130,mk,-0.856178405773477,-0.9191060617956954,-0.7975238692931899,0.0309422306253973,-0.0005776552812304381,0.1444894229393089,0.10062891844829829,0.18167263838898673,0.26027275524702975,0.21931452433217954,0.2989329808142012
1,スコア,0.01,130,ev,-0.5341185055099082,-0.6172206573919196,-0.44883951518030074,0.0431964697674742,0.000291705565297673,0.1657214639582787,0.12144780117173151,0.21267247354872226,-0.011594332506965066,-0.02763766591242503,0.005540605995000541
1,スコア,0.01,130,mk,-0.9666754596900857,-1.0140374249316413,-0.918044558540642,0.02471086546531623,0.0005244762727930619,0.0339923690227002,0.020229866738280634,0.04731302533986802,0.049478908574253966,0.031902124406066004,0.06723018466008286
1,スコア,0.0,130,ev,-0.6998399694681869,-0.8225543184097631,-0.5765808505576699,0.06335611426143042,0.0001839095713596084,,,,,,
1,スコア,0.0,130,mk,-1.000667828712786,-1.050350612079164,-0.9480020142382116,0.026156165363634378,0.0006067035206476223,,,,,,
1,スコア,0.01,200,ev,-0.5398196342557955,-0.6243873211328507,-0.45334993156238684,0.04383082007454493,0.000285068059238891,0.16002033521239145,0.11722137879099029,0.205300043011959,-0.014240886906856098,-0.029813534829735762,0.002228698126163238
