feature,label,target,h_grid,horizon,n,corr_fwd,corr_bwd,corr_placebo,corr_placebo_day,corr_partial,ci95,beta_bp_per_sd,oos_corr,signed
gfr_asym_q5,gap 調整後の上乗せの非対称(売り−買い),vol,12,1分,140912,-0.017984261724231423,-0.025560340331547294,0.006731199459712891,-0.011432199072435641,-0.0036353628939057446,0.005221396875449929,-0.1886061701994998,0.022867822206476277,true
l1_imb,【比較】最良気配の数量の偏り(マイクロプライス),dir,12,1分,140924,0.022947091336519652,0.028106499230736808,-0.0016084333011171425,-0.0032482634546930882,0.019677665621849822,0.005221174559058361,0.32525675323083697,0.022125973632733817,true
l1_imb,【比較】最良気配の数量の偏り(マイクロプライス),mag,12,1分,140924,-0.0014383808831666793,0.002432844667729243,-0.002212204014402567,0.0005495479659748699,-0.003041532268511758,0.005221174559058361,-0.03581711267872983,-0.0008903570187737111,true
l1_imb,【比較】最良気配の数量の偏り(マイクロプライス),vol,12,1分,140924,-0.00035542432155655777,0.00017059092959233185,-0.0015574590248831099,0.00235307741770201,-0.002634009646115665,0.005221174559058361,-0.05042900211007584,-0.006022245793658293,true
ofi_1s,【比較】直前 1 秒の OFI,dir,12,1分,140924,0.026664882340273758,0.1566173702933696,-0.0036694763596586974,-0.0018237968124587252,0.023936264986587012,0.005221174559058361,0.5503996880847517,0.019554725429769163,true
ofi_1s,【比較】直前 1 秒の OFI,mag,12,1分,140924,-0.0009564265676652056,0.00047836235640060605,0.001027698320029606,0.0002751975042603672,-0.003767898463794893,0.005221174559058361,-0.06568120104046359,-0.0020449843477405886,true
ofi_1s,【比較】直前 1 秒の OFI,vol,12,1分,140924,0.00034775946371044087,0.004356740451852535,-0.0027398050649515815,0.002538999099723207,-0.004504806828272737,0.005221174559058361,-0.052788036242824965,-0.004221598608526538,true
ofi_60s,【比較】直前 60 秒の OFI,dir,12,1分,140924,0.017632545201600444,0.5197649404032963,-0.00003870295934844449,0.0010338082963892638,0.008380458833095326,0.005221174559058361,0.33208814595126807,0.013491721994877491,true
ofi_60s,【比較】直前 60 秒の OFI,mag,12,1分,140924,-0.0056016425142445,0.007272984003209389,0.001079813814057862,-0.0005486007149861207,-0.009066564044169481,0.005221174559058361,-0.0980984686075831,0.003321203179989314,true
ofi_60s,【比較】直前 60 秒の OFI,vol,12,1分,140924,-0.005757629703967493,0.0034597246484347074,-0.0010365787631349704,0.0014934195146238498,-0.013638763192515772,0.005221174559058361,-0.12125155951889693,0.0002611065433797738,true
