luid,usd,n,pnl,days,long_share
L288,24985.168469999997,10,-1574.820321,2,0.0
L289,24690.538400000005,5,-3307.922392,1,1.0
L290,24642.2112,14,-1467.047916,1,1.0
L291,24459.3691,3,-1693.6979499999998,1,1.0
L292,24175.15851,8,-1045.197838,1,0.0
L293,24048.39001,21,-1322.78499,1,1.0
L294,23877.143649999998,4,-1354.89143,1,1.0
L295,23433.51882,12,-1568.933661,1,1.0
L296,23302.67013,2,-1289.495754,1,1.0
L297,23069.5122,7,-2472.652457,2,1.0
L298,22988.352639999997,3,-2830.974296,1,1.0
L299,22576.2956,15,-1294.6956,1,0.0
L300,22563.19942,12,-1249.1813789999999,6,1.0
L301,22292.54263,8,-2767.198507,1,1.0
L302,22244.12266,8,-3752.82104,1,1.0
L303,22081.67433,5,-1011.910046,1,0.0
L304,21797.774940000003,1,-847.504371,1,1.0
L305,21762.786,1,-1615.117306,1,1.0
L306,21734.65987,1,-3231.287532,1,1.0
L307,21716.29013,4,-2478.313216,2,1.0
L308,21709.24393,13,-1749.05607,4,1.0
L309,21601.444799999997,2,-1816.2774760000002,1,1.0
L310,21578.89897,3,-1231.30396,2,1.0
L311,21479.48051,8,-968.681061,1,1.0
L312,21378.83484,10,-1216.845957,2,1.0
L313,21371.14272,30,-1603.884454,4,0.8666666666666667
L314,21135.896,1,-1192.826724,1,1.0
L315,21064.619179999998,10,-5399.82982,1,1.0
L316,20981.249350000002,20,-975.879923,1,0.0
L317,20961.77037,13,-974.5501059999999,1,0.0
L318,20956.50442,40,-978.55642,1,0.0
L319,20947.37097,4,-1179.352389,1,1.0
L320,20886.5249,5,-247.269692,2,1.0
L321,20808.063059999997,5,-8493.793743,1,1.0
L322,20673.188860000002,6,-1651.637508,4,1.0
L323,20656.50388,4,-1025.044913,3,0.25
L324,20475.38556,4,-1156.7074400000001,2,1.0
L325,20436.207029999998,11,-1146.14797,2,1.0
L326,20379.220370000003,4,-9724.723170000001,1,1.0
L327,20339.679060000002,2,-2166.862102,1,1.0
L328,20236.25116,2,-1128.142825,2,1.0
L329,20021.04768,5,22.195478,1,1.0
L330,20009.02336,10,-1127.161695,2,1.0
L331,20000.832000000002,3,-1070.1138,1,0.6666666666666666
L332,19987.90098,4,-1100.97107,3,1.0
L333,19737.33583,7,-1070.5564630000001,2,1.0
L334,19558.54755,7,-904.54755,1,0.0
L335,19383.78787,17,-905.045137,1,0.0
L336,19361.9115,1,-2705.003277,1,1.0
L337,19255.682579999997,7,-613.681012,2,1.0
L338,19252.8,1,-844.41,1,0.0
L339,19211.0071,6,-1062.571575,1,1.0
L340,19197.52014,4,-1061.588079,2,1.0
L341,19150.89777,7,-1085.503038,1,1.0
L342,19139.10021,20,-1058.943234,3,1.0
L343,19057.15695,3,-1043.976414,2,1.0
L344,19052.99532,11,-1995.7090509999998,3,1.0
L345,19037.50746,1,-1044.885297,1,1.0
L346,19021.493019999998,12,-1078.50698,1,1.0
L347,18979.85987,9,-971.65423,1,1.0
L348,18903.7739,4,-1063.423724,2,1.0
L349,18826.916579999997,3,-1052.75142,1,1.0
L350,18811.363830000002,1,-1046.506909,1,1.0
L351,18726.33181,4,-1278.11874,1,0.0
L352,18710.77447,2,-2724.71553,1,1.0
L353,18478.17546,6,-997.6995400000001,1,1.0
L354,18242.952380000002,9,-956.60691,2,0.7777777777777778
L355,18158.0529,3,-2586.0291,1,1.0
L356,17974.690860000002,10,-3188.24867,1,1.0
L357,17967.24046,4,-1263.758652,1,1.0
L358,17852.80808,17,-4448.891462,1,0.0
L359,17755.211819999997,7,-882.0294289999999,1,0.14285714285714285
L360,17714.32755,2,-1873.9432900000002,1,1.0
L361,17699.117700000003,4,-993.706912,1,1.0
L362,17651.42269,11,-2187.98009,1,1.0
L363,17592.78437,8,-896.882243,3,0.25
L364,17449.72065,12,-865.449307,4,0.25
L365,17436.947099999998,20,-1091.529614,2,1.0
L366,17356.43358,1,-1177.319442,1,0.0
L367,17343.221759999997,2,-726.644736,1,0.0
L368,17341.525560000002,5,-952.99244,2,1.0
L369,17330.02367,6,-1760.388542,1,0.0
L370,17227.32942,7,-784.33578,1,1.0
L371,17152.114129999998,4,-8928.01387,1,1.0
