k,side,h,n,n_fill,sum_edge,sum_as,sum_pnl,sum_wait
2,1,30.0,8467190.0,4657515.0,-1749534.2267738904,-6557885.146983329,-8717280.693757217,42401880.206999995
2,1,60.0,8467190.0,5605061.0,-1973262.9123863657,-8369779.779744973,-10836288.060131336,83063620.40199998
2,-1,0.1,8467190.0,68154.0,77902.72062026635,63901.34559365815,8003.823026608185,3191.9810000000007
2,-1,0.5,8467190.0,247995.0,161262.0473001118,290093.91444452887,-150655.42714441716,58379.23399999999
2,-1,1.0,8467190.0,498479.0,143570.53526104192,616632.458166482,-516928.0749054402,245702.90800000005
2,-1,3.0,8467190.0,1431057.0,-182100.68266690132,1684942.5683774303,-1992976.2670443314,1982984.483
2,-1,5.0,8467190.0,2098712.0,-484958.8146316697,2468184.18240676,-3137829.6530384286,4554150.766000001
2,-1,10.0,8467190.0,3177587.0,-946724.086388439,3809966.969902721,-5036318.7122911615,12272516.808999997
2,-1,30.0,8467190.0,4987031.0,-1401411.3227964449,6341058.021759675,-8181328.072556123,44787545.01000002
2,-1,60.0,8467190.0,5914566.0,-1440841.405424792,8031974.644934016,-9993297.858358815,84370953.39000002
3,1,0.1,8467190.0,47750.0,59349.1353170019,-51622.63392650279,3524.5013904990974,2321.775
3,1,0.5,8467190.0,205161.0,143899.18679808194,-262424.4004598535,-136579.38166177162,50768.38300000001
3,1,1.0,8467190.0,429638.0,136303.18213702945,-570363.338199551,-471868.3000625214,218602.99699999992
3,1,3.0,8467190.0,1220509.0,-163791.01525018347,-1602185.2326573115,-1873381.0399074943,1731632.196
3,1,5.0,8467190.0,1791795.0,-454518.80583639507,-2369540.1996888174,-2981736.965525212,3966316.9990000003
3,1,10.0,8467190.0,2733758.0,-937889.7056826937,-3739878.258437517,-4918338.668120214,10783159.919000003
3,1,30.0,8467190.0,4402539.0,-1576306.2355444012,-6432859.7535922155,-8396589.421136616,41135781.51200001
3,1,60.0,8467190.0,5366798.0,-1766315.9433877731,-8327123.158402374,-10565717.325790152,82579936.458
3,-1,0.1,8467190.0,56638.0,69032.12023579454,57393.81637404447,6654.159861750109,2661.0440000000003
3,-1,0.5,8467190.0,213070.0,150398.99605260507,265491.7669320734,-133842.9308794684,50833.106999999996
3,-1,1.0,8467190.0,436407.0,139773.40224305593,570675.7466033971,-469306.16036034125,218102.97700000013
3,-1,3.0,8467190.0,1286216.0,-150674.3201471457,1589864.7775428544,-1853726.105690001,1808183.3979999998
3,-1,5.0,8467190.0,1906186.0,-427571.1720984168,2352806.819373404,-2948122.359471821,4200125.865000001
3,-1,10.0,8467190.0,2926642.0,-855372.6264481522,3690693.833640787,-4803610.956088939,11515918.891999997
3,-1,30.0,8467190.0,4690781.0,-1272020.9153059302,6296153.127037185,-7980962.770343116,43346422.874999985
3,-1,60.0,8467190.0,5646465.0,-1271007.636156736,8063166.112070907,-9831062.668227643,84226189.66200002
4,1,0.1,8467190.0,41632.0,55213.38215676571,-47255.83441139526,4293.9317453704425,2030.3060000000003
4,1,0.5,8467190.0,183043.0,139603.79021477056,-243644.30932010777,-120148.30310533711,45695.436
4,1,1.0,8467190.0,388914.0,140601.2263285961,-534348.068920958,-427971.2745923621,199775.637
4,1,3.0,8467190.0,1127170.0,-122088.10136090753,-1520563.654712771,-1741842.7160736788,1615322.581
4,1,5.0,8467190.0,1667518.0,-383863.94264212553,-2265662.9506383752,-2796268.4772805027,3731101.0549999997
4,1,10.0,8467190.0,2568637.0,-823569.0263710376,-3608960.3478738624,-4658569.430244898,10259064.235000001
4,1,30.0,8467190.0,4193786.0,-1401959.3175063303,-6298830.633551682,-8069843.119058018,39878207.323
4,1,60.0,8467190.0,5161141.0,-1559769.5707912766,-8246286.006002837,-10260235.984794114,81520721.96599999
4,-1,0.1,8467190.0,49359.0,64021.46591642425,52687.32802260243,6990.545893821821,2322.6259999999993
4,-1,0.5,8467190.0,189180.0,144172.10923387934,245838.3460319087,-118314.07679802937,45515.507999999994
4,-1,1.0,8467190.0,393207.0,140707.29364295048,534376.5060242309,-428271.4283812805,198504.43200000006
4,-1,3.0,8467190.0,1182170.0,-116711.00525622013,1509422.4250196887,-1730164.3902759093,1678920.2989999999
4,-1,5.0,8467190.0,1765042.0,-369551.4348548832,2252673.1423458643,-2777548.273200748,3930505.1629999997
4,-1,10.0,8467190.0,2735559.0,-761067.1102117351,3575264.4587892727,-4577060.761001007,10898159.717999997
4,-1,30.0,8467190.0,4450715.0,-1138192.8010868973,6226486.8864448415,-7756342.60753174,41943377.012
4,-1,60.0,8467190.0,5415821.0,-1112160.1805794055,8059218.405046226,-9647970.833625633,83292417.70099999
5,1,0.1,8467190.0,37104.0,52813.64148962149,-43966.452402994335,5582.037086627136,1812.9939999999992
5,1,0.5,8467190.0,165703.0,137456.13448925284,-228198.552023819,-105324.28153456621,41650.117
5,1,1.0,8467190.0,356591.0,145597.180524127,-503387.1352880424,-389169.96276391565,184637.25500000006
