feat,k,side,s_dec,h,n,n_fill,sum_edge,sum_as,sum_pnl,sum_wait
obi,0,-1,3,1.0,350823.0,15360.0,132744.38068427495,28532.807593970247,102859.89309030471,5248.037
obi,0,-1,3,3.0,350823.0,32177.0,281178.7116123408,85020.02053518282,193327.11507715806,34784.75599999998
obi,0,-1,3,5.0,350823.0,44287.0,384777.3614181913,136774.53379374492,244105.57162444651,80466.89399999997
obi,0,-1,3,10.0,350823.0,67094.0,576325.5986774869,233406.02641465096,337015.30026283493,243853.80900000012
obi,0,-1,3,30.0,350823.0,122728.0,1043255.5878947781,515656.94710138877,516798.5767933854,1281305.7539999995
obi,0,-1,3,60.0,350823.0,152080.0,1269826.4309379114,764337.498998502,492105.89193940634,2572941.7719999994
obi,0,-1,4,0.1,342117.0,4968.0,52730.247674725935,5327.13816019481,46965.92551453112,208.5889999999999
obi,0,-1,4,0.5,342117.0,9233.0,86939.4802965482,15838.389086658353,70288.58720988984,1433.7039999999997
obi,0,-1,4,1.0,342117.0,13345.0,119544.45512954997,28430.437973128624,89939.65715642137,4482.145
obi,0,-1,4,3.0,342117.0,28741.0,259897.82349078357,78372.93504340568,178995.68044737776,31607.494999999984
obi,0,-1,4,5.0,342117.0,40189.0,361159.80253896996,122884.04408345405,234739.1264555161,74807.99599999996
obi,0,-1,4,10.0,342117.0,62451.0,556592.455023217,222371.18841257243,328725.5786106443,234644.65200000038
obi,0,-1,4,30.0,342117.0,116449.0,1027486.0502569599,500711.40058525925,516527.1376717009,1242712.3479999995
obi,0,-1,4,60.0,342117.0,145304.0,1249785.5523680071,745509.2986752066,491489.501692805,2510312.0140000023
obi,0,-1,5,0.1,402623.0,5844.0,51858.31411243439,5800.505014679737,45543.53709775468,249.17799999999988
obi,0,-1,5,0.5,402623.0,11092.0,90050.67227985109,20208.661286848637,68865.91499300243,1759.3550000000005
obi,0,-1,5,1.0,402623.0,16198.0,126768.55667300994,35284.535116418556,90058.59755659137,5512.813999999999
obi,0,-1,5,3.0,402623.0,34505.0,275460.0669508848,99211.02228619305,173212.6046646918,37920.39599999998
obi,0,-1,5,5.0,402623.0,47794.0,380378.8612510634,157589.10706488002,218583.88218618353,88341.09000000001
obi,0,-1,5,10.0,402623.0,73074.0,572297.5050842189,276635.50374809874,289231.48933611985,269881.01400000026
obi,0,-1,5,30.0,402623.0,134349.0,1027838.8458027461,587802.1691916588,428213.9646110859,1414868.012000002
obi,0,-1,5,60.0,402623.0,169052.0,1274090.7859699768,841124.5755039571,418089.6344660171,2946945.7369999974
obi,0,-1,6,0.1,369137.0,5180.0,58584.040502944525,5860.816306976446,52267.38419596811,218.29699999999988
obi,0,-1,6,0.5,369137.0,9951.0,96399.04385313593,18076.710882721763,77446.64497041416,1608.8900000000012
obi,0,-1,6,1.0,369137.0,14718.0,134529.96967345863,31353.060307447315,101881.72536601133,5113.050999999999
obi,0,-1,6,3.0,369137.0,31136.0,291478.8557332442,87994.05092861255,200744.83680463154,34265.374999999985
obi,0,-1,6,5.0,369137.0,43254.0,406589.63292278716,139252.6375663387,263530.6433564487,80110.66100000001
obi,0,-1,6,10.0,369137.0,66937.0,627859.6254278369,252542.93030384788,369426.23912399,250507.27800000017
obi,0,-1,6,30.0,369137.0,125694.0,1193530.42515293,563615.6215214262,618853.7316314953,1349031.847999998
obi,0,-1,6,60.0,369137.0,157964.0,1447448.809328897,846060.215871963,587487.7614569236,2767185.4829999926
obi,0,-1,7,0.1,389890.0,5508.0,59346.80862645758,7402.1974897434075,51459.90713671417,235.22399999999988
obi,0,-1,7,0.5,389890.0,10805.0,103723.76384452057,21998.759730845013,80774.16411367556,1772.2850000000008
obi,0,-1,7,1.0,389890.0,16039.0,147070.27223428042,39861.266671697435,105797.57356258291,5613.061000000001
obi,0,-1,7,3.0,389890.0,33741.0,312605.9101767769,105865.56099532233,203771.14118145467,37191.64999999999
obi,0,-1,7,5.0,389890.0,46914.0,434210.1731418005,167498.43286029546,262583.30828150554,87352.87
obi,0,-1,7,10.0,389890.0,71712.0,657365.792155341,299212.1518881425,351842.98426719726,265812.38100000017
obi,0,-1,7,30.0,389890.0,130873.0,1178785.9656899048,684314.2177175032,482954.9239723942,1368216.2389999996
obi,0,-1,7,60.0,389890.0,165017.0,1442264.2834203932,997459.5025275507,430283.2848928347,2870863.234999997
obi,0,-1,8,0.1,357865.0,5712.0,64019.87385801674,9096.666698895444,54420.55115912128,240.55899999999986
obi,0,-1,8,0.5,357865.0,11178.0,111651.16030847836,27118.914486300753,83548.5818221775,1806.2829999999997
obi,0,-1,8,1.0,357865.0,16622.0,157731.6906369382,45770.66303488694,110498.29160205123,5828.9490000000005
obi,0,-1,8,3.0,357865.0,34769.0,330240.2286353103,124187.09655223382,202993.46008307647,38145.922999999995
obi,0,-1,8,5.0,357865.0,47947.0,456913.3492076633,191952.9102512737,260741.1029563895,88266.61499999993
obi,0,-1,8,10.0,357865.0,72856.0,695916.226551073,329042.48035297304,360462.41819810006,267549.1550000004
obi,0,-1,8,30.0,357865.0,131880.0,1242892.0922951153,720041.3083301969,511245.3439649148,1371906.672999999
obi,0,-1,8,60.0,357865.0,163425.0,1491751.7684310544,1063192.6051267951,414177.7633042556,2754486.041999992
obi,0,-1,9,0.1,399969.0,6393.0,63032.348918069634,15034.118679929566,47435.64623814004,275.2789999999999
obi,0,-1,9,0.5,399969.0,13098.0,117453.08326642487,43846.159984145736,72454.29928227916,2207.1220000000003
obi,0,-1,9,1.0,399969.0,19759.0,168815.23663296807,78009.17868550145,89067.2659474666,7120.666
obi,0,-1,9,3.0,399969.0,40628.0,335990.9246944082,198812.18681914476,133603.47387526315,44658.859999999986
obi,0,-1,9,5.0,399969.0,55282.0,448297.63930736587,304063.1579038379,139369.66540352773,100732.45200000005
obi,0,-1,9,10.0,399969.0,82284.0,650741.1867034463,524114.0613186762,119386.13338477013,295854.0650000001
obi,0,-1,9,30.0,399969.0,144960.0,1119293.455119141,1145222.5755751792,-38685.60045603558,1463946.8529999987
obi,0,-1,9,60.0,399969.0,181970.0,1353707.921966308,1703474.3683415807,-365779.8063752782,3085399.4640000043
obi,1,1,0,0.1,376208.0,1756.0,14820.36701572794,-7486.065377381248,7179.773638346691,83.229
obi,1,1,0,0.5,376208.0,5218.0,42463.16801769646,-23704.330051899906,18299.653965796562,1095.2050000000002
obi,1,1,0,1.0,376208.0,9063.0,69963.36120231931,-46416.35047404697,22749.466728272357,3943.7610000000004
obi,1,1,0,3.0,376208.0,21194.0,151948.68840264675,-128544.13247263462,21539.483930012193,27020.51399999999
obi,1,1,0,5.0,376208.0,30330.0,209748.32306004927,-204196.49895149635,2882.7841085529485,62767.774000000034
obi,1,1,0,10.0,376208.0,48482.0,316943.2117191957,-382758.5339007769,-70081.73818158153,195627.64399999997
obi,1,1,0,30.0,376208.0,94077.0,557894.4833769614,-914099.1495366566,-364483.44215969596,1058840.056000001
obi,1,1,0,60.0,376208.0,129855.0,731075.6746295037,-1457721.8530826527,-738073.4184531434,2624696.6899999967
obi,1,1,1,0.1,351373.0,1845.0,16688.58898160414,-6328.233250803406,10197.995730800738,82.83300000000001
