feat,side,h,s_dec,q_dec,n,n_fill,sum_as,sum_as2,sum_hs,sum_hs_post,sum_imp,sum_edge,sum_sprT,sum_wait
obi,1,5.0,0,5,29933.0,9960.0,-13464.786832442112,187767.54099803505,4247.659452303871,10618.9587531953,-6341.740234272538,-2524.9046968209054,19461.388732693995,16231.420999999997
obi,1,10.0,0,5,29933.0,13256.0,-18694.080794316185,453940.61504643323,6156.942324543349,14120.37492985221,-7909.871073223246,-7383.559766376944,19461.388732693995,40041.01700000001
obi,1,30.0,0,5,29933.0,19206.0,-29375.222757111274,1810355.8420631713,9909.268695956542,20484.865935493268,-10488.652163085939,-18885.576522696203,19461.388732693995,147781.15599999996
obi,1,60.0,0,5,29933.0,22292.0,-34308.80850851817,4100267.7953221304,12069.063884976693,24035.65367126995,-11844.457412526817,-25838.5138703684,19461.388732693995,280481.52
obi,1,0.1,0,6,23444.0,687.0,-727.919530375935,1537.3921371795577,288.0993214473332,811.8569305602762,-522.0497200005516,282.87514688170205,16196.942968151281,34.17300000000001
obi,1,0.5,0,6,23444.0,2107.0,-2825.9677985804415,8919.710429235227,722.0765634425022,2331.983712719251,-1604.488886518021,601.7437585341296,16196.942968151281,422.407
obi,1,1.0,0,6,23444.0,3207.0,-4431.592387910519,18500.726030533177,1119.916413370819,3474.5102186426125,-2345.899912759353,639.1622427352594,16196.942968151281,1230.6909999999998
obi,1,3.0,0,6,23444.0,5647.0,-7489.094546163242,59954.51766976097,2154.8187555054474,6003.226757807079,-3824.0901004531365,-144.7663191333552,16196.942968151281,5776.222999999999
obi,1,5.0,0,6,23444.0,7163.0,-8987.504437126034,120835.29123810757,2942.181896971799,7597.613426344399,-4618.984585433333,-1712.8882451387158,16196.942968151281,11733.463000000002
obi,1,10.0,0,6,23444.0,9665.0,-12296.536660243744,320546.9040025072,4400.550743894919,10284.056351002188,-5835.979329899706,-5698.232914041484,16196.942968151281,29958.747999999996
obi,1,30.0,0,6,23444.0,14227.0,-18365.590064648943,1321680.133061613,7430.149453830772,15479.743022053752,-7983.681289420035,-15230.159720880647,16196.942968151281,113158.58699999998
obi,1,60.0,0,6,23444.0,16853.0,-24227.461676808238,3065538.2519835853,9386.208061192001,18723.966887948976,-9247.29570357104,-21168.20397854887,16196.942968151281,226437.80100000006
obi,1,0.1,0,7,18772.0,414.0,-406.593508583152,955.1831531053114,194.88763567280975,502.78571590159686,-307.86231462520624,194.34244777379863,14234.763825663054,19.794
obi,1,0.5,0,7,18772.0,1234.0,-1756.6811647299544,6477.785301110497,511.0922612532655,1476.7123423438566,-965.1692546864657,443.5666326683856,14234.763825663054,242.57199999999995
obi,1,1.0,0,7,18772.0,1900.0,-2722.7085843866453,12821.049236851228,822.7607295332531,2263.8275752286872,-1438.2418500218785,456.28234907258724,14234.763825663054,725.555
obi,1,3.0,0,7,18772.0,3474.0,-4932.086893800152,46568.15315361844,1666.8324751279004,4017.247712311857,-2338.301699115743,-471.49220745923884,14234.763825663054,3679.3500000000004
obi,1,5.0,0,7,18772.0,4546.0,-6226.075275905159,95026.29057077922,2290.991615090032,5217.977131187266,-2899.915456693972,-1804.513314303145,14234.763825663054,7885.263
obi,1,10.0,0,7,18772.0,6530.0,-9016.450149559474,242843.58751054908,3456.884045099525,7494.963177921911,-3971.112266553971,-5281.1343492860315,14234.763825663054,22313.94899999999
obi,1,30.0,0,7,18772.0,10443.0,-15633.91393801363,1008543.1554622509,6131.637261750358,11947.895765737063,-5723.558406108908,-14076.080420538821,14234.763825663054,93812.949
obi,1,60.0,0,7,18772.0,12786.0,-19954.4258572923,2194410.1590839443,7866.855266998099,14641.270707060366,-6658.514631192439,-19694.213486819513,14234.763825663054,193997.51599999992
obi,1,0.1,0,8,16594.0,295.0,-297.5699189883188,661.3810519381849,142.47551407732678,347.8397148566291,-205.3401895416627,141.5709732825381,11891.191098588539,14.544999999999993
obi,1,0.5,0,8,16594.0,892.0,-1160.169036944797,4493.7659324921715,398.7677047421263,1057.0432485361434,-656.4283482631635,330.6795419315902,11891.191098588539,174.78699999999995
obi,1,1.0,0,8,16594.0,1375.0,-1790.8982775999166,8516.440853534952,627.8973199866518,1581.8914274011775,-952.1143211514993,345.378589778329,11891.191098588539,529.8859999999999
obi,1,3.0,0,8,16594.0,2519.0,-3214.0756336229906,30755.852322868064,1245.0770317758133,2786.8948271262166,-1533.100643929621,-496.18497442116296,11891.191098588539,2733.175
obi,1,5.0,0,8,16594.0,3450.0,-4150.440280123806,61756.10869667339,1758.270927765559,3758.851692470834,-1983.4052219835507,-1749.2918654241128,11891.191098588539,6405.872000000001
obi,1,10.0,0,8,16594.0,5213.0,-6247.194095943303,169288.61314389648,2845.5891833234155,5627.882527587146,-2754.8989963800027,-4787.644641709709,11891.191098588539,19298.634000000002
obi,1,30.0,0,8,16594.0,8647.0,-12087.909016612148,802986.6883609607,5032.368225719131,9412.62362418937,-4330.110305415247,-13046.508801005912,11891.191098588539,82629.81999999993
obi,1,60.0,0,8,16594.0,10886.0,-16936.082319119876,2015798.1468831073,6548.065170508549,11855.03443897114,-5243.486912343306,-19139.358543669197,11891.191098588539,178810.23599999998
obi,1,0.1,0,9,270989.0,7574.0,-5321.273867175405,10072.838461403484,4406.618227908929,8895.28430575407,-4473.636714803954,4389.108715947874,196055.95567184864,324.61399999999986
obi,1,0.5,0,9,270989.0,15055.0,-16336.890936720181,50358.28372433102,7499.972544306338,18203.348684807745,-10664.660916084573,6886.246047434758,196055.95567184864,2406.433
obi,1,1.0,0,9,270989.0,21274.0,-25650.58828454802,97415.01556706012,10233.753274695107,25463.695572083667,-15182.205488581121,8014.0481331898545,196055.95567184864,6977.416000000001
obi,1,3.0,0,9,270989.0,39716.0,-49723.31313245725,319082.2691694781,19381.804432754845,46533.24696134375,-27013.630910769312,7416.039671559643,196055.95567184864,41602.715000000004
obi,1,5.0,0,9,270989.0,53113.0,-66844.96958653542,612750.3883485236,26814.21442682417,61721.67846223148,-34694.64117793661,2498.5943642757234,196055.95567184864,93644.37700000002
obi,1,10.0,0,9,270989.0,77578.0,-98474.1084632527,1490196.2476932134,41075.39334177206,89273.08280585046,-47820.882222838525,-14021.26983914716,196055.95567184864,271845.9469999999
obi,1,30.0,0,9,270989.0,127225.0,-164922.3739861598,6193088.25107416,71741.13118675037,145203.99747004078,-72747.38576951387,-67885.12467749252,196055.95567184864,1173363.0429999994
