feat,side,h,s_dec,q_dec,n,n_fill,sum_as,sum_as2,sum_hs,sum_hs_post,sum_imp,sum_edge,sum_sprT,sum_wait
obi,1,60.0,0,9,270989.0,160303.0,-209905.77238650728,15396970.558867212,95310.03460158092,185041.0477405876,-88593.44513105258,-116508.69789452301,196055.95567184864,2593891.9069999997
obi,1,0.1,1,0,114069.0,6320.0,-5681.434594300766,19885.58217180782,4634.9498245857,9115.110244473415,-4338.630957139798,4566.067318743312,94101.16495701387,301.4739999999999
obi,1,0.5,1,0,114069.0,19896.0,-23114.58213557924,150485.5448631603,12729.475534997948,26957.201944675446,-13843.739870919371,10267.660170258669,94101.16495701387,4163.142999999999
obi,1,1.0,1,0,114069.0,30870.0,-39183.22629134349,398363.7184751357,18924.982875372938,40092.93912948772,-20597.914195841146,10937.983085916254,94101.16495701387,12107.620000000004
obi,1,3.0,1,0,114069.0,48823.0,-62389.597041059234,1530493.488223582,30165.73182951697,60828.91352339031,-29806.19672206931,-1465.753929690098,94101.16495701387,44879.690999999984
obi,1,5.0,1,0,114069.0,58297.0,-75662.94337643686,2953756.829078746,36679.9679945036,71992.67714876166,-34289.979640163394,-14627.244990037916,94101.16495701387,81673.058
obi,1,10.0,1,0,114069.0,70922.0,-94414.81744054965,6835428.772914205,45680.77298513462,86862.92833347594,-40000.01048307698,-36115.1691761268,94101.16495701387,171640.26899999997
obi,1,30.0,1,0,114069.0,88373.0,-112354.41938365146,23917206.010136414,58595.60323398818,107535.90795178934,-47535.810191954064,-69185.12063259342,94101.16495701387,484523.7740000001
obi,1,60.0,1,0,114069.0,95872.0,-117843.75410730882,49372383.617396265,64386.24872316363,116514.32199585353,-50640.160485195796,-84286.62047437413,94101.16495701387,805732.8019999999
obi,1,0.1,1,1,95750.0,3476.0,-3018.2109393711826,8249.138631960319,1976.6240875153926,4296.662863075285,-2275.9424605198355,1963.3321748269188,72255.78866037504,167.28599999999997
obi,1,0.5,1,1,95750.0,11436.0,-13003.629158867683,67534.0708198027,5795.476866031366,13331.191874896796,-7434.220382200961,4533.382886860393,72255.78866037504,2417.9820000000004
obi,1,1.0,1,1,95750.0,18169.0,-22214.1222842479,172566.79978945837,9168.406603860301,20526.982045558147,-11216.640140357185,4545.858862570506,72255.78866037504,7323.186
obi,1,3.0,1,1,95750.0,31480.0,-37550.17772371296,691180.0859150514,16669.834636942003,34372.116732808805,-17390.912025957226,-5425.998078968491,72255.78866037504,32200.036999999997
obi,1,5.0,1,1,95750.0,39569.0,-48357.02959905148,1349643.9452508069,21569.417987465557,42967.02392829598,-20991.886628654785,-17670.8455883734,72255.78866037504,63776.40999999997
obi,1,10.0,1,1,95750.0,51275.0,-65312.97678827792,3341846.3620585976,28821.30263720729,55340.58930348798,-25983.417426528773,-39929.6242842338,72255.78866037504,147957.57200000001
obi,1,30.0,1,1,95750.0,69070.0,-90734.57095261442,12434930.85359755,41020.58801446134,75194.65124050798,-33461.28704230356,-78849.98277652376,72255.78866037504,469504.0630000001
obi,1,60.0,1,1,95750.0,76726.0,-95862.84401005015,26801678.048241433,46436.7639993918,83733.43522690143,-36545.25684602743,-96869.95325532445,72255.78866037504,798701.1939999996
obi,1,0.1,1,2,73798.0,2128.0,-1915.4688614472057,4899.381693879304,1067.6179142675132,2470.158694906353,-1391.6232742768923,1047.065149411894,53798.50595702349,102.27699999999997
obi,1,0.5,1,2,73798.0,7152.0,-8346.965781612069,38116.32207104417,3211.1133946398113,7949.630347754336,-4710.616233119345,2530.1325724908256,53798.50595702349,1507.8509999999999
obi,1,1.0,1,2,73798.0,11509.0,-13459.983611544083,87261.43665426275,5251.569971285224,12409.613174339498,-7105.277621472494,2554.0881058661216,53798.50595702349,4682.150000000001
obi,1,3.0,1,2,73798.0,20971.0,-25169.417949780756,380384.5011531873,10316.454942131999,22063.97386657954,-11551.504081192355,-3935.4223242282756,53798.50595702349,22384.592999999997
obi,1,5.0,1,2,73798.0,26757.0,-32267.417358809565,776411.7438418001,13743.186880207537,28151.828429800218,-14126.6686032689,-12178.705897189504,53798.50595702349,45016.65
obi,1,10.0,1,2,73798.0,35654.0,-43791.14911883053,1910817.998868672,19100.568371816684,37472.97978752205,-17988.431732335197,-29381.489644731202,53798.50595702349,109101.81899999997
obi,1,30.0,1,2,73798.0,49984.0,-59613.498939072764,7288448.416543412,28613.243307204404,53087.032143724144,-23945.464352467392,-62476.36539950731,53798.50595702349,368742.28399999987
obi,1,60.0,1,2,73798.0,56979.0,-70249.77682360678,16037446.954912575,33539.306989283155,60911.030191104976,-26718.78421034422,-79376.65866447875,53798.50595702349,671995.7910000001
obi,1,0.1,1,3,58923.0,1424.0,-1306.9470796989972,3507.084172708254,709.8950425169028,1689.8891072213398,-978.5269013632393,703.5248115309728,42919.29731348975,68.91799999999999
obi,1,0.5,1,3,58923.0,4836.0,-5919.482930898043,25772.001281290686,2122.8941228071994,5408.13030104024,-3270.754848875792,1658.0394277288397,42919.29731348975,1024.2619999999997
