c,rounds,n,usd,sz,long_share,dur_s,t0
857,1,15,22576.2956,18.112000000000002,0.0,0.0,1782162002315000000
1206,1,9,22531.438430000002,23.485,1.0,0.0,1783014444097000000
1103,2,6,22524.1388,21.877000000000002,1.0,2.998,1782742520622000000
1886,1,9,22512.25981,31.348999999999997,1.0,0.0,1785356881549000000
1940,1,7,22416.33963,24.989,0.0,0.0,1785446368560000000
1675,1,6,22348.33746,25.617,1.0,0.0,1785162339699000000
638,1,9,22257.088060000002,25.752,1.0,0.0,1780689732352000000
902,2,2,22237.2174,20.126,1.0,3.064,1782194410586000000
1879,4,13,22041.93478,30.381,1.0,8.901,1785356566640000000
890,2,3,22014.875699999997,19.616,1.0,3.0660000000000003,1782193942526000000
376,1,18,22003.043139999998,23.464,0.0,0.0,1779840363773000000
554,4,14,21935.96327,23.208000000000002,1.0,9.037,1780619070301000000
1205,2,3,21783.6019,22.700000000000003,1.0,2.9240000000000004,1783014429182000000
928,1,5,21652.8048,20.256,1.0,0.0,1782221452683000000
1102,1,3,21639.5844,20.993,1.0,0.0,1782742514722000000
1208,1,3,21631.37275,22.554999999999996,1.0,0.0,1783014462160000000
718,1,2,21601.00272,24.432000000000002,1.0,0.0,1781021306716000000
1679,1,8,21479.48051,24.673000000000002,1.0,0.0,1785162498703000000
636,1,10,21447.876050000003,24.791000000000004,1.0,0.0,1780689711290000000
697,1,1,21428.44681,23.501,1.0,0.0,1781018912589000000
1470,1,8,21409.071210000002,24.576,1.0,0.0,1784198836719000000
1718,1,4,21377.640460000002,25.580000000000002,1.0,0.0,1785237236625000000
1441,1,9,21354.28968,23.151,1.0,0.0,1783916890487000000
1507,1,3,21227.73156,25.451999999999998,1.0,0.0,1784244232665000000
822,3,8,21166.024100000002,19.861,1.0,5.917000000000001,1781620233746000000
1469,2,8,21111.418139999998,24.209,1.0,3.0060000000000002,1784198818712000000
257,1,13,20961.77037,27.016000000000002,0.0,0.0,1778828737240000000
104,1,40,20956.50442,27.0,0.0,0.0,1778388671073000000
1414,1,4,20947.37097,22.269000000000002,1.0,0.0,1783907764583000000
1060,1,10,20260.8323,18.281,1.0,0.0,1782739817840000000
885,3,13,20244.770099999998,17.962,1.0,6.390000000000001,1782192928521000000
1866,3,12,20108.60887,27.204,1.0,5.977,1785355213630000000
294,1,6,20063.91408,28.774,1.0,0.0,1779115029025000000
1452,1,9,19819.14243,21.686,1.0,0.0,1783999009593000000
1892,1,6,19684.05753,27.542,1.0,0.0,1785359191563000000
1800,2,7,19679.33571,25.695,1.0,3.2190000000000003,1785298273518000000
59,3,18,19606.812029999997,30.923,1.0,5.667000000000001,1778077061493000000
