wid,user,n_ord,n_fill,n_full,n_part,n_cxl,v_ord_c,v_fill_c,n_fillev,qplace_c,share_q0,med_ttf_s,med_fill_c,fill_completeness,adv1,adv60,adv10_med,adv10_placebo,n_adv_bad,fill_rate,fill_prob,fill_to_order,fill_to_cancel,maker_share,vol_exec_quoted,avg_ttf_s,partial_freq,fill_size,queue_at_fill,adverse_10s
23649,0x2e03f0febb1208dbae93871f6977e976cb1b4d8b,12167.0,3856.0,3831.0,25.0,8311.0,1691.163,531.833,3856.0,19.386753677981424,0.6688278008298755,11.713429807,0.14400000000000002,0.9953641144653853,1.4177316497849324,2.5645992395901116,1.4380902161937676,-0.6416682145902578,0,0.3169228240322183,0.31594234263639875,0.31486808580586834,0.463963421970882,0.000022947665065267695,0.31447767010039834,68.71926027384467,0.006483402489626556,0.13792349585062239,0.0,2.2572017043080552
6859,0x3c40dd9f547aec5b71566c61ab74783d97e01af1,23129.0,5464.0,5343.0,121.0,17665.0,2184.625,517.302,5464.0,12.203980760084741,0.7501830161054173,0.896071813,0.10200000000000001,0.9866225711212322,0.8068487393614394,0.6829457968106409,0.7157597757145882,0.07656800910321467,0,0.2362402179082537,0.2400027464667849,0.2310086903886895,0.30931219926408154,0.00002232067779470832,0.23679212679521658,2.3976732199923134,0.022144948755490484,0.09467459736456808,0.0,1.1345464680548234
127,0xbfa317b7468a97e4e6a7a3c138b86ca0b7395477,79369.0,1044.0,933.0,111.0,78323.0,65235.542,515.619,1044.0,7.018252680517582,0.9137931034482759,0.60296723,0.3595,0.9022994137719835,1.7161480101092639,1.0696061974884126,1.3952436463016928,0.31373752022553886,0,0.013153750204739885,0.008759795388838802,0.011755219292166967,0.013329417923215403,0.00002224805928418933,0.007903958244111775,48.7864936210661,0.10632183908045977,0.4938879310344828,0.0,2.2738344102383388
1832,0x6fc0af3756c7300943019e7349bcfcb80e76966c,11945.0,340.0,280.0,60.0,11605.0,39073.066,501.152,340.0,41.110325575554626,0.8764705882352941,0.5714643145,2.0,0.8596207152070697,1.831644070685787,2.6995586391877247,2.007193992199793,0.3123015823606232,0,0.028463792381749686,0.0149205593438713,0.023440770196735034,0.029297716501507972,0.000021623833501849333,0.012826021894468175,1.6001690036558824,0.17647058823529413,1.4739764705882352,0.0,2.5031831649683
697,0x984e16e759ac515784f90dd88443260e482c63c1,84971.0,895.0,781.0,114.0,84074.0,108475.206,493.38300000000004,895.0,5.371050782031517,0.9016759776536313,0.419657096,0.247,0.8875183706803043,1.3976197030881008,0.5326618755686415,1.2248147467695976,0.13050448403057555,0,0.01053300537830554,0.0051247932177238735,0.009191371173694554,0.010645383828532008,0.000021288614720968745,0.0045483481266677655,44.80142066207486,0.12737430167597766,0.5512659217877095,0.0,1.089650105588368
19814,0x33cca19afbbd4589929e5605251fc9ddbfb4c087,181928.0,24629.0,22929.0,1700.0,157298.0,3748.331,493.033,24629.0,18.145384762103692,0.7753461366681554,0.548410245,0.021,0.97156060023844,0.5656813522280629,0.4296611883578872,0.43204009331830245,0.06279340914253796,0,0.13537773184996263,0.1353842550191005,0.12603337584099203,0.15657541736067845,0.000021273512832269016,0.13153400806919133,0.9349980821685818,0.06902432092248975,0.020018392951398758,0.0,0.5252978530216141
8001,0xf4d1786a740d5debdfef3b617f14c8a3cb87cb23,29115.0,3834.0,3562.0,272.0,25280.0,4057.279,490.762,3834.0,7.82101239910699,0.9019300991131977,1.4430521185000003,0.11,0.9447687178026074,0.9138752333593806,1.389350146123569,0.9429187876420709,0.0014107303278250373,0,0.13168469860896445,0.12802964745584416,0.12234243517087412,0.1516613924050633,0.00002117552314873448,0.12095840586757775,3.3908363070558165,0.07094418362023996,0.12800260824204487,0.0,1.3001885133077844
5426,0x7f6cde7e5c25825e2d630fef1d13bcd13e4869f1,62392.0,115.0,95.0,20.0,62277.0,369222.935,487.25600000000003,115.0,18.82463104244134,0.8782608695652174,4.863638702,2.0,0.8814263283188979,2.0569986781543665,3.2097824125942283,0.9358379128750035,-0.3876458182511588,0,0.0018431850237209898,0.0014972092673495485,0.0015226311065521221,0.0018465886282255086,0.00002102424537221661,0.0013196796672449397,12.290475232495652,0.17391304347826086,4.237008695652174,0.0,1.281720567416181
8416,0xb635691cf71ca849a4e5c912eb1478b4749b1708,29000.0,4058.0,3796.0,262.0,24942.0,3937.327,485.955,4058.0,7.105788793103448,0.9034006899950715,1.3606781090000002,0.11,0.9590453654676174,0.804023242556423,1.6574983542069748,0.9889080707953308,0.03472804728730418,0,0.13993103448275862,0.12869314639093984,0.13089655172413794,0.16269745810279848,0.00002096810949450704,0.12342256561367648,2.752697291931247,0.0645638245441104,0.11975234105470675,0.0,1.4049435572073354
28305,0x74c44c09f9334b78ae0046343099886ea34e6d7d,82099.0,740.0,643.0,97.0,81359.0,55063.287000000004,479.19,740.0,22.128244935991912,0.8540540540540541,2.5725448330000003,0.753,0.8963691801193437,1.1832189200524699,1.9276374728547094,0.481435782682343,-0.06306405628647728,0,0.009013508081706232,0.009708646706833902,0.007832007698023119,0.009095490357551101,0.000020676211560067967,0.008702531688673071,14.065106459783784,0.13108108108108107,0.6475540540540541,0.0,1.5745309679899357
21013,0x75f15ad634f336f63754254c0ea13d953cf6fc4e,242813.0,1169.0,1095.0,74.0,241640.0,397438.515,474.267,1169.0,15.956530416410983,0.8289136013686912,4.626113413000001,0.192,0.9196746107157401,2.8022536266031945,2.7200520693247885,2.19240550732064,-0.4523162000895838,0,0.004814404500582753,0.0012975340349185836,0.004509643223385898,0.004837775202780997,0.0000204637927084429,0.001193309108454172,31.520034746455945,0.06330196749358426,0.4057031650983747,0.0,3.2137390933696803
32504,0x708f713637e28c014705fec1bab002992f53d4ea,21180.0,274.0,199.0,75.0,20906.0,46594.488,473.273,274.0,15.973061378659112,0.9379562043795621,2.343597838,2.232,0.7840578509658395,2.3657236483549196,5.2079240701489935,1.507924767570226,-0.44387400094303014,0,0.012936732766761095,0.012954751214349646,0.00939565627950897,0.013106285276953985,0.000020420903344535667,0.010157274396920083,4.907785090441606,0.2737226277372263,1.7272737226277373,0.0,1.9206908434279335
