feat,x_form,y_kind,day_type,hor,sample,n,beta,r,r2,t
churn_bid|全窓,log1p,絶対値,全日,前向き|200ms,sub,42335759.0,6.438753237310956e-6,0.04111732134169316,0.0016906341143160556,267.7601274907367
churn_total|全窓,生,符号つき,閉場日,前向き|2m,full,26746632.0,9.195978843365776e-8,0.00689467962118785,0.00004753660707882304,35.658161534236676
churn_total|全窓,log1p,符号つき,全日,前向き|10s,full,84661953.0,1.893531586795769e-7,0.0004983787627114227,2.483813911217686e-7,4.58567970834649
churn_ask|全窓,log1p,絶対値,閉場日,前向き|5s,sub,535623.0,0.000019273921220550276,0.1579208326360025,0.024938989380448317,117.04485493935567
churn_bid|動いた窓,log1p,絶対値,全日,前向き|100ms,sub,55301393.0,3.432637502248701e-6,0.03423570709368692,0.0011720836402047251,254.74284439383104
churn_bid|全窓,log1p,符号つき,閉場日,前向き|2s,full,26783212.0,1.7217630059232987e-6,0.0016728409109193453,2.7983967132454646e-6,8.657381623488405
churn_top|動いた窓,生,符号つき,閉場日,後ろ向き(帰無対照)|30s,sub,34988.0,1.1259743444619949e-8,0.00023131086844957593,5.350471786289702e-8,0.043265646410375766
churn_deep|全窓,log1p,符号つき,全日,前向き|100ms,full,84671655.0,7.25265869565547e-9,0.0000721038397625578,5.198963708504611e-9,0.6634793541435218
churn_bid|全窓,log1p,符号つき,立会日,前向き|100ms,full,57887854.0,4.11402209048802e-8,0.0012872252325161597,1.6569487992262813e-6,9.793741153989766
churn_cnt|動いた窓,log1p,絶対値,立会日,後ろ向き(帰無対照)|100ms,full,44159685.0,0.000017545225363820618,0.24395353203222822,0.059513325790999404,1671.6438724394068
churn_deep|動いた窓,log1p,絶対値,全日,後ろ向き(帰無対照)|5s,full,55297916.0,0.000054789551769601526,0.11679708683291787,0.013641559492656156,874.5185024569769
churn_top|全窓,生,絶対値,全日,後ろ向き(帰無対照)|1m,full,84612953.0,3.147698940211913e-6,0.12567630718006395,0.015794534186417793,1165.2763862772756
churn_total|動いた窓,生,絶対値,閉場日,後ろ向き(帰無対照)|10s,sub,107833.0,2.9432866256395065e-7,0.18295221522986663,0.033471513057515445,61.10857541755271
churn_ask|動いた窓,log1p,符号つき,全日,後ろ向き(帰無対照)|500ms,sub,11180856.0,-1.883443647549129e-6,-0.008398278983777704,0.00007053108988936226,-28.082974256668788
churn_cnt|動いた窓,log1p,絶対値,立会日,後ろ向き(帰無対照)|5m,full,43989925.0,0.0006003696517022999,0.24145407561009521,0.058300070628725574,1650.2694970756627
churn_ask|全窓,生,符号つき,閉場日,後ろ向き(帰無対照)|2s,full,26783212.0,-5.3503341205474337e-8,-0.0027222683635831977,7.410745043365941e-6,-14.088470877804506
churn_bid|全窓,生,絶対値,全日,前向き|1m,full,84612953.0,7.847749535000784e-7,0.17835322561551054,0.031809873087457204,1667.3204018669996
churn_total|全窓,生,絶対値,立会日,後ろ向き(帰無対照)|10s,full,57881221.0,1.8802534712117762e-7,0.23967039579526483,0.0574418986206589,1878.145189577291
churn_ask|全窓,log1p,絶対値,閉場日,後ろ向き(帰無対照)|500ms,full,26783677.0,0.000010923950559262239,0.01566107791986427,0.0002452693616120602,81.06063465883842
churn_ask|全窓,生,絶対値,閉場日,前向き|1s,sub,2678336.0,1.9186353615578346e-7,0.00961455053841071,0.00009243958205565366,15.73553190234561
churn_top|動いた窓,生,符号つき,閉場日,前向き|30s,sub,34987.0,3.284446783697691e-7,0.007362840160490956,0.00005421141522893849,1.377203392382304
churn_deep|動いた窓,log1p,符号つき,立会日,後ろ向き(帰無対照)|30s,sub,145749.0,-2.7777679839624805e-6,-0.004537197024510811,0.000020586156839229754,-1.7321756170257498
churn_ask|動いた窓,生,絶対値,閉場日,前向き|500ms,sub,2254876.0,1.6949423508409883e-7,0.016921176491795392,0.000286326213866489,25.41287958441472
churn_bid|動いた窓,生,符号つき,立会日,後ろ向き(帰無対照)|200ms,full,44159630.0,1.3820700358371488e-10,0.000539682590842625,2.912572988586082e-7,3.5863376466779098
churn_top|動いた窓,log1p,絶対値,全日,前向き|10s,full,55294872.0,0.00007198834452365017,0.128136761253697,0.016419029584586943,960.7515736953891
churn_deep|全窓,log1p,符号つき,立会日,前向き|10s,sub,578773.0,-3.6786844592006513e-7,-0.001453952476863796,2.113977804978367e-6,-1.1061246017703315
churn_bid|動いた窓,生,符号つき,全日,後ろ向き(帰無対照)|10s,sub,547279.0,2.871901570080641e-8,0.016086441805281453,0.0002587736099547068,11.901995721659153
churn_imb|動いた窓,生,絶対値,全日,前向き|500ms,full,55301121.0,-2.1366857581935077e-7,-0.0002800357532016632,7.842002307122282e-8,-2.0824781794606535
churn_cnt|動いた窓,生,符号つき,全日,後ろ向き(帰無対照)|2s,full,55300386.0,-3.956925512237688e-8,-0.0013901910985569756,1.9326312905070506e-6,-10.338058765856953
churn_total|動いた窓,log1p,絶対値,全日,前向き|30s,sub,180735.0,0.00010999929135205102,0.2599649888048963,0.06758179540432988,114.45327370889397
churn_top|全窓,生,符号つき,立会日,後ろ向き(帰無対照)|500ms,sub,11577493.0,-7.732986324761872e-10,-0.00028425323657852304,8.07999025053658e-8,-0.9671919249258878
churn_bid|動いた窓,生,符号つき,全日,前向き|500ms,full,55301121.0,-8.170282779790383e-9,-0.005575615667008131,0.00003108749006618653,-41.46355549149383
churn_cnt|全窓,log1p,絶対値,閉場日,前向き|1s,sub,2678336.0,0.000017210937684191384,0.01129135347064567,0.00012749466319906202,18.48017404783234
churn_cnt|全窓,生,符号つき,全日,前向き|100ms,sub,84671655.0,-5.796368638317648e-11,-6.5880953322837765e-6,4.340300010725928e-11,-0.06062180931315335
churn_total|動いた窓,log1p,符号つき,閉場日,前向き|500ms,sub,2254876.0,1.072578505287569e-6,0.0017996900837598045,3.238884397583372e-6,2.7024618168737216
churn_bid|全窓,log1p,絶対値,閉場日,前向き|5m,sub,8872.0,0.0000917259016492474,0.11184182109918363,0.012508592946781796,10.599841647377401
churn_total|動いた窓,生,絶対値,閉場日,後ろ向き(帰無対照)|2s,full,11141447.0,2.153519349799596e-7,0.019326723517327823,0.00037352224191523236,64.52234138012919
churn_deep|動いた窓,生,符号つき,閉場日,前向き|5s,full,11140822.0,2.3580918084114347e-8,0.0021764473641330165,4.7369231288415556e-6,7.2645342532108685
churn_top|全窓,生,絶対値,立会日,後ろ向き(帰無対照)|1m,sub,96373.0,2.5985046290356397e-6,0.12620945258763258,0.015928825922469875,39.49588144598631
churn_cnt|全窓,log1p,絶対値,全日,前向き|5m,sub,28061.0,0.0005315959166363661,0.29290772855729547,0.08579493744859429,51.315092315709144
churn_cnt|全窓,生,絶対値,閉場日,後ろ向き(帰無対照)|200ms,sub,13391878.0,1.150495495648331e-6,0.01702071091753184,0.0002897046001381876,62.296166582513784
churn_cnt|全窓,生,絶対値,閉場日,後ろ向き(帰無対照)|5m,sub,8872.0,0.000017478593901315203,0.140578099949776,0.01976220218548921,13.372535411365403
churn_bid|動いた窓,生,絶対値,閉場日,後ろ向き(帰無対照)|1s,sub,1108966.0,2.0924785288751245e-7,0.01377719351600701,0.0001898110611775056,14.509775851224573
churn_cnt|全窓,log1p,符号つき,立会日,後ろ向き(帰無対照)|1s,sub,5788693.0,-2.750547189314837e-7,-0.0015436828843453751,2.382956847420857e-6,-3.7140589288697616
churn_cnt|全窓,log1p,絶対値,全日,後ろ向き(帰無対照)|30s,full,84642353.0,0.0001927389493956125,0.24663947500846287,0.06083103063245018,2341.448331659955
churn_cnt|動いた窓,生,符号つき,閉場日,後ろ向き(帰無対照)|500ms,full,11141655.0,-8.177631135513759e-8,-0.0007985234872570465,6.376397597011546e-7,-2.6654015591688136
churn_total|動いた窓,生,符号つき,閉場日,後ろ向き(帰無対照)|2s,sub,552518.0,1.7139843129551268e-9,0.0019344182330782189,3.7419739004654583e-6,1.4378832317511918
churn_cnt|全窓,log1p,符号つき,立会日,後ろ向き(帰無対照)|1m,full,57847721.0,-4.0397073911779556e-6,-0.0035654420645627022,0.000012712377115753145,-27.118100372011924
churn_top|動いた窓,生,絶対値,閉場日,前向き|30s,sub,34987.0,2.4886809555281035e-6,0.06729513760881854,0.0045286355457898235,12.615667634976397
churn_deep|全窓,log1p,絶対値,閉場日,後ろ向き(帰無対照)|5m,sub,8872.0,0.00010917728738697735,0.16668864856591475,0.027785105560731035,15.921599686586823
churn_total|動いた窓,log1p,符号つき,全日,前向き|100ms,sub,55301393.0,-1.543773441283245e-9,-0.000014365663041361541,2.0637227461794092e-10,-0.10683011678623862
churn_top|動いた窓,生,符号つき,全日,前向き|30s,sub,180735.0,-9.700470260142844e-8,-0.005685167883997164,0.000032321133869232795,-2.416957653217832
churn_top|全窓,log1p,符号つき,全日,後ろ向き(帰無対照)|2m,full,84554153.0,-5.206284459599756e-6,-0.0032173015269199383,0.000010351029115121367,-29.584312369100353
churn_total|動いた窓,生,絶対値,閉場日,前向き|5s,full,11140822.0,2.0384863408624348e-7,0.01935239526784883,0.0003745152026030578,64.60626652703688
churn_cnt|全窓,生,絶対値,立会日,後ろ向き(帰無対照)|5m,sub,19189.0,0.000019211128191988264,0.20351338320780857,0.04141769714468834,28.792661294395103
churn_bid|全窓,log1p,符号つき,立会日,前向き|10s,full,57881221.0,1.0082914586381058e-6,0.003616717630043299,0.000013080646415466017,27.51606192086536
churn_bid|全窓,生,符号つき,全日,後ろ向き(帰無対照)|100ms,full,84671655.0,-2.1584968788437604e-9,-0.0026343342218166266,6.939716792234212e-6,-24.24049029903113
churn_deep|動いた窓,log1p,絶対値,立会日,後ろ向き(帰無対照)|500ms,sub,8925980.0,0.00001961452057901655,0.315919650121728,0.09980522533303504,994.8012034037703
churn_cnt|動いた窓,log1p,絶対値,閉場日,前向き|5m,sub,3485.0,0.0002134033280897389,0.1458537113575901,0.021273305116783204,8.700886526993388
churn_ask|全窓,生,符号つき,全日,後ろ向き(帰無対照)|2s,sub,4233435.0,-2.448046773209191e-8,-0.023583927977302487,0.000556201658838591,-48.53815861835853
churn_total|全窓,log1p,絶対値,全日,後ろ向き(帰無対照)|2m,sub,70397.0,0.00021359918178605406,0.3373993439630077,0.11383831730666798,95.09521327084045
churn_imb|動いた窓,生,符号つき,閉場日,前向き|1m,sub,17441.0,-3.7757105189836787e-7,-0.00044261596004213454,1.9590888808402043e-7,-0.05845045567496701
churn_ask|全窓,log1p,符号つき,閉場日,後ろ向き(帰無対照)|10s,sub,267784.0,-2.1822775350118163e-6,-0.012086057042049575,0.0001460727748236761,-6.254708175090239
churn_total|全窓,生,絶対値,全日,前向き|2m,full,84554153.0,6.342682792006391e-7,0.20701998564659915,0.04285727445711812,1945.769489766415
churn_cnt|全窓,log1p,絶対値,立会日,前向き|2m,full,57807521.0,0.0002586073758769188,0.21334533100699135,0.04551623026248271,1660.3170747767938
churn_bid|全窓,log1p,符号つき,立会日,後ろ向き(帰無対照)|1s,full,57887251.0,2.0506890516267873e-6,0.018932136216855855,0.00035842578173358514,144.06846240959607
churn_deep|動いた窓,log1p,絶対値,閉場日,後ろ向き(帰無対照)|5m,sub,3486.0,0.00007103024741931193,0.10098542483261205,0.010198056028623139,5.991335211657318
churn_imb|全窓,生,絶対値,立会日,後ろ向き(帰無対照)|1m,sub,96373.0,-3.6574898578319677e-6,-0.0017901442506826723,3.2046164382522264e-6,-0.5557275235782115
churn_ask|動いた窓,生,符号つき,全日,前向き|500ms,sub,11180851.0,7.594369124771576e-9,0.005504508474850027,0.000030299613549695773,18.406131286404193
churn_deep|全窓,生,絶対値,立会日,前向き|2s,full,57886581.0,8.043177413082003e-8,0.18058329446334553,0.03261032623923536,1396.9015211653712
churn_top|全窓,生,絶対値,立会日,後ろ向き(帰無対照)|2s,full,57886581.0,5.752798630679753e-7,0.13042012963424116,0.01700941021381227,1000.8267151706206
churn_ask|全窓,生,符号つき,全日,後ろ向き(帰無対照)|500ms,sub,16934217.0,-1.3002339124577722e-8,-0.007025642448661695,0.000049359651816437094,-28.912077343615323
churn_deep|全窓,生,符号つき,立会日,後ろ向き(帰無対照)|2s,sub,2894293.0,-3.5813650324745493e-10,-0.000616719698934218,3.803431870535124e-7,-1.049201735554852
churn_cnt|全窓,生,絶対値,閉場日,後ろ向き(帰無対照)|5s,sub,535623.0,4.8671313694997165e-6,0.2535825102231088,0.06430408949105308,191.85836049148273
churn_bid|動いた窓,生,絶対値,立会日,前向き|2s,full,44158715.0,1.2309324435095276e-7,0.17965675916756108,0.03227655111459104,1213.601578384206
churn_ask|動いた窓,log1p,符号つき,全日,後ろ向き(帰無対照)|1s,sub,5530923.0,-2.831523544592068e-6,-0.008837227860125151,0.00007809659625177216,-20.784124720387723
