bucket,visit,dwell_h,vol_usd,liq_usd,n_liq
740.0,7,0.06549972222222222,1714378.72828,87978.85704,37
740.0,8,0.9813380555555555,4758192.54818,232951.47798999998,113
740.0,9,1.1996844444444443,1823438.8043,0.0,0
740.0,10,1.6427213888888887,16561708.83864,0.0,0
740.0,11,1.0413208333333335,5795421.61735,0.0,0
740.0,12,0.03396944444444444,644241.79656,0.0,0
740.0,13,1.7965419444444444,7957180.96498,0.0,0
740.0,14,0.3828361111111111,2810495.2380600004,0.0,0
740.0,15,0.9665225000000001,2521079.5559799997,453.19820000000004,8
740.0,16,3.9236411111111114,22419955.95567,0.0,0
740.0,17,2.3043416666666663,55184610.268680006,0.0,0
740.0,18,0.36096277777777774,1551124.47116,0.0,0
740.0,19,1.0820938888888887,2981880.54405,0.0,0
740.0,20,0.03878222222222222,761525.2261600001,0.0,0
740.0,21,16.603685000000002,18813698.76359,0.0,0
740.0,22,0.30910111111111116,38646091.02371,546008.8434199999,150
740.0,23,1.0011019444444444,33719752.07834,0.0,0
740.0,24,0.6567580555555554,12832466.61559,0.0,0
750.0,1,0.0004158333333333334,9078.59549,0.0,0
750.0,2,2.6048322222222224,8498935.902800001,398952.0590499999,202
750.0,3,0.47650750000000003,1745628.21231,0.0,0
750.0,4,0.43485749999999995,1578445.0884499997,0.0,0
750.0,5,0.3311636111111111,2419783.816,0.0,0
750.0,6,0.07450666666666667,2399797.52886,0.0,0
750.0,7,0.5583216666666667,7769371.61358,18662.55023,25
750.0,8,0.7648758333333333,8317228.82065,9316.56086,4
750.0,9,0.8227475000000001,5610559.08571,0.0,0
750.0,10,1.6395980555555556,17244837.93984,808734.72514,373
750.0,11,2.6871058333333333,8784762.273839999,0.0,0
750.0,12,0.000041666666666666665,1019.25,0.0,0
750.0,13,1.0894605555555557,1189530.55696,0.0,0
750.0,14,4.622795555555555,23337953.411399998,228448.35345,57
750.0,15,0.020019444444444444,121851.61325000002,0.0,0
750.0,16,0.18079499999999998,1230010.73196,0.0,0
750.0,17,9.96163138888889,51002134.34716,0.0,0
750.0,18,5.705036666666667,16810126.75695,0.0,0
750.0,19,1.0307391666666668,5756865.8922,0.0,0
750.0,20,3.891460555555556,3220617.6872500004,0.0,0
750.0,21,0.06360472222222223,2277579.41456,69101.82934,24
750.0,22,0.13866333333333333,12045535.018290002,272280.68882,53
750.0,23,0.4053558333333333,11867096.06765,0.0,0
750.0,24,0.6863061111111112,13526650.76464,1498.5838999999999,6
760.0,1,0.009588333333333334,93560.35,0.0,0
760.0,2,17.12025,8393847.21951,69417.85742000001,52
760.0,3,2.9191002777777775,769225.11892,0.0,0
760.0,4,2.4043369444444442,5300168.994650001,0.0,0
760.0,5,0.012420277777777778,194784.19542,0.0,0
760.0,6,2.184411388888889,13677126.57742,0.0,0
760.0,7,0.0015025000000000001,89690.03745999999,0.0,0
760.0,8,0.1750608333333333,4538480.74188,0.0,0
760.0,9,0.0973422222222222,206085.26544000005,0.0,0
760.0,10,0.6697308333333333,3666941.13143,0.0,0
760.0,11,1.2670172222222222,11959334.66742,0.0,0
760.0,12,3.1370791666666666,12864045.241559999,0.0,0
760.0,13,1.6085416666666668,13246856.33646,65905.50931000001,54
760.0,14,1.3058255555555556,6343907.1288600005,0.0,0
760.0,15,0.15965833333333332,1210980.5584399998,0.0,0
760.0,16,0.060115833333333334,1777616.0067999999,1088.44089,7
760.0,17,0.0439925,393293.58040999994,0.0,0
760.0,18,0.3667966666666666,1708927.06124,0.0,0
760.0,19,1.6630244444444446,4104355.4197600004,0.0,0
760.0,20,3.475913888888889,5230556.86878,0.0,0
760.0,21,3.263293055555556,22685648.98824,69.09705,2
760.0,22,4.305239444444445,4624408.7627,0.0,0
760.0,23,0.009478611111111111,682.91648,0.0,0
760.0,24,0.0007780555555555556,37002.259770000004,0.0,0
760.0,25,0.0031777777777777776,163265.99937,0.0,0
