metric,unit,side,day_type,hor,hor_ms,bin_i,n_up,n_dn,n,p_up,base,diff,lo,hi
kappa_depth,1/s,売り,立会日,100s,100000,1,207983,215157,426455,0.4915229002221487,0.4959470433748032,-0.004424143152654547,-0.009008292529449399,0.00008077085615162082
kappa_depth,1/s,売り,立会日,100s,100000,2,275262,278208,557804,0.4973386091387067,0.4959470433748032,0.0013915657639034795,-0.0030677300591593626,0.005633506058124524
kappa_depth,1/s,売り,立会日,100s,100000,3,316449,320816,641915,0.4965736389100296,0.4959470433748032,0.0006265955352263708,-0.004317886270358847,0.005321044098808945
kappa_depth,1/s,売り,立会日,100s,100000,4,157345,158829,318384,0.4976531909644689,0.4959470433748032,0.0017061475896656964,-0.0044433247702487045,0.008145066084287696
kappa_depth,1/s,売り,立会日,100s,100000,5,117180,117997,236781,0.4982630104134333,0.4959470433748032,0.0023159670386300735,-0.0024904595014003587,0.007956039595881934
kappa_depth,1/s,売り,立会日,100s,100000,6,7839,7624,15565,0.5069520791566966,0.4959470433748032,0.01100503578189338,-0.0011812408731245382,0.023426349631171753
kappa_depth,1/s,売り,閉場日,100ms,100,0,502,280,34895,0.6419437340153452,0.48862275449101794,0.15332097952432727,0.0800388959680466,0.21259869069036025
kappa_depth,1/s,売り,閉場日,100ms,100,1,686,701,25500,0.494592645998558,0.48862275449101794,0.0059698915075400705,-0.026550900039455254,0.05927753383688766
kappa_depth,1/s,売り,閉場日,100ms,100,2,733,925,33936,0.44209891435464416,0.48862275449101794,-0.046523840136373784,-0.07376957135374271,-0.020913581103921164
kappa_depth,1/s,売り,閉場日,100ms,100,3,724,791,28467,0.4778877887788779,0.48862275449101794,-0.010734965712140054,-0.032944770238827054,0.009979825361561936
kappa_depth,1/s,売り,閉場日,100ms,100,4,355,409,11019,0.46465968586387435,0.48862275449101794,-0.02396306862714359,-0.06671758396023504,0.001072075928823663
kappa_depth,1/s,売り,閉場日,100ms,100,5,253,299,8504,0.4583333333333333,0.48862275449101794,-0.030289421157684626,-0.05704271496532623,0.005305590467764554
kappa_depth,1/s,売り,閉場日,500ms,500,0,3945,2461,34895,0.6158289103965032,0.507289588945323,0.10853932145118028,0.05850588286954696,0.14477346889253703
kappa_depth,1/s,売り,閉場日,500ms,500,1,5343,5308,25499,0.5016430382123744,0.507289588945323,-0.005646550732948508,-0.03565137767064473,0.030766299703738634
kappa_depth,1/s,売り,閉場日,500ms,500,2,6263,6564,33935,0.48826693692991346,0.507289588945323,-0.01902265201540948,-0.04013083160106721,0.011584715100471012
kappa_depth,1/s,売り,閉場日,500ms,500,3,5288,5583,28467,0.4864317910035875,0.507289588945323,-0.020857797941735423,-0.03315364899277973,-0.009726958793452766
kappa_depth,1/s,売り,閉場日,500ms,500,4,2088,2257,11019,0.4805523590333717,0.507289588945323,-0.026737229911951266,-0.04027825260140604,-0.014919183113723878
kappa_depth,1/s,売り,閉場日,500ms,500,5,1646,1733,8503,0.48712636874815035,0.507289588945323,-0.020163220197172593,-0.03839045034582122,-0.005891929318354258
kappa_depth,1/s,売り,閉場日,1s,1000,0,6176,3858,34895,0.6155072752641021,0.5024940190452364,0.11301325621886571,0.0783940256848894,0.14307733870755301
kappa_depth,1/s,売り,閉場日,1s,1000,1,6978,7057,25499,0.4971856074100463,0.5024940190452364,-0.00530841163519008,-0.033085413766032676,0.029630450289334823
kappa_depth,1/s,売り,閉場日,1s,1000,2,7420,8408,33935,0.4687894869850897,0.5024940190452364,-0.033704532060146675,-0.047375430505722405,-0.023023607481484642
kappa_depth,1/s,売り,閉場日,1s,1000,3,6551,7311,28466,0.4725869282931756,0.5024940190452364,-0.029907090752060772,-0.04834893127152163,-0.017928564974819983
kappa_depth,1/s,売り,閉場日,1s,1000,4,2743,2917,11018,0.4846289752650177,0.5024940190452364,-0.017865043780218692,-0.033238508071154485,-0.0030530786782639032
kappa_depth,1/s,売り,閉場日,1s,1000,5,2164,2184,8503,0.49770009199632015,0.5024940190452364,-0.0047939270489162356,-0.02048950166060036,0.004596984547173853
kappa_depth,1/s,売り,閉場日,3s,3000,0,13457,9380,34893,0.5892630380522835,0.5101598985556552,0.07910313949662828,0.05643695677820357,0.11031195983676033
