feature,family,finite_rate,zero_rate,p05,p50,p95,std
signed_cnt,12 攻撃的な約定フロー,1.0,0.8591914515525627,-1.0,0.0,1.0,1.4916292403943747
aggr_buy_int,12 攻撃的な約定フロー,1.0,0.537405303030303,0.0,0.0,0.800000011920929,0.537216160717798
aggr_sell_int,12 攻撃的な約定フロー,1.0,0.639578656939768,0.0,0.0,0.800000011920929,0.5777809493897863
aggr_imb,12 攻撃的な約定フロー,1.0,0.3968691545080434,-1.0,0.0,1.0,0.6991950863438173
aggr_mom,12 攻撃的な約定フロー,1.0,0.39698314160119713,-65.91150360107422,0.0,60.49450168609613,286.67127552871113
aggr_acc,12 攻撃的な約定フロー,1.0,0.7543490460157127,-7.781000208854675,0.0,7.791499972343423,94.46608900442692
aggr_shock,12 攻撃的な約定フロー,1.0,0.9854792134306023,0.0,0.0,0.0,0.11962413354672075
size_wgt_imb,12 攻撃的な約定フロー,1.0,0.8553193976805088,-1.0,0.0,1.0,0.37615420308625835
d_depth,3 板の厚み,0.9999421296296296,0.4414472872716984,-277.1579956054687,0.0,278.9039947509765,585.5041340998861
depth_vol,3 板の厚み,1.0,0.04658564814814815,38.201323890686034,147.31504821777344,697.3243835449218,463.0029343209331
depl_rate,9 指値フロー,0.9999316077441077,0.174340861088166,0.0,0.4174765646457672,4.443975162506097,7.245141732491469
repl_rate,9 指値フロー,0.9999316077441077,0.1650517390651133,0.0,0.43628931045532227,4.282281017303466,7.451337665033069
d_micro,4 マイクロプライス,0.9999421296296296,0.4374253560549064,-0.029652735218405724,0.0,0.0292985754087567,0.022128916834774214
micro_ret,4 マイクロプライス,0.9999421296296296,0.4374253560549064,-2.646826028823852,0.0,2.6115586519241294,1.9473086103143755
micro_mom,4 マイクロプライス,1.0,0.1040292976056865,-7.812629175186157,0.0,7.605400204658507,5.3568252194986306
micro_persist,4 マイクロプライス,1.0,0.4673552656191545,0.0,0.0,6.0,164.11702061648174
micro_minus_bid,4 マイクロプライス,0.9999421296296296,8.768745385447741e-6,0.029862198233604434,0.8512786626815796,2.964104294776916,1.4864055455099265
micro_minus_ask,4 マイクロプライス,0.9999421296296296,0.00003449039851609445,-2.9767952442169188,-0.8338011503219604,-0.030051305890083313,1.576746674643177
