coin,regime,h,n_trades,spread_bp,cost_bp,size_usd,gross_bp,gross_lag1_bp,se_bp,t_gross,rand_gross_bp,rand_net_bp,net_bp,t_net,total_usd,rand_total_usd,n_days
AMD,2,300,170567,2.7095469845867513,4.289546984586751,751.3505600000001,0.6606696538674397,0.5520625467455785,0.19517599864704624,2.8285370669163132,0.01975640663493581,-4.269790577951816,-3.737484437841173,-19.149303519640196,-47897.96016131336,-54719.762022077535,99
AMD,3,60,164166,2.7095469845867513,4.289546984586751,751.3505600000001,0.5548640875187445,0.44086297660070667,0.048767227351571005,9.04014848788619,-0.013005378418275492,-4.302552363005026,-3.8486840079860447,-78.91947557814278,-47472.0609091645,-53070.35532603406,99
AMD,3,300,164164,2.7095469845867513,4.289546984586751,751.3505600000001,0.6555136559288204,0.5421135230272014,0.19891272546727706,2.7253838172177876,-0.015227016940664756,-4.3047740015274165,-3.7474334615595497,-18.83958631986085,-46222.61060462076,-53097.111517675694,99
AMD,4,60,120546,2.7095469845867513,4.289546984586751,751.3505600000001,0.6495059817195314,0.5398605613998095,0.09301782982471599,5.803839569436632,0.003612115213758074,-4.285934869372993,-3.749686423186942,-40.3114803930913,-33961.77408969705,-38818.6998509299,99
AMD,4,300,120544,2.7095469845867513,4.289546984586751,751.3505600000001,0.8541299968027882,0.7431834820452682,0.3088868005570812,2.4060059565670255,0.09744001833403594,-4.192106966252715,-3.546363502541483,-11.481110543233225,-32119.698627052996,-37968.2489603536,99
AMD,5,60,119146,2.7095469845867513,4.289546984586751,751.3505600000001,0.5301729917759223,0.40606948015558997,0.07244710291653646,5.605047873665937,-0.007138081400861235,-4.296685065987613,-3.8834775044311614,-53.604317468776735,-34765.05132641734,-38464.10251689873,99
AMD,5,300,119142,2.7095469845867513,4.289546984586751,751.3505600000001,0.5250282905184409,0.40879932390212764,0.28626840235261347,1.4280281041935803,-0.07317130209828306,-4.362718286685034,-3.880747660684624,-13.556325562974571,-34739.44733146024,-39053.92346884928,99
SMSN,2,60,149277,3.0306310206729377,4.610631020672938,266.21648,0.824880539985434,0.7178088381980012,0.12294369477185187,5.838516887995338,-0.0025223188888582456,-4.613153339561796,-3.8928221824749363,-31.663455289015793,-15470.074374095046,-18332.67021119206,99
SMSN,2,300,149269,3.0306310206729377,4.610631020672938,266.21648,0.8824866254466118,0.7946978729909169,0.35221691720924936,2.2562740009412807,-0.12315399765000325,-4.733785018322941,-3.8159331476820206,-10.834042776585328,-15163.704677733507,-18811.052302981774,99
SMSN,3,60,145589,3.0306310206729377,4.610631020672938,266.21648,0.36321916426366363,0.2819145700233367,0.3889622594550898,0.7247864366539835,0.056580551159848454,-4.554050469513089,-4.328716450649601,-11.128885503477496,-16777.321944107993,-17650.675840703625,99
SMSN,3,300,145588,3.0306310206729377,4.610631020672938,266.21648,1.6292363137556234,1.576771877339496,0.8253673672475016,1.9103879556055576,0.10291677143193585,-4.507714249241002,-3.0338591433334416,-3.675768226033685,-11758.60848048854,-17470.965029874737,99
SMSN,4,60,111393,3.0306310206729377,4.610631020672938,266.21648,0.1646264045134239,0.15694704758994943,0.2227453335182088,0.7046030779231541,-0.027898389844555452,-4.638529410517493,-4.453683973082988,-19.99451078385403,-13207.244992811522,-13755.397711494652,99
SMSN,4,300,111389,3.0306310206729377,4.610631020672938,266.21648,0.07616250393763156,0.041572275955509656,0.36667635218283884,0.11337593959367233,0.06811148201424604,-4.542519538658691,-4.569058744717428,-12.460740152774076,-13548.898323671754,-13470.200056792055,99
SMSN,5,60,108950,3.0306310206729377,4.610631020672938,266.21648,0.17045196748624494,0.20135173160122624,0.21242287202627114,0.9478815990037284,-0.08232863649251174,-4.692959657165449,-4.409279289071711,-20.75708348640724,-12788.799533183581,-13611.594171763696,99
SMSN,5,300,108947,3.0306310206729377,4.610631020672938,266.21648,-0.004175421674302474,-0.008592450840033128,0.41436150102022723,-0.02073660515969046,0.010398970802373547,-4.600232049870564,-4.619223471512971,-11.147810450873624,-13397.358719734764,-13342.276974954464,99
DRAM,2,60,197345,2.3146138934706686,3.8946138934706687,198.0279,0.7335105922561076,0.6133769495937758,0.08883318553880186,6.904817674537361,0.04317966446484413,-3.8514342290058243,-3.281236943876893,-36.93706269762966,-12823.013577465914,-15051.334071871765,99
DRAM,2,300,196800,2.3146138934706686,3.8946138934706687,198.0279,1.0486685373546052,0.9414300426867621,0.35860250911395847,2.62527455542033,-0.06998832678404798,-3.964602220254717,-2.9531838507839065,-8.23525707636761,-11509.11583088192,-15450.804447603618,99
DRAM,3,60,186917,2.3146138934706686,3.8946138934706687,198.0279,0.7535778288584272,0.6597899072191974,0.09971080708601884,6.617035068726379,0.06201815153639282,-3.8325957419342758,-3.234823986251471,-32.44206000118766,-11973.630137385848,-14186.269198905797,99
DRAM,3,300,186402,2.3146138934706686,3.8946138934706687,198.0279,0.9731163631794145,0.8468548344396511,0.2609460438225786,3.2453254398270985,-0.08722181208632974,-3.9818357055569984,-3.0477590590310175,-11.679652292805933,-11250.131027997393,-14698.069155675597,99
DRAM,4,60,123873,2.3146138934706686,3.8946138934706687,198.0279,0.715104794018793,0.6368855035766524,0.09814340248329477,6.489335884651628,-0.006262910465936778,-3.9008768039366055,-3.2577283898940164,-33.193554609526835,-7991.308748461428,-9568.971749355385,99
DRAM,4,300,123462,2.3146138934706686,3.8946138934706687,198.0279,1.221978757464751,1.1282247118584858,0.31651479326351173,3.5645244262538838,0.08175267795407591,-3.812861215516593,-2.766389181612183,-8.740157618190846,-6763.522942171807,-9322.034107809348,99
DRAM,5,60,121787,2.3146138934706686,3.8946138934706687,198.0279,0.8014055576626472,0.684689764661377,0.10946189302296433,6.255051376808676,0.029550455305240583,-3.865063438165428,-3.2099241288092917,-29.32458082134458,-7741.445877944237,-9321.460016090121,99
DRAM,5,300,121417,2.3146138934706686,3.8946138934706687,198.0279,0.9681225631035149,0.8498643695928246,0.326332383081326,2.604290636338803,0.15254924331779163,-3.742064650152877,-3.044749523877844,-9.33020957077084,-7320.781607570093,-8997.402857062236,99
KIOXIA,2,60,71111,13.608528010885726,15.188528010885726,30.005760000000002,1.8347300663591561,1.7868448434316828,0.236827325532112,7.54492683399999,-0.2256693686783207,-15.414197379564047,-13.401683167454044,-56.58841578919438,-2859.570207247305,-3288.9883341126956,47
KIOXIA,2,300,71099,13.608528010885726,15.188528010885726,30.005760000000002,2.6655880105412746,2.6151951201966894,0.659578015246096,3.9649519234217205,-0.552936428662394,-15.74146443954812,-12.573332890689036,-19.06269250954003,-2682.369101588932,-3358.251801133283,47
