dt,cfg,qty,lat_open_ms,lat_cancel_ms,n_quote,n_fill,volume,pnl_usd,end_inv
2026-07-19,lat0,0.37243947858473,0,0,92338,2287,836.2912476722676,0.005269271873956427,1.8141527001862192
2026-07-19,lat50,0.37243947858473,50,50,96344,777,278.7808193668552,0.08062570668332114,1.4243947858472992
2026-07-19,lat100,0.37243947858473,100,100,97626,1016,365.2797020484212,-0.312199347465139,1.9865921787709497
2026-07-19,lat300,0.37243947858473,300,300,92828,1833,662.4202979515932,-1.0589859325621802,1.9487895716946013
2026-07-19,open100only,0.37243947858473,100,0,96432,434,154.06871508379848,-0.6838693938173357,0.19683426443203034
2026-07-19,cancel100only,0.37243947858473,0,100,93144,2788,1017.851955307281,-2.16457862591038,1.7141527001862218
2026-07-19,q1_lat0,1.0,0,0,92536,2305,2177.6000000000017,1.2348057333637144,4.799999999999993
2026-07-19,q1_lat100,1.0,100,100,97168,1047,931.5999999999993,2.621977990401433,5.799999999999999
2026-07-20,lat0,0.37243947858473,0,0,328982,6077,2172.7083798882254,5.579881536820842,-1.0409683426443177
2026-07-20,lat50,0.37243947858473,50,50,327502,3172,1091.0378026070928,-9.216671122941392,-1.2102420856610823
2026-07-20,lat100,0.37243947858473,100,100,322065,3824,1323.2700186219922,-5.831590214946843,-1.8070763500931104
2026-07-20,lat300,0.37243947858473,300,300,323074,6792,2383.5795158285055,-2.1623904835497805,0.013407821229051708
2026-07-20,open100only,0.37243947858473,100,0,331750,1783,604.208938547496,4.594427723272503,-1.5653631284916203
2026-07-20,cancel100only,0.37243947858473,0,100,322849,8078,2878.189199254681,2.603585529621192,-1.1102420856610817
2026-07-20,q1_lat0,1.0,0,0,329698,6287,5464.99999999998,17.11480530705191,-2.799999999999993
2026-07-20,q1_lat100,1.0,100,100,324461,4072,3156.100000000015,-11.824748244156012,-5.099999999999991
2026-07-21,lat0,0.37243947858473,0,0,284640,6843,2369.0670391060225,2.4845751345070255,-0.009683426443187204
2026-07-21,lat50,0.37243947858473,50,50,285750,3149,1029.7523277467565,0.6428978883201921,-2.15754189944134
2026-07-21,lat100,0.37243947858473,100,100,284268,3925,1288.6121042830728,0.5950487932856987,-1.2765363128491585
2026-07-21,lat300,0.37243947858473,300,300,278373,7435,2444.4681564244434,6.315973973754339,-1.2327746741154255
2026-07-21,open100only,0.37243947858473,100,0,281552,1708,540.8439478584799,6.344194594742689,0.6912476722532581
2026-07-21,cancel100only,0.37243947858473,0,100,283486,8959,3077.411731843087,1.6833290054919345,0.33277467411546585
2026-07-21,q1_lat0,1.0,0,0,285508,7014,5946.700000000014,8.448216404570847,-0.5000000000000278
2026-07-21,q1_lat100,1.0,100,100,285061,4079,3112.900000000004,5.445424291123345,-3.9000000000000234
2026-07-22,lat0,0.37243947858473,0,0,345810,8007,2853.4689013031293,2.581905329013736,-1.5865921787709372
2026-07-22,lat50,0.37243947858473,50,50,349537,3633,1222.381564245826,-4.564803916001844,-0.04562383612662113
2026-07-22,lat100,0.37243947858473,100,100,349869,4717,1605.057355679722,-0.3932747610357197,-0.6897579143389145
2026-07-22,lat300,0.37243947858473,300,300,339015,8943,3069.4828677835235,2.823623349978135,-1.8638733705772677
2026-07-22,open100only,0.37243947858473,100,0,339767,2167,724.1007448789662,-2.0449254340946865,-0.4117318435754101
2026-07-22,cancel100only,0.37243947858473,0,100,346270,10443,3691.6469273734583,4.5944703256157595,-0.79925512104282
2026-07-22,q1_lat0,1.0,0,0,346625,8101,7319.100000000054,7.728174541534912,-4.30000000000001
2026-07-22,q1_lat100,1.0,100,100,350889,4841,3944.3000000000206,-3.512337425674204,-1.3000000000000052
2026-07-23,lat0,0.37243947858473,0,0,388914,8125,2944.1581005581997,-1.2150347355257054,-2.0653631284916125
2026-07-23,lat50,0.37243947858473,50,50,389079,3403,1180.616201117337,-0.1774573807076365,0.7763500931098763
2026-07-23,lat100,0.37243947858473,100,100,388319,4440,1549.0770949720913,-2.4242792904176724,-1.0402234636871466
2026-07-23,lat300,0.37243947858473,300,300,379484,8521,2991.5608938542855,-0.9727895316650006,-1.1214152700186075
2026-07-23,open100only,0.37243947858473,100,0,392295,1992,684.1000000000104,-0.5547732164872059,-2.2173184357541875
2026-07-23,cancel100only,0.37243947858473,0,100,389376,10458,3770.1707635000225,-0.14948538216145835,-1.857541899441338
2026-07-23,q1_lat0,1.0,0,0,388924,8163,7647.900000000031,-3.7873056788621398,-5.899999999999999
2026-07-23,q1_lat100,1.0,100,100,391653,4508,3879.299999999996,-5.091444421673259,-4.300000000000002
2026-07-24,lat0,0.37243947858473,0,0,353805,5354,1961.3743016760166,1.5708167375599444,-1.1582867783985085
2026-07-24,lat50,0.37243947858473,50,50,360849,2258,808.618994413422,0.29507108599510445,-0.6960893854748582
2026-07-24,lat100,0.37243947858473,100,100,354510,2844,1018.0363128491816,-1.6385697378875843,-0.18193668528863916
