n_ticks,ts_min,ts_max,covered_ns,px_first,px_last,px_min,px_max,mp_tw,mid_tw,spread_bp_tw,spread_bp_med,dev_bp_tw_abs,dev_bp_ev_abs,dev_bp_p99,imb_tw,bid_sz_tw,ask_sz_tw,dwell_med,dwell_p99,gap_ns,n_all,n_crossed,n_locked,crossed_ns,dt,uncovered_ns
141033,1779840000065000000,1779926399947325614,86357554134558,62.197789830508476,59.58521100917431,59.03546052631579,63.570015649452266,61.3239173323652,61.32395650604562,4.035844469286359,4.583929375874853,1.21211485647439,1.4367127641424144,5.820041392070365,0.4893404627999409,52.31709430502168,61.98388973174799,268823091.0,6027692086.0,3600184145739,141183,137,13,39679612005,2026-05-27,42380865442
141592,1779926400140584393,1780012791549889679,86340703582784,59.61188008565311,63.07589285714287,57.484539999999996,68.50030448717948,61.15481001246222,61.155613175815645,4.645909744246567,5.3283029576083845,1.340414375356595,1.547370731571261,5.536319234457129,0.4611473383910349,96.62700591151287,95.62106349407559,264559207.0,6389786504.0,153597093101,141777,174,11,55122365259,2026-05-28,59155832823
94054,1780012800066935298,1780099196106000000,86391825727459,63.07697204688909,63.30009350237718,61.94120000000001,65.30666666666666,62.90953374790212,62.911048324392794,4.391752991741275,4.9521162309601205,1.3294686035214502,1.5126869643108933,4.180370304401595,0.4416981417126028,39.604371915590974,57.835160884202985,323966447.5,11560636041.0,0,94087,25,8,5713312198,2026-05-29,8107337243
39338,1780099200532829816,1780185598403945436,86381757698884,63.29994620253165,65.68624999999999,62.91771276595745,65.84991730903995,64.16137567874266,64.16161787438547,4.035879215908467,5.416615080180185,0.9256095776119628,1.1248913236261266,4.15846477660999,0.4855844639719668,13.281657255154977,33.830786197664956,404572267.5,29776221289.0,2885828028478,39394,44,12,13682935490,2026-05-30,17709471300
54228,1780185600212331937,1780271999714792354,86375412445641,65.68714285714286,65.97777358490566,65.11415,66.54477924963679,66.08629846817018,66.08394328632428,3.5220766163400943,4.248894149668901,1.1499679252747625,1.2925771663052494,6.753301898399554,0.5756153275278048,871.9750633937856,82.96702895768374,401111193.0,20568086644.0,1620576772757,54316,83,5,23007893220,2026-05-31,24375222422
153802,1780272000395429727,1780358399552676822,86385629464140,65.97964999999999,68.09430541871922,64.23137804878048,68.96882258064515,66.96058354328494,66.9607673932459,4.780154116806567,5.535162850319133,1.4499405132191474,1.7700088524405704,6.179994864142597,0.495794879143647,86.8679405551884,58.16495236696108,275386120.5,5876858408.0,126259756152,153859,52,5,12975599609,2026-06-01,13975106133
163521,1780358400569340765,1780444799899803444,86384724168908,68.09436363636362,69.38737499999999,65.34208823529413,70.1519829931973,67.987226056081,67.98796465891128,4.206855460825925,4.933757055999016,1.3318896135019744,1.6561085609747126,5.6815377407586185,0.4746198661108958,53.65137282761381,67.08237326526437,275049853.0,5066589422.0,0,163572,48,3,13545735942,2026-06-02,14706490327
149794,1780444800176491034,1780531193381400830,86378658202160,69.38005263157895,66.68080487804879,66.16847136563877,70.10353555878082,69.06646698528859,69.06744519302529,3.5946243360146206,4.588537260355966,1.1862500517876313,1.5289251825751295,4.232128075813342,0.4382099825087142,68.157193944777,90.76743499511106,245565327.0,7115384641.0,0,149867,69,4,19908697626,2026-06-03,21165306806
179121,1780531200643358993,1780617599977250087,86380652052686,66.6631462450593,63.33039999999999,63.13135185548792,67.94971370967743,65.89856838516165,65.89815166393652,4.110571892024315,4.772700155112229,1.3005719223891765,1.5495749829335315,4.4544068226970825,0.5188587988247206,56.971194628463245,41.288488682272146,230000337.0,4662891234.0,0,179184,60,3,17587178377,2026-06-04,18704588321
251349,1780617600117308629,1780703999311702096,86367619145156,63.33714893617021,55.487,53.984842105263155,64.08284615384615,60.09125206503411,60.091881787316595,4.404493564048853,4.893724613803752,1.3518984647264598,1.5769816401106656,4.858846608551452,0.4756092812826234,61.60301501417009,44.960858387848205,200198855.0,2779000000.0,0,251485,124,12,28978095885,2026-06-05,32263546215
157131,1780704000120466424,1780790396528100264,86302470611802,55.47789320388349,55.79699530516432,52.79079768786127,56.45484745762711,54.92627185330744,54.92654435853916,3.945700018440632,4.849442763104905,1.060890598074856,1.3074750362148388,4.772239210942777,0.48249176110607134,17.628367929698666,21.140694803828115,297750953.0,6025000000.0,114606637940,157495,316,48,83266613049,2026-06-06,97408921774
119049,1780790400286482951,1780876799896000000,86310168675617,55.7937899543379,56.269205219780225,54.990818897637794,58.38643342776203,57.12904688194505,57.12594616128277,3.399305681631027,4.124265925494821,1.1929073613299337,1.3009182420039689,5.229942942028767,0.6110414506135582,810.9874539033715,42.08708074716701,334587545.0,8385432382.0,60072839036,119349,280,20,81606896903,2026-06-07,89544841432
261871,1780876800238649426,1780963199936581287,86357549028525,56.26921492537313,60.92147780925401,56.12276158940398,61.737788659793814,59.31052634720774,59.31066508147719,3.64388509112501,4.121705726697702,1.069277561950025,1.2890702918437085,4.667351734541971,0.49468393204230615,45.61934340762572,30.90788585026407,201056720.0,2359694086.0,0,262059,174,14,39669762168,2026-06-08,42212322049
267794,1780963200218112860,1781049599184519041,86317426927139,60.903864197530865,59.77785084745763,55.50379112754158,64.22342236024845,61.1434000747595,61.143325984844694,3.2779257775816184,3.933271199049729,0.990239341216644,1.294500401441626,5.21807237055229,0.49199248780372273,48.721089520309,44.35901508873672,163197643.0,2833057912.0,2050677708768,268157,325,38,73353533084,2026-06-09,82354960001
307354,1781049600128503678,1781135999705152465,86350677108423,59.7763076923077,56.454249999999995,55.60098629308607,61.41583609271523,58.30288342957818,58.30284803166081,4.1369330695318585,4.542714621772543,1.170925760578755,1.3576658369438777,4.881574986213774,0.503844969714757,34.66541715114928,33.13335245650214,188529596.0,1858083392.0,0,307569,184,31,41623353826,2026-06-10,49194387899
296451,1781136000239281826,1781222399428433330,86350950254609,56.459218750000005,66.04400000000001,56.17926315789474,66.65788771254411,61.00749183190264,61.00779774710292,3.6335338155993107,4.165937627582787,1.0808449485269933,1.3031713859712135,4.48867986539993,0.4859388557527434,73.63703450152582,73.58233096902046,189525845.0,2094560674.0,0,296649,175,23,41253417922,2026-06-11,48810463565
253954,1781222400104087008,1781308798956772061,86362188185915,66.02895652173913,65.6905,62.24714965986395,66.15210927347903,64.76316411710383,64.76386442332388,3.146994024786129,3.651134133540369,0.929504136956473,1.1646356720181354,4.236080596962441,0.46034778818544936,59.63394440314434,70.6482102722613,198399477.5,2830862091.0,0,254094,120,20,31452895631,2026-06-12,37707727077
92871,1781308800443182849,1781395199951206090,86376667808508,65.70881265822784,65.75664935064935,63.94895634256278,66.00278723404254,65.12440378636494,65.12424917425362,2.812055442333359,3.3932813030208795,0.7722672627720737,0.9044159350360973,2.9510059420065744,0.5243022501596171,98.35419847209289,33.14715279837792,395448743.0,12217444937.0,902651870021,92949,64,14,19085140953,2026-06-13,22889008643
135535,1781395200287896052,1781481599910235711,86393204692111,65.76668148148148,68.27574285714286,65.58798746642792,68.85984355319853,66.77588610648235,66.77618863329414,2.7497223398184176,3.2972138542918277,0.7273766461364616,0.938353068623395,3.8420324667544294,0.46218546886984163,20.704400642439296,58.623248453398,298169676.0,7790824490.0,0,135569,29,5,6254250335,2026-06-14,6507411837
249476,1781481600049204953,1781567998103903295,86389571602239,68.28108695652173,70.7989963633215,67.41799931094675,71.30257367933271,69.33640500994252,69.33661444360759,1.8134889382665293,2.1671133328036767,0.5633963843143831,0.7280073764270059,2.7467391236610172,0.46980981054475957,90.28869888431777,119.49709570140234,202577782.5,2540963149.0,0,249512,32,4,8473329559,2026-06-15,10379192808
257004,1781568000191817489,1781654399895080129,86385426223614,70.79899065212554,68.86229999999999,67.74353856027383,72.9595,70.26969472670784,70.26963900857928,1.8838796739956103,2.33796284364496,0.5703832918352673,0.7836792299099545,3.0906154254339135,0.5064777421662459,116.14173734650905,108.41525304723753,199904142.5,2683704897.0,122994782668,257052,48,0,14381958897,2026-06-16,14381958897
296599,1781654400246149657,1781740799892697117,86394638862572,68.85974999999999,72.40160999999999,68.82200032786885,73.2558766066838,71.18067741586174,71.18111173359176,1.9292844078373013,2.2096395525487287,0.5639564682603257,0.7585861556140538,3.525099206397398,0.4592176611387586,81.7528746263485,124.66622302513159,192308358.0,2045861319.0,0,296617,16,2,4981489502,2026-06-17,5114987771
271014,1781740800097200081,1781827199808698238,86389511055481,72.40926333333333,78.19299116142037,72.26807500000001,78.40008333333334,75.44634511389927,75.44647557113473,1.565445295102805,1.7525529978755037,0.44874082476821,0.5777462117005243,2.665855734283248,0.4843559614906033,67.58927027428118,94.25045159548995,201522144.0,2195506562.0,0,271055,38,3,9707102880,2026-06-18,10391744438
