dt,orders_all,orders_resting,orders_canceled,100ms_windows,100ms_cancel_ratio_mean,100ms_lambda_cancel_bid,100ms_lambda_cancel_ask,100ms_new_diff_mean,1s_windows,1s_cancel_ratio_mean,1s_lambda_cancel_bid,1s_lambda_cancel_ask,1s_new_diff_mean,10s_windows,10s_cancel_ratio_mean,10s_lambda_cancel_bid,10s_lambda_cancel_ask,10s_new_diff_mean,60s_windows,60s_cancel_ratio_mean,60s_lambda_cancel_bid,60s_lambda_cancel_ask,60s_new_diff_mean
2026-06-01,859055,797668,781727,359800,0.5163119388198039,965.139641467482,913.1699082823791,53.015464146748194,78399,0.5252500806598751,442.9358065791656,419.0851069528948,24.33062156405056,8799,0.5422850694795027,394.6553506080237,373.40440163654966,21.678558927150807,1553,0.5323521979018018,372.67358124060956,352.60628139085645,20.471092509122123
2026-06-02,878772,813227,801110,375390,0.4942191352237011,1016.3825434881057,1016.9487519646235,-0.5801566370974187,79770,0.4963921063840874,478.29991600852446,478.5663683088881,-0.2730161714930426,8809,0.5010135345518923,433.12503462368034,433.3663208082643,-0.24723010557384126,1555,0.5004676120939932,408.93873847802786,409.1665509110396,-0.23342443729903345
2026-06-03,1257492,1194556,1184240,381145,0.4912547370243672,1959.8092012226318,2051.807149510029,-90.1084311744874,76753,0.5044719163836091,973.2146990997096,1018.8996338905321,-44.74662619050721,8819,0.5070374945882161,847.0024696677631,886.7627123256607,-38.94361945798844,1563,0.5035604634708384,796.5146918319472,833.9049221582428,-36.622284069097894
2026-06-04,1523613,1452132,1436054,471886,0.515127252291913,1762.697318843958,1645.9693972696796,117.69850769041675,82450,0.5209734060654213,1008.8443747725895,942.0374954517888,67.36237477258946,8842,0.5146163454382772,940.7285534946845,878.4323852069668,62.814157430445604,1582,0.5107234914272705,876.308667298778,818.2784608091024,58.5127243994943
2026-06-05,2072440,1973979,1944449,542748,0.4712463284925408,2318.197113577572,2380.036361257895,-58.90081216328757,84667,0.48053321416686723,1486.05341750623,1525.6947512017668,-37.75768363116682,8840,0.49792378323746883,1423.2996006787332,1461.266940045249,-36.1632330316742,1578,0.4986394129096035,1328.8940082382765,1364.3430238698777,-33.76457329953528
2026-06-06,699097,591714,575771,297514,0.5774654195625333,3509.285647061987,510.9339728550589,2998.912299925382,72525,0.5868612373811857,1439.5885694588073,209.59670458462602,1230.2218462599105,8685,0.5888495573583561,1202.143477259643,175.02591824985612,1027.309607369027,1488,0.626313226119109,1169.423846326165,170.26210797491038,999.3485595878135
2026-06-07,767378,550470,533306,265532,0.5430757456681199,4594.83789147824,1671.3422337044124,2923.2486630613257,67016,0.557309773964824,1820.5749298674943,662.2222245433926,1158.2548406350722,8688,0.5807867748822059,1404.3237741712708,510.8135888581953,893.4346961325967,1513,0.6059032315652197,1343.9926140118969,488.8685239039436,855.0518440185062
2026-06-08,1951394,1886912,1860078,549214,0.5339194513900727,4183.929592107995,3177.466381046368,1005.6948894237947,84190,0.5546819071663668,2729.38912816249,2072.8222128518823,656.0657002019243,8768,0.5559598630138853,2620.748981523723,1990.3159454835773,629.9517712135037,1540,0.5578155863158014,2486.8752240259737,1888.646126623377,597.7724166666667
2026-06-09,2741664,2632805,2609287,549962,0.5408189665770229,5410.533649597609,4644.352122510282,767.523128870722,82478,0.5455482792996486,3607.735283348287,3096.846652440651,511.78320885569485,8635,0.5419880138852303,3445.9616757382746,2957.9816815286626,488.8344585987261,1541,0.5429497609545472,3218.243464200735,2762.5104715552666,456.5309917802292
2026-06-10,2741681,2643482,2617857,569889,0.510678386479283,4869.048512956032,4779.466376785655,89.58955164953176,84569,0.5081253732643187,3281.1280587449305,3220.760933675461,60.37212217242727,8801,0.5026496286732828,3152.8430723781394,3094.836170889672,58.011703215543704,1545,0.49723775270359827,2993.3302998921254,2938.2581596548007,55.076699029126196
2026-06-11,2854311,2774586,2755676,594586,0.5174645836537564,4291.770801868864,3936.698726508865,354.6475211323509,85045,0.5185881697349654,3000.5606843435826,2752.3145969780703,247.94926333117758,8826,0.520935375477292,2891.2608588261955,2652.0574994334916,238.91734760933608,1568,0.5222454119116452,2712.400971513605,2487.995268920068,224.13738414115642
2026-06-12,2166112,2108464,2092448,529189,0.5102467213597237,3390.472814060761,3128.788126737328,261.83897057573006,81089,0.5143861961983738,2212.6316985041126,2041.8555661063774,170.87681806410242,8743,0.5157485296668327,2052.157060505547,1893.7667391055704,158.48370467802815,1513,0.5175927141875212,1976.4275369024015,1823.8821987221852,152.6352753910553
2026-06-13,367369,350689,343268,202641,0.49329982074289186,816.3401582108261,861.6864158783267,-44.85866631135851,60706,0.5007520000717167,272.50022403057363,287.6371314202879,-14.9741458834382,8710,0.5044793996671181,189.9242089552239,200.47416417910446,-10.436515499425942,1506,0.514988708733019,183.07214032757855,193.24147521027004,-10.059987826471895
2026-06-14,624353,588572,572382,274413,0.5590653693772945,1028.5564386526878,954.2213087572381,73.19827413424291,69149,0.5419453882891996,408.1754732534093,378.67609365283664,29.048226293944953,8794,0.4887042144422183,320.95662724584946,297.76066863770757,22.841207641573813,1567,0.49127052168163793,300.2012954690491,278.5053520527547,21.36413316315678
2026-06-15,1570536,1505164,1488148,494202,0.5477654915814154,2351.1892889951882,1878.8554275377276,472.0218938814493,83608,0.5488217395514219,1389.7742428954166,1110.5804588077697,279.0093818773323,8782,0.5409295005761748,1323.1182521065818,1057.3150876793443,265.62760646777497,1521,0.538199514856064,1273.2439721674334,1017.4601249178173,255.61490685952222
2026-06-16,2229198,2138736,2116856,531075,0.5237225598330958,3278.2905973732522,3132.4686230758366,146.37782987337005,84266,0.5290753752652035,2066.0980454750434,1974.195730187739,92.2526357012318,8854,0.527675989615425,1966.3634278292295,1878.8974181161054,87.79941947142535,1590,0.5263350935806772,1824.9666446540882,1743.7901194968554,81.48596016771486
2026-06-17,2756587,2630814,2608542,555162,0.5045483097678864,3834.161421350885,3928.023038320346,-93.40097665186018,84990,0.4987693033903244,2504.507263207436,2565.8184798211555,-61.01032239086955,8817,0.49710270936383216,2414.177977770217,2473.277901780651,-58.809882046047406,1551,0.49738253214522055,2287.3207855147216,2343.315200945626,-55.71961422738019
2026-06-18,2266618,2172544,2142099,527084,0.5204817139761453,2886.0437387589077,2597.076327492392,288.1062202609072,85076,0.5201564249219678,1788.03361465043,1609.005335229677,178.49473294466125,8812,0.519408190168509,1726.2681320926013,1553.424170449387,172.32884589196553,1554,0.5193013851985177,1631.4752016302016,1468.122457099957,162.86591484341483
2026-06-19,1419117,1320669,1298153,447844,0.4841067510889718,1129.2929390591366,1365.7768932932004,-235.49329900590385,83118,0.46945227135881884,608.468763685363,735.8875177458553,-126.88498399865252,8836,0.4356889580397439,572.3710581711183,692.2306326392032,-119.35747057492077,1563,0.43125356571996193,539.2909650245256,652.2232746854339,-112.4592247814033
2026-06-20,786989,742851,722977,326625,0.5377162325433271,730.2923903559127,386.03653425181784,343.4910585533869,75159,0.5475487325462842,317.3695126332176,167.76325257121573,149.2738953418752,8828,0.5631362921558152,270.1990847304033,142.82870752152243,127.08741164476668,1586,0.5914167948697315,250.66388398486762,132.5022940311055,117.89908259773014
2026-06-21,572426,548839,532764,255166,0.5269334151204395,811.6866353667808,420.6733538167311,392.7385662666656,67653,0.5371333413752708,306.1428643223509,158.66485891239117,148.12872895510915,8873,0.5452156037420872,233.42142680040575,120.97547278259891,112.94210413614337,1613,0.5733525799366067,214.00581938417028,110.9129334573259,103.54776710064061
2026-06-22,2909795,2481145,2452645,571767,0.5967148095982071,4144.908291314469,2541.9385781271044,1603.1161731964244,85058,0.6304443909289528,2786.2420689411933,1708.7124021256084,1077.6281184603447,8784,0.6320441182578278,2697.998382285975,1654.5953950364303,1043.4983208105646,1540,0.6365781735631667,2564.85041017316,1572.9400378787877,992.0010010822512
2026-06-23,4634320,4069329,4013836,662331,0.5520751725836038,6338.48287638658,4698.259530355668,1643.3215325871806,86525,0.5807132756529954,4851.977696619474,3596.4206102282574,1257.9286841953192,8968,0.5739944997919355,4681.282004906333,3469.89622323818,1213.6739451382693,1673,0.5773544788638437,4182.281034070532,3100.0228461844986,1084.3024447101016
2026-06-24,4803844,3801450,3738405,651012,0.5377409751408075,5993.992000147463,4749.193893507339,1242.488049375434,86482,0.5526637718559744,4512.107398071275,3575.058642260817,935.3098101339007,8955,0.547092218716587,4357.521742043551,3452.5764544946956,903.2659184812953,1663,0.5524632470489682,3910.7644016837044,3098.599133092804,810.6580777710964
2026-06-25,5828755,5171800,5123002,654746,0.5040500510359244,7537.299594041048,7172.067391018807,363.01447431523064,86370,0.5216182335468494,5713.808915132569,5436.936941067501,275.1907780479333,8911,0.5242143345885824,5538.117787004826,5269.759214454046,266.72907081135673,1607,0.522450214155929,5118.250114084215,4870.236917651939,246.50723397635346
2026-06-26,5113278,4749722,4722331,638508,0.49982080775634113,7059.6849671421505,7045.206736642297,19.217923659531284,85504,0.5023731604549627,5271.876554313249,5261.064819189745,14.351139127994042,8913,0.5016209678592415,5057.405283294065,5047.033392797039,13.767303938067993,1627,0.5006926478698883,4617.563336406475,4608.093488014751,12.56996312231104
2026-06-27,506021,471539,463979,198275,0.5053728564691683,1685.136053461102,1432.756696507376,252.96164418106164,57574,0.5214330024468028,580.3320092402821,493.416879146837,87.11565984645848,8332,0.5496291040925569,401.0085825732118,340.9503528564571,60.19679548727797,1446,0.5703089940943088,385.10874942369753,327.4318049792531,57.81001613646843
2026-06-28,832819,775285,761962,280054,0.4881183296678477,1596.5566890671084,1731.443039556657,-134.94464996036479,67383,0.4948651930897307,663.5532508199398,719.6140703144711,-56.08504964160099,8814,0.513520361660535,507.28623439981857,550.1447118221013,-42.877001361470384,1580,0.5138507946564383,471.6477710970465,511.49530485232066,-39.86475632911392
2026-06-29,4931993,4508291,4478494,612320,0.4836258189676301,7728.275290697675,7936.215637248498,-207.1796527959237,85455,0.48674415855685266,5537.625096249488,5686.622852963548,-148.452688549529,8959,0.49047602350773134,5282.0376448264315,5424.158454068534,-141.60089853778322,1678,0.48696321710362944,4700.216056813668,4826.682120580056,-126.00342173222093
2026-06-30,3698099,3423772,3404182,560530,0.46454109174392555,5064.762407007654,6400.0777193013755,-1335.2466558435767,84229,0.44724328762323906,3370.5152287216993,4259.145382231773,-888.5844637832575,8872,0.4505232959308815,3199.8999909828667,4043.5477502254284,-843.6043823264204,1595,0.44709260263467687,2966.5112560083594,3748.626503657262,-782.0750344827587
2026-07-01,4580038,3891542,3860584,608943,0.4535264894139108,6283.838610510344,7177.602672171287,-885.5964170702348,85605,0.458390172688242,4469.948642018573,5105.719179954443,-629.9605618830676,8977,0.47593776417789874,4262.559357246297,4868.832465188816,-600.7326935501837,1682,0.47287167990804035,3791.6166617122476,4330.906563614744,-534.3616121680539
2026-07-02,7702620,6511749,6465007,695006,0.5242093512645685,12367.675428701335,10169.723023973893,2200.6500130934123,86405,0.5456426201063447,9948.045401307794,8180.103605115443,1770.1116405300618,8892,0.5444873918386965,9666.676370895188,7948.738776428252,1720.046067251462,1637,0.5450265983015515,8751.383250865403,7196.109264915496,1557.1828171451841
2026-07-03,2650271,2302951,2281646,401453,0.5144219793506458,3655.233753390808,2684.418180957671,965.5327697140139,76969,0.5331792861134602,1906.4877496134807,1400.1321726929025,503.60018578908387,8826,0.5449204693987248,1662.5929707681853,1221.0148787672786,439.1751948787673,1558,0.5473719709841658,1569.7524133504494,1152.8324047924689,414.6512911852803
2026-07-04,469471,420465,409826,184737,0.5544699234698738,1393.964776953182,1068.917006338741,324.9366937863016,61411,0.5477609973266743,419.33345980361827,321.5523619546987,97.74768363973881,8774,0.5167944709678507,293.4999669478003,225.06099954410763,68.41558012309096,1554,0.4986603351803495,276.1871203346204,211.7852005577006,64.37991205491205
2026-07-05,665347,568596,552915,230931,0.5144404952450335,1394.2528504185234,1170.8328938081072,221.71039401379633,67793,0.516391484829185,474.940192940274,398.8341141415781,75.52373106367916,8844,0.5092874958401713,364.0617424242425,305.72321460877436,57.89213364993216,1577,0.5063282062504602,340.28345487212005,285.7552430775734,54.11097336715284
2026-07-06,4633940,4161277,4122903,613575,0.45926251661508505,6461.50660636434,6942.549409607627,-480.15633785600784,85356,0.46643816577176916,4644.804016120717,4990.597912273302,-345.15666736960486,8808,0.4767143169793181,4501.1568074477755,4836.256532697548,-334.48220367847404,1572,0.4814677946583774,4203.370351993214,4516.300629770993,-312.3536100508906
2026-07-07,6881949,5995198,5944984,672245,0.5055587079424428,9658.62792434306,8388.803033120364,1274.1550506139874,86440,0.5231122762759326,7511.527451411384,6523.982988199908,990.9120337806571,8889,0.5272780694428948,7304.493563955451,6344.167954775565,963.6003622454721,1625,0.5279896115246121,6659.450593846153,5783.929123076922,878.5070379487179
2026-07-08,8642573,7810033,7762631,735372,0.49673529408549155,9521.239685492512,9202.467177156595,321.5085317363185,86927,0.5090415612631405,8054.6355792791655,7784.965192632898,271.98496669619334,8997,0.5116886268251498,7782.208591752808,7521.659100811384,262.7857863732355,1674,0.5124507580500732,6970.980754679411,6737.5912913182,235.3926443647949
2026-07-09,7019370,6428459,6388186,716534,0.4898789887355699,6433.629847292662,6679.612770643123,-249.05273720437552,86761,0.5003249614343294,5313.34877306624,5516.498953446826,-205.68545083620523,8883,0.5020388655193991,5189.591949791736,5388.010421028934,-200.8946909827761,1618,0.502244068431631,4748.572856407087,4930.129436547178,-183.82236711990112
2026-07-10,6488455,5862009,5813948,673291,0.5063549093976837,7220.377558886128,6448.854664624954,776.9245021840482,86406,0.5273816084355194,5626.247282596117,5025.062849802097,605.3934622595654,8940,0.5340841686083949,5437.824638702462,4856.773832214763,585.1188758389261,1613,0.5337013199002365,5023.161011572639,4486.418481091135,540.5003874767515
2026-07-11,1020019,980025,966995,378314,0.5155539017036618,1037.2244828370085,997.7610688475711,40.30543675359622,81104,0.5197626084558991,483.818976869205,465.4110537088183,18.80068923850857,8805,0.51816401179376,445.65195116411127,428.69617376490635,17.31755934128336,1534,0.513977988875274,426.33261951325517,410.11188722294656,16.566830725771403
2026-07-12,1348240,1242910,1222886,372606,0.5098132226806268,1417.6224537447063,1392.7454523008219,24.628172922604573,80757,0.5199359158016957,654.0790668301199,642.601027774682,11.363231670319598,8838,0.5140864756252133,597.6630821452818,587.1750531794523,10.383124009957005,1553,0.509720794611597,566.8755441081778,556.9277870787722,9.848256063532945
