ts,best_bid,best_ask,bid_sz,ask_sz,mid,microprice,imbalance,spread_bp,stale_ns,dt
1785054420000000000,54.719,54.721,2.0,16.3,54.72,54.719218579234976,0.1092896174863388,0.36549707602254,9320560563,2026-07-26
1785054480000000000,54.727,54.728,2.0,6.3,54.7275,54.727240963855415,0.24096385542168672,0.1827234936740715,292792538,2026-07-26
1785054540000000000,54.735,54.743,20.1,18.3,54.739000000000004,54.7391875,0.5234375,1.461480845467157,107498578,2026-07-26
1785054600000000000,54.734,54.736,101.3,18.3,54.735,54.7356939799331,0.846989966555184,0.3653969123952387,407103423,2026-07-26
1785054660000000000,54.74,54.747,2.3,18.3,54.7435,54.74078155339806,0.11165048543689318,1.2786906208039122,6430642636,2026-07-26
1785054720000000000,54.737,54.74,1.8,76.9,54.7385,54.73706861499365,0.022871664548919948,0.5480603231729246,96629392,2026-07-26
1785054780000000000,54.73,54.734,7.1,104.6,54.732,54.730254252461954,0.06356311548791406,0.7308338814596377,3553648764,2026-07-26
1785054840000000000,54.73,54.731,0.5,1.8,54.7305,54.73021739130435,0.2173913043478261,0.18271347786056677,804392388,2026-07-26
1785054900000000000,54.735,54.738,2.8,1.8,54.7365,54.73682608695652,0.6086956521739131,0.5480803485791225,6792732108,2026-07-26
1785054960000000000,54.711,54.712,37.0,83.0,54.7115,54.711308333333335,0.30833333333333335,0.1827769298967813,16496443,2026-07-26
1785055020000000000,54.649,54.65,9.1,21.4,54.6495,54.64929836065573,0.2983606557377049,0.18298429079820847,377199770,2026-07-26
1785055080000000000,54.618,54.619,4.1,36.8,54.6185,54.61810024449878,0.1002444987775061,0.18308814778832622,65745867,2026-07-26
1785055140000000000,54.615,54.616,2.3,33.5,54.6155,54.61506424581006,0.06424581005586592,0.183098204721676,3347370453,2026-07-26
1785055200000000000,54.615,54.616,74.5,16.7,54.6155,54.615816885964904,0.8168859649122807,0.183098204721676,66066061,2026-07-26
1785055260000000000,54.631,54.632,44.4,18.3,54.6315,54.63170813397129,0.708133971291866,0.18304458050715602,12875912231,2026-07-26
1785055320000000000,54.635,54.64,1.8,18.3,54.6375,54.63544776119403,0.08955223880597014,0.9151223976211499,973306872,2026-07-26
1785055380000000000,54.635,54.643,1.8,20.1,54.638999999999996,54.63565753424658,0.0821917808219178,1.464155639744994,8467170578,2026-07-26
1785055440000000000,54.668,54.674,0.9,1.8,54.671,54.67,0.3333333333333333,1.097473980721082,27168364455,2026-07-26
1785055500000000000,54.669,54.677,33.5,1.8,54.673,54.67659206798867,0.9490084985835695,1.463245111847287,326804573,2026-07-26
